Start Time,End Time,English,Infinite -open subtitle.srt
09:28,09:31,Tell me about the customer you attacked.,خيلي خوبه. پس گمونم اين شغل رو به دست آوردم. کِي کارم رو شروع کنم؟
09:31,09:33,He assaulted a waitress.,.از مشتري‏اي که بهش حمله کردي بگو
09:33,09:34,So you broke his arm.,.به يه پيشخدمت دست‏درازي کرد
09:35,09:37,I did. It was unintentional.,.براي همين دستش رو شکستي
09:37,09:40,"Excuse me, but he grabbed her ass.",.بله .عمدي نبود
09:40,09:44,I asked him to leave politely. He put his hands on me.,،با عرض معذرت .ولي باسنِ دختره رو گرفت
09:44,09:46,No charges were ever filed. Everything was dismissed.,.دست رو من گذاشت .اصاً هيچ اتهامي ثبت نشد. همه چي منتفي شد
09:46,09:49,So you just walked out of a shift at locanda,.دست رو من گذاشت .اصاً هيچ اتهامي ثبت نشد. همه چي منتفي شد
09:49,09:52,and you never came back?,پس همين‏طوري کارِت رو در لوکاندا ول کردي و ديگه هيچ‏وقت برنگشتي؟
09:52,09:55,I had a personal issue. That was six years ago.,پس همين‏طوري کارِت رو در لوکاندا ول کردي و ديگه هيچ‏وقت برنگشتي؟
09:55,09:58,"Yeah, your manager told me that you were institutionalized.",.يه مشکل شخصي داشتم .اين حرف 6 سال پيشه
10:00,10:02,"- For two weeks. - Two weeks. Melanie, it's just two weeks.",.آره، مديرت بهم گفت که بستري شده بودي
10:02,10:03,Just two weeks.,.به مدت دو هفته
10:04,10:08,Look. My struggles with mental illness are a part of my past.,.دو هفته. مِلاني، فقط دو هفته .فقط دو هفته
10:08,10:10,I haven't had so much as an eye twitch since.,ببينيد. مبارزه‏ي من با بيماري رواني .بخشي از گذشته‏مه
10:11,10:12,"I think, if anything,",از اون موقع حتي يه .تيک عصبي چشم نداشته‏ام
10:12,10:14,getting through what I've been through only makes me stronger.,تازه برعکس، به نظرم گذشتن از رنجي که .بنده محتمل شدم، فقط منو قوي‏تر مي‏کنه
10:15,10:19,And I am 100% confident in my ability to manage here.,و به تواناييم براي اداره‏ي اينجا .کاملاً اطمينان دارم
10:20,10:21,"Thanks for coming in today, Evan.",و به تواناييم براي اداره‏ي اينجا .کاملاً اطمينان دارم
10:21,10:24,"Please. Look, I know what it looks like.",خواهش مي‏کنم. ببين، مي‏دونم اين وضع ،چه جوري به نظر مياد
10:24,10:27,But my illness isn't an issue you have to worry about.,.اما بيماريم مسئله‏اي نيست که نگرانش باشيد
10:27,10:30,"- I promise you... - Hey, we'll be in touch, okay?",...قول مي‏دم - هي، زنگ مي‏زنيم، باشه؟ -
10:35,10:36,"No, you won't.",.نه، نمي‏زنيد
10:37,10:38,Excuse me?,ببخشيد؟
10:39,10:41,"Look, I know the brush-off when I hear it.",.وقتي حرف بي‏اعتنايي مي‏شنوم، متوجه مي‏شم
10:41,10:46,"Mr. Mccauley, you are clearly awesome at dealing with conflict.",آقاي مک‏کالِي، بديهيه که در .برخورد با درگيري حرف نداري
10:46,10:48,You have no idea.,.روحت هم خبر نداره
10:48,10:50,Thanks for coming in. But you're right.,.ممنون که تشريف آوردي
10:50,10:53,I don't think I will need to be calling you.,.اما حق با شماست .فکر نمي‏کنم لازم بشه بهتون زنگ بزنم
10:54,10:57,You think you know my story because you ran a background check,فکر مي‏کني چون يه سابقه رو بررسي کردي ...و 2-3 تا تماس تلفني گرفتي
10:57,10:58,and made a couple of phone calls?,پس سرگذشتِ منو مي‏دوني؟...
10:59,11:02,I knew yours when I shook your well-moisturized hand.,وقتي دست خوب مرطوب‏شده‏ي شما رو .فشردم، سرگذشتِ شما رو فهميدم
11:03,11:05,Thank you for your time.,.از وقتي که گذاشتي ممنونم
11:06,11:08,I get it. Ldo.,.متوجهم. مي‏دونم
11:08,11:10,Who's going to hire a diagnosed schizophrenic,آخه کي مياد يه بيمار اسکيزوفرني‏اي ،که سابقه‏ي خشونت داره، استخدام کنه
11:10,11:11,"with a history of violence,",آخه کي مياد يه بيمار اسکيزوفرني‏اي ،که سابقه‏ي خشونت داره، استخدام کنه
11:11,11:15,when there's a dozen candidates out there with spark/mg clean records?,اون هم وقتي که کلي داوطلب هست که سابقه‏ي درخشان و پاکي دارن؟
11:15,11:18,"But what's really on my mind is if / can't get a job,",اما چيزي که واقعاً ذهنم رو درگير کرده ،اينه که اگه شغلي گير نيارم
11:18,11:19,I can't pay rent this month.,.نمي‏تونم اجاره‏ي اين ماه رو پرداخت کن
11:21,11:24,"I mean, dry-cleaning this suit wasn't exactly free.",ميگم، خشک‏شويي بردن همين کت‏وشلوار .هم رايگان نبوده
11:27,11:30,"And more than that, I've gotta get something together real quick,",،و از اين گذشته ،بايد خيلي سريع يه پولي جور کنم
11:30,11:32,"because these meds, the y're running out.",.چون اين داروها دارن ته مي‏کشن
11:33,11:35,"And once they do, shit gets real.",،و وقتي هم ته بکشن .اوضاع خيلي خيط مي‏شه
11:56,11:58,Are there things you just know how to do?,کارهايي هست که همين‏طوري بلد باشي انجام‏شون بدي؟
12:01,12:02,"Like, no one's ever showed you.",.مثل کاري که هيچ‏کس بهت ياد نداده باشه
12:04,12:07,Somehow each step in the process makes sense.,به گونه‏اي که هر گام در حينِ اين کار .منطقي باشه
12:24,12:25,Like you're remembering it.,.انگار که يادته
12:26,12:28,Not learning it.,.نه اين‏که يادش گرفته باشي
12:46,12:48,"For reals, you really made that shit yourself, man?",اين تن بميره واقعاً خودت اون ماس‏ماسک رو ساختي، پسر؟
12:48,12:50,- Yep. - Damn.,.آره - .دهنت -
12:50,12:53,"Hey, yo, Ronny. Yo, Ronny.",.هي، روني .هي، روني
12:54,12:55,"- Evan, man. - Hey.",.ايوان، پسر - .سلام -
12:57,13:01,As requested. Kimotsuki-styled iron. Handcrafted.,.شمشير به سبک کيموتسوکي .دست‏ساز
13:01,13:02,One of a kind.,.منحصر به‏فرده
13:03,13:05,"Oh, hell, yeah.",.اي جانمي
13:08,13:10,"Hattori hanzo, yo.",هاتوري هانزو، ها؟ (پُرآوازه‏ترين نينجاي ژاپن =)
13:10,13:13,- Damn. Nice. - Goddamn.,.دهنت سرويس - .قشنگه -
13:13,13:14,Get off me.,.ولم کن
13:14,13:17,"Now, let's get this man paid.",.بيا پول اين مرد رو بده
13:18,13:19,You get high off this shit?,با اين نئشه مي‏کني؟
13:19,13:21,No. Clozapine. It's an antipsychotic.,.نه. کلوزاپين .يه داروي ضدروان‌پريشيه
13:21,13:24,You get paid in pills?,با قرص دستمزدت رو مي‏گيري؟
13:24,13:25,"Evan here's on ""Ronny-care.""",.ايوان تحت حمايتِ رونيه
13:26,13:28,Yeah. Dr. Ronny.,.آره. دکتر روني
13:28,13:31,"Why don't you, like, get them at Duane reade?","چرا از داروخانه‏ي ""دوين ريد"" نمي‏گيري؟"
13:31,13:33,"'Cause Evan don't wanna talk to shrinks every two weeks, right?",چون ايوان دوست نداره هر دو هفته يه بار با روان‏پزشک حرف بزنه. درسته؟
13:33,13:36,Yeah. Evan can't afford 400 bucks a month on a scrip.,آره. ايوان نمي‏تونه هر ماه .بابت يه نسخه 400 دلار بده
13:36,13:37,"Yo, Wikipedia.",.هي. آقاي ويکي‏پديا
13:38,13:42,- What's the capital of brakina fatso? - Yeah.,پايتختِ براکينا فاتسو چيه؟ - .آره -
13:42,13:44,It's pronounced Burkina Faso.,.تلفظش بورکينا فاسوئه. واگادوگو الان مي‏شه لطفاً قرص‏هام رو بدي؟
13:44,13:46,"Ouagadougou. Could I have my pills, please?",.تلفظش بورکينا فاسوئه. واگادوگو الان مي‏شه لطفاً قرص‏هام رو بدي؟
13:48,13:50,"Shit, man. Forgot my count, man.",.ريدم توش، پسر .يادم رفت چند تا شمردم، مرد
13:50,13:52,You made that up.,.از خودت در آوردي
13:54,13:56,"Damn, man!",!لعنت، پسر
13:58,14:02,Nah. Homeboy knows everything. He a freak.,.رفيق‏مون همه چي مي‏دونه .آدم عجيب‏وغريبيه
14:03,14:05,How do you know so much?,از کجا اين همه اطلاعات مي‏دوني؟
14:05,14:06,"Honestly, I wish I knew.",.راستش رو بگم، کاش مي‏دونستم .اين منو ديوونه مي‏کنه
14:06,14:08,Makes me nuts.,.راستش رو بگم، کاش مي‏دونستم .اين منو ديوونه مي‏کنه
14:08,14:10,"Could I have my pills, please?",مي‏شه لطفاً قرص‏هام رو بدي؟
14:14,14:18,"Dang, girl. You eyeballing my boy like he a steak dinner.",دختره‏ي چشم سفيد. يه جوري رفيقم رو .ورانداز مي‏کني که انگار استيکِ شامه
14:19,14:23,"Yo, yo. What's gunpowder made of?",.هي، هي باروت از چي درست شده؟
14:23,14:26,"74% potassium nitrate, 13% charcoal.",،‏‏13% نيترات پُتاسيُم .‏‏74% زغال
14:27,14:29,- Okay. - Damn.,.باشه - .دهنت. دمت گرم، مرد -
14:29,14:30,"Impressive, man.",.باشه - .دهنت. دمت گرم، مرد -
14:33,14:34,I said eyes on me.,.گفتم چشمت به من باشه
14:36,14:37,"Come on, Ronny.",.بي‏خيال، روني
14:37,14:40,"There you go, man. Sixty packages.",.بفرما، پسر .‏‏بسته‏ي 60 تايي
14:40,14:42,That's only 55.,.اين‏که 55 تاست
14:43,14:44,For real?,واقعاً؟
14:45,14:46,Close enough.,.به 60 تا نزديکه
14:46,14:48,The hell it is. I live on those.,.معلومه .من با اينا زندگي مي‏کنم
14:50,14:53,Sixty. Hey. Hey.,.‏‏60 تا .هي
14:53,14:56,"You wanted the real thing, right? That is it.",شمشير واقعي مي‏خواستي، درسته؟ .اين واقعيه
14:56,14:58,That is folded over 70 times. Carbon-treated steel.,.بيش از 70 بار چکش خورده .پولاد کربن-ديده‏ست
14:58,15:00,Take your damn hands off me.,.دست‏هاي لعنتيت رو بکش
15:01,15:03,You better tell your boy to learn how to count.,.بهتره به رفيقت بگي شمردن رو ياد بگيره
15:03,15:05,The deal was for 60 bags.,.معامله سر 60 تا بود
15:05,15:07,"Yeah? Well, that's all we got.",جدي؟ .خب، فقط همين در بساط داريم
15:08,15:10,"You don't like it, you can go back to bellevue.",.دوست نداري، مي‏توني به بِلويو برگردي
15:13,15:14,Get the get on homeboy.,.تفنگ رو به سمت اين رفيق‏مون بگير
15:16,15:18,I wanna test this shit out.,.مي‏خوام اين ماس‏ماسک رو امتحان کنم
15:22,15:25,"Yo, what's gunpowder made of?",هي، باروت از چي ساخته شده؟
15:25,15:26,Hold out your arm.,.دستِت رو دراز کن
15:26,15:28,Showtime.,.وقتِ نمايشه
15:30,15:32,Hold out your arm.,.دستِت رو دراز کن
15:35,15:37,Get up.,.بلند شو
15:37,15:40,"Put your arm there. Now, it's your neck or arm, baby.",دستِت رو اونجا بذار، ها؟ .يا گردن يا دستِت، عزيزم
15:40,15:42,You choose.,.انتخاب کن
15:43,15:45,"Ronny, that's not a toy, bro.",.هي، روني .اين‏که اسباب بازي نيست، داداش
15:45,15:46,"Mind your business, Evan.",.سرت به کار خودت باشه، ايوان
15:46,15:48,"Come on, Ronny. This ain't funny.",.بي‏خيال، روني .کارِت خنده‏دار نيست
15:57,15:59,"Oh, god! My fingers!",!يا خدا !انگشت‏هام
16:01,16:03,"I think it works, huh, Ronny?",به نظرم کار کنه، ها، روني؟
16:03,16:05,"- Cut my goddamn fingers off, man! - You'll be all right.",!انگشت‏هاي لعنتيم رو زد، مرد
16:06,16:09,"Hey, sweetheart, why don't you head on home now?",،چيزيت نمي‏شه. هي، عزيزدلم حالا چرا نمي‏ري خونه؟
16:09,16:10,"You're tripping, bro.",.داري حماقت مي‏کني، داش
16:11,16:13,"You are done, homey. You're a dead fool.",.کارِت تمومه، رفيق .يه احمق مُرده‏اي
16:13,16:14,"I don't know, Ronny.",.نمي‏دونم، روني ...داري با آدمي حرف مي‏زني
16:14,16:17,You're talking to a guy who buys antipsychotic medication from you.,.که داروي ضدروان‏پريشي ازت مي‏خره...
16:18,16:21,I'm feeling a little unbalanced right now.,.الان حالم يه کم ميزون نيست
16:21,16:24,Maybe the best way to get the voices in my head to stop talking,شايد براي اين‏که صداهاي توي سرم رو ...قطع کنم، بهترين راه اينه که
16:24,16:25,is to cut yours off.,.گردنت رو بزنم...
16:25,16:27,Do you think it would help?,فکر مي‏کني کمکي بکنه؟
16:28,16:31,No. Don't fire. Don't shoot. It's cool.,.نه. دعوا نکنيد .شليک نکنيد. مشکلي نيست
16:31,16:33,"We're cool, man. We're cool. All right?",.مشکلي نداريم، مرد مشکلي نداريم. درسته؟
16:33,16:37,"Hey, dickhead. Grab my pills. Now.",.هي، کله‏کيري .قرص‏هام رو بردار. حالا
16:37,16:38,There you go.,.بفرما
16:39,16:41,"- You're crazy, man. - If I was crazy,",.تو ديوونه‏اي، مرد
16:41,16:43,I'd have chopped you up in little pieces a long time ago.,اگه ديوونه بودم، خيلي وقت پيش .قيمه قيمه‏ت مي‏کردم
16:43,16:44,Give me my pills.,.قرص‏هام رو بده
16:46,16:49,"And you listen to me, Ronny. I'm not crazy, okay?",.حالا، گوشِ‏ت به من باشه، روني من ديوونه نيستم، خب؟
16:49,16:51,I'm just misunderstood. All right?,.اوهوم - فقط درست درکم نکردن .خب؟ -
17:45,17:47,- Help! - Leona!,!کمک !لئونا
18:21,18:26,NYPD picked up an Evan mccauley. Drug deal gone south.,پليس نيويورک ايوان مک‏کالي رو دستگير .کرده. معامله‏ي مواد مخدر به هم خورد
18:27,18:29,Cops found a sword on him.,.پليس‏ها يه شمشير باهاش پيدا کردن
18:30,18:32,Blade was made with a process,...شمشير با روشي ساخته شده
18:32,18:35,hasn't been used since edo Japan.,که از زمان دوره‏ي اِدو در ژاپن... .استفاده نشده
18:38,18:40,He claims he forged it himself.,.ادعا مي‏کنه که خودش اون رو ساخته
18:40,18:42,Another broker-turned-h/pster blacksmith.,.يه آهنگر دلال ديگه که نوگرا شده
18:43,18:46,"Oh, ye of little faith. Are you seeing this, Nora?",.ايمان کمي داري اينو مي‏بيني، نورا؟
18:47,18:49,- Treadwa y? - Precisely.,تريدوي؟ - .دقيقاً -
18:50,18:53,"If we know, bathurst knows.",.اگه ما بدونيم، باتورست هم مي‏دونه
18:53,18:54,Be careful.,.مراقب باش
18:55,18:57,"Thanks, ll/lom.",.ممنون، مامان
19:19,19:21,"Tell us when you're done, sir.",.کارِتون که تموم شد بگيد، آقا
19:21,19:22,Can I get my phone call?,مي‏شه زنگم رو بزنم؟
19:24,19:26,Supposed to get a phone call.,.قرار بود زنگ بزنم
19:40,19:43,"You're dressed way too nice to be an NYPD detective, so...",واسه کارآگاه پليس بودن ...زيادي خوش‏لباسي، پس
19:45,19:46,Must be a doctor.,.بايد پزشک باشي
19:48,19:50,Not a thing?,متوجه‏ي چيزي نشدي؟
19:51,19:53,No recognition at all?,اصلاً به جا نمياري؟
19:55,19:57,I think I should feel hurt.,.به نظرم بايد ناراحت بشم
20:00,20:04,Do you remember... Syracuse?,سيراکيوز رو به ياد داري؟
20:04,20:06,Syracuse.,.سيراکيوز
20:06,20:07,The siege.,.محاصره
20:08,20:10,Second punic war.,.دومين جنگ پوني (جنگي ميان کارتاژ و روم =)
20:12,20:13,Where we first met.,.اونجا اولين بار باهم آشنا شديم
20:14,20:17,"Well, not quite the thrill ride of the first punic war,",خب، به اندازه‏ي جنگ اول پوني ،هيجان زيادي نداشت
20:17,20:18,"but sequels are tough, huh?",اما، دنباله‏هاش سخت بود، ها؟
20:19,20:21,You disappoint me.,.نااميدم کردي
20:21,20:23,"Well, join the club.",.خب، به باشگاه نااميد‏ها خوش اومدي
20:23,20:24,I notice...,...متوجه شدم
20:27,20:28,You didn't sign it.,.امضاش نکردي
20:31,20:33,Then again...,...اما اينو بايد در نظر داشت
20:34,20:36,Craftsmanship like this...,...که چنين هنرمندي‏اي
20:38,20:41,You didn't need to... did you?,نيازي به امضاي شما نداشت، داشت؟
20:41,20:44,I made a sword. Is that a crime?,.يه شمشير ساختم جرمه؟
20:46,20:47,Evan mccauley.,.ايوان مک‏کالي
20:48,20:52,Diagnosed with schizophrenia at 14...,چهارده سالگي تشخيص دادن ،اسکيزوفرني داري
20:53,20:56,"After carving the words ""look inside""",اون هم پس از اين‏که با موکت‏بُر ...روي سينه‏ت
20:56,20:59,into your chest with a box cutter.,"""جمله‏ي ""داخل رو نگاه کنيد... .حک کردي"
21:00,21:02,Electroshock proved unhelpful.,.درمان الکتروشوک هم بي‏فايده بود
21:03,21:04,But these...,...اما اينا
21:06,21:07,"Are not bad, eh?",بد نيستن، ها؟
21:12,21:14,"- Doctor, can I... - Please. Go ahead.",دکتر، مي‏تونم...؟ - .خواهش مي‏کنم. بفرماييد -
21:18,21:22,"At 16, attempted suicide via car crash,",در شانزده سالگي، با ماشين ،اقدام به خودکشي کردي
21:22,21:26,necessitating the steel plate in your skull.,که لازم شد يه صفحه‏ي پولادي .توي جمجمه‏ت قرار بدن
21:26,21:29,Spent the rest of your early life bouncing around,بقيه‏ي اوايل زندگيت هم يه پات توي .تيمارستان‏ها بوده، يه پات هم توي پرورشگاه‏ها
21:29,21:33,between psych hospitals and foster homes.,بقيه‏ي اوايل زندگيت هم يه پات توي .تيمارستان‏ها بوده، يه پات هم توي پرورشگاه‏ها
21:33,21:35,"Well, I only cut a couple of his fingers off.",.فقط 2-3 تا از انگشت‏هاش رو بُريدم
21:35,21:38,"I don't think I'm gonna need to plead insanity on this one, am I, doctor?",فکر نمي‏کنم نياز باشه براي اين يه مورد اتهام جنون رو بپذيرم، درسته، دکتر؟
21:38,21:39,I'm curious.,.کنجکاوم
21:41,21:42,"""Look inside.""",""".داخل رو نگاه کنيد"""
21:44,21:46,- Why those words? - Why not?,چرا اين واژه‏ها؟ - چرا که نه؟ -
22:12,22:16,Which one of these... is yours?,کدوم از اينا... مالِ توئه؟
22:17,22:20,You can skip the... Whatever the hell this is,مي‏توني از اين سوال که اينا ديگه ،چه کوفتيه صرف‏نظر کني
22:20,22:21,because none of that is mine.,.چون هيچ‏کدوم‏شون مالِ من نيست
22:26,22:28,You're not supposed to have that in here.,.تو نبايد اونو بياري اين‏جا
22:36,22:38,What's going on here?,اين‏جا چه خبره؟
22:39,22:40,"Hey, officer.",.هي، افسر
22:58,23:00,"Hey, what the hell is going on here?",هي، هيچ معلومه اين‏جا چه خبره؟
23:07,23:08,Pick it up.,.برش دار
23:09,23:10,What?,چي؟
23:11,23:12,Pick it up.,.برش دار
23:18,23:19,Paris.,.پاريس
23:20,23:21,1794.,.سال 1794
23:22,23:24,The last meal of the comte d'anjou.,.آخرين غذايِ کُنت دي‏آنجو
23:29,23:30,A Bordeaux.,.بوردو
23:31,23:33,Not a bad choice for a last meal.,.براي آخرين غذا انتخاب بدي نيست
23:35,23:36,Was it yours?,مالِ تو بود؟
23:38,23:41,"I wish I knew what you were talking about, but I don't know what to tell...",،کاش مي‏دونستم داري از چي حرف مي‏زني ...ولي نمي‏دونم چي بگم
23:41,23:42,Jesus!,!يا خدا
23:42,23:44,"Every time you say, ""I don't know,""","،""هر بار که ميگي: ""نمي‏دونم"
23:45,23:48,this trigger gets pulled.,.اين ماشه چکانده مي‏شه
23:52,23:54,- Is it yours? - I don't know...,مالِ توئه؟ - ...نمي‏دونم -
23:54,23:56,Are you out of your mind?,مگه زده به سرت؟
23:56,23:58,- We're in a police station! Officer! - The room is soundproof!,!ناسلامتي توي اداره‏ي پليسيم! آهاي! افسر - !اتاق ضدصوته -
23:58,24:00,They won't even hear it when I put,حتي اگه 250 گرم سُرب پشتِ جمجمه‏ت .خالي کنم، صداش رو نمي‏شنون
24:00,24:04,250 grams of lead through the back of your skull.,حتي اگه 250 گرم سُرب پشتِ جمجمه‏ت .خالي کنم، صداش رو نمي‏شنون
24:10,24:12,- Is it yours? - Yes.,مالِ توئه؟ - .بله. باشه، بله، مالِ منه -
24:12,24:14,"Okay, yes, it's mine. Are you happy?",راضي شدي؟
24:14,24:15,Jesus!,!يا خدا
24:17,24:20,Lying... won't help.,.دروغ‏گويي... کمکي نمي‏کنه
24:20,24:23,"Look, I'm just a guy who was at the wrong place",ببين. من فقط آدمي‏ام که در زمان اشتباهي .توي جاي اشتباهي بودم. همين
24:23,24:25,at the wrong time. That's all.,ببين. من فقط آدمي‏ام که در زمان اشتباهي .توي جاي اشتباهي بودم. همين
24:25,24:26,"Last chance, Evan.",.آخرين فرصتته، ايوان
24:28,24:32,Is... it... yours?,اين... مالِ... توئه؟
25:12,25:14,There's the treadway I know!,!همون تريدويي که مي‏شناسم
25:23,25:26,Little trick I learned from you.,.نيرنگ کوچيکي که ازت ياد گرفتم
25:29,25:31,"Hello, old friend.",.سلام، دوست قديمي
25:53,25:54,Vvhoa!,!هوي
25:58,25:59,Get in!,!سوار شو
26:13,26:14,- Hold on. - Shit!,.محکم بشين - !لعنتي -
26:34,26:35,Go! Turn! Turn!,!برو! بپيچ! بپيچ
