Start Time,End Time,English,Big.Hero.6.2014.720p.BluRay.x264-SPARKS.srt,Big.Hero.6.2014.720p.Bluray.Ganool By IMDB-dl.srt,Big.Hero.6.2014.720p.WEB-DL.Ganool.srt,Big.Hero.VI-BluRay.1080p-2014.srt,Big.Hero.open subtitle.srt
05:01,05:02,- Are you okay? - Yeah.,حالت خوبه؟ - آره -,حالت خوبه؟ - .آره -,حالت خوبه؟ - .آره -,حالت خوبه؟؟ - آره -,حالت خوبه؟ - .آره -
05:02,05:03,- Are you hurt? - No.,!چه فکري پيش خودت کردي آخه احمق,صدمه که ندیدی؟ - .نه -,صدمه که ندیدی؟ - .نه -,آسیب دیدی؟ - نه -,صدمه که ندیدی؟ - .نه -
05:04,05:05,"Then what were you thinking, knucklehead?",13سالت شده، دبيرستان رو تموم کردي که بشي اينکاره؟,پس چه فکری کرده بودی مغزفندقی؟,پس چه فکری کرده بودی مغزفندقی؟,پس پیش خودت چی فکر کردی کله‌خر؟,پس چه فکری کرده بودی مغزفندقی؟
05:10,05:11,"You graduated high school when you were 13,",!محکم بشين,...وقتی 13 سالت بود از مدرسه فارغ‌التحصیل شدی,...وقتی 13 سالت بود از مدرسه فارغ‌التحصیل شدی,تو توی 13 سالگی دبیرستان رو تموم کردی,...وقتی 13 سالت بود از مدرسه فارغ‌التحصیل شدی
05:11,05:12,and this is what you're doing?,!محکم بشين,و می‌خوای این کار رو انجام بدی؟,و می‌خوای این کار رو انجام بدی؟,و اونوقت این کاریه که میکنی؟,و می‌خوای این کار رو انجام بدی؟
05:12,05:13,There they are!,!محکم بشين,!اونجان,!اونجان,اونجا هستن,!اونجان
05:14,05:15,Hey!,,!هی,!هی,هی,!هی
05:15,05:17,Hold on!,!ايول,.محکم بگیر,.محکم بگیر,سفت بشین,.محکم بگیر
05:18,05:19,Yes!,جنگ روبات‌ها غيرقانوني‌ـه با اين کارا ميافتي زندان,!آره,!آره,آره,!آره
05:19,05:21,Get back here.,جنگ روبات‌ها غيرقانوني‌ـه با اين کارا ميافتي زندان,.برگرد اینجا,.برگرد اینجا,برگرد اینجا,.برگرد اینجا
05:22,05:23,Bot fighting is illegal.,،جنگ روبات‌ها غيرقانوني نيست شرط بندي تو جنگ روبات‌هاست که غيرقانوني‌ـه,.مبارزه رباتها غیرقانونیه,.مبارزه رباتها غیرقانونیه,مبارزه‌ی روباتی غیرقانونیه,.مبارزه رباتها غیرقانونیه
05:23,05:25,You're going to get yourself arrested.,،جنگ روبات‌ها غيرقانوني نيست شرط بندي تو جنگ روبات‌هاست که غيرقانوني‌ـه,.کاری می‌کنی که دستگیر بشی,.کاری می‌کنی که دستگیر بشی,خودتو گیر میندازی,.کاری می‌کنی که دستگیر بشی
05:26,05:28,Bot fighting is not illegal.,ولي کي اهميت ميده وقتي همه رو دارم لوله مي‌کنم داداش بزرگه,.مبارزه رباتها غیرقانونی نیست,.مبارزه رباتها غیرقانونی نیست,مبارزه‌ی روباتی غیرقانونی نیست,.مبارزه رباتها غیرقانونی نیست
05:28,05:30,"Betting on bot fighting, that's... that's illegal.",ولي کي اهميت ميده وقتي همه رو دارم لوله مي‌کنم داداش بزرگه,شرط بستن در مبارزه .رباتها غیرقانونیه,شرط بستن در مبارزه .رباتها غیرقانونیه,...شرط‌بندی رو مبارزه‌ی روباتی ...اینه که غیرقانونیه,شرط بستن در مبارزه .رباتها غیرقانونیه
05:30,05:32,But so lucrative!,!هيچي هم جلودارم نيست,.اما خیلی سود داره,.اما خیلی سود داره,اما خیلی درآمد اره,.اما خیلی سود داره
05:32,05:35,"I'm on a roll, big brother! And there is no stopping me!",!هيچي هم جلودارم نيست,.دور دوره منه، داداش بزرگه .و هیچکس نمی‌تونه جلوی منو بگیره,.دور دوره منه، داداش بزرگه .و هیچکس نمی‌تونه جلوی منو بگیره,من الان رو شانسم داداش بزرگه و هیچ توقفی در کارم نیست,.دور دوره منه، داداش بزرگه .و هیچکس نمی‌تونه جلوی منو بگیره
05:37,05:38,"Oh, no.",واي، نه,.اوه، نه,.اوه، نه,اوه،نه,.اوه، نه
05:50,05:51,"Hi, Aunt Cass.","""سلام خاله ""کَس",".""سلام، خاله ""کَس",".""سلام، خاله ""کَس","""سلام خاله""کَس",".""سلام، خاله ""کَس"
05:52,05:53,Are you guys okay? Tell me you're okay.,شما حالتون خوبه؟ بگين که حالتون خوبه,حالتون خوبه؟ .بهم بگین که خوبین,حالتون خوبه؟ .بهم بگین که خوبین,شما پسرا خوبید؟ ... بگید که خوبید,حالتون خوبه؟ .بهم بگین که خوبین
05:54,05:55,- We're fine. - We're okay.,خوبيم - حالمون خوبه -,.خوبیم - .ما خوبیم -,.خوبیم - .ما خوبیم -,ماخوبیم - ماخوبیم -,.خوبیم - .ما خوبیم -
05:55,05:56,"Oh, good.",خوبه,.خوبه,.خوبه,اوه خوبه,.خوبه
05:57,05:58,Then what were you two knuckleheads thinking?,خب حالا شما دوتا احمق چه فکري پيش خودتون کردين؟,پس شما مغزفندقی‌ها چه فکری کرده بودین؟,پس شما مغزفندقی‌ها چه فکری کرده بودین؟,پس شما دوتا کله‌خر چی فکر میکردید؟,پس شما مغزفندقی‌ها چه فکری کرده بودین؟
06:00,06:01,"For 10 years,",ده ساله که دارم تمام تلاشمو براي تربيت شما مي‌کنم,...ده ساله که,...ده ساله که,...برای 10 سال,...ده ساله که
06:01,06:03,I have done the best I could to raise you.,ده ساله که دارم تمام تلاشمو براي تربيت شما مي‌کنم,.بهترین تلاشم رو کردم تا شما رو بزرگ کنم,.بهترین تلاشم رو کردم تا شما رو بزرگ کنم,تموم زورم رو زدم که شما رو بزرگ کنم,.بهترین تلاشم رو کردم تا شما رو بزرگ کنم
06:04,06:05,Have I been perfect? No.,!بي نقص بودم؟ نه !اصلاً چيزي درمورد بچه‌ها مي‌دونم؟ نه,.کامل بودم؟ نه,.کامل بودم؟ نه,آیا من عالی بودم؟ نه,.کامل بودم؟ نه
06:05,06:07,Do I know anything about children? No.,!بي نقص بودم؟ نه !اصلاً چيزي درمورد بچه‌ها مي‌دونم؟ نه,.در مورد بچه‌ها چیزی می‌دونستم؟ نه,.در مورد بچه‌ها چیزی می‌دونستم؟ نه,چیزی درباره‌ی بچه ها میدونم؟ نه,.در مورد بچه‌ها چیزی می‌دونستم؟ نه
06:07,06:09,Should I have picked up a book on parenting?,بايد کتاب آموزش فرزندداري بخونم؟ شايد,باید یه کتاب در مورد سرپرستی بچه‌ها می‌خوندم؟,باید یه کتاب در مورد سرپرستی بچه‌ها می‌خوندم؟,بهتره یه کتاب آموزش بچه‌داری بگیرم؟,باید یه کتاب در مورد سرپرستی بچه‌ها می‌خوندم؟
06:09,06:10,Probably!,بايد کتاب آموزش فرزندداري بخونم؟ شايد,!احتمالا,!احتمالا,!احتمالا,!احتمالا
06:10,06:13,Where was I going with this? I had a point.,به کجا مي‌خواستم برسم؟ ...به جايي رسيدم که,چه بلایی داره سر من میاد؟ .قبلا یه هدف داشتم,چه بلایی داره سر من میاد؟ .قبلا یه هدف داشتم,میخواستم با این به کجا برسم؟ ...خب یه هدفی داشتم,چه بلایی داره سر من میاد؟ .قبلا یه هدف داشتم
06:13,06:15,"- Sorry. - We love you, Aunt Cass.",ببخشيد - دوستت داريم خاله کس -,".ببخشید - .""دوستت داریم، خاله ""کَس -",".ببخشید - .""دوستت داریم، خاله ""کَس -","...شرمنده - ""دوستت داریم خاله""کَس -",".ببخشید - .""دوستت داریم، خاله ""کَس -"
06:15,06:16,"Well, I love you, too!",!منم دوستتون دارم,!خب، منم دوستتون دارم,!خب، منم دوستتون دارم,خب منم دوستتون دارم,!خب، منم دوستتون دارم
06:18,06:19,I had to close up early because of you two felons.,مجبور شدم به خاطر شما دوتا بزهکار زود تعطيل کنم اونم تو شب مشاعره,باید به خاطر شما دو تا تبهکار .مغازه زود می‌بستم,باید به خاطر شما دو تا تبهکار .مغازه زود می‌بستم,مجبور بودم بخاطر شما دوتا رفیق زودتر تعطیل کنم,باید به خاطر شما دو تا تبهکار .مغازه زود می‌بستم
06:20,06:22,On beat poetry night.,مجبور شدم به خاطر شما دوتا بزهکار زود تعطيل کنم اونم تو شب مشاعره,.اونم در شب مشاعره,.اونم در شب مشاعره,درست اول شب شاعری,.اونم در شب مشاعره
06:23,06:24,Stress eating. Because of you.,"!استرس گرفتم به خاطر شما !""بيا ""موتي",.به خاطر شما دو تا از استرس زیاد فقط باید بخورم,.به خاطر شما دو تا از استرس زیاد فقط باید بخورم,خوردن بخاطر استرس از دست شما,.به خاطر شما دو تا از استرس زیاد فقط باید بخورم
06:25,06:27,"Come on, Mochi.","!استرس گرفتم به خاطر شما !""بيا ""موتي",".""بیا بریم، ""موچی",".""بیا بریم، ""موچی","!""بجنب ""موچی",".""بیا بریم، ""موچی"
06:27,06:29,This is really good!,!واقعاً خوشمزه‌ست,.چقدر هم خوشمزه‌س,.چقدر هم خوشمزه‌س,این واقعا خوبه,.چقدر هم خوشمزه‌س
06:32,06:35,You better make this up to Aunt Cass before she eats everything in the cafe.,بهتره قبل از اينکه خاله کس همه‌چي رو تو کافه قورت بده از دلش دربياري,"""باید این مشکل رو با خاله ""کَس .حلش کنی قبل از اینکه تمام مغازه رو بخوره","""باید این مشکل رو با خاله ""کَس .حلش کنی قبل از اینکه تمام مغازه رو بخوره","بهتره اینو به خاله""کَس""توضیح بدی قبل از اینکه همه‌ی چیزای کافه رو بخوره","""باید این مشکل رو با خاله ""کَس .حلش کنی قبل از اینکه تمام مغازه رو بخوره"
06:35,06:36,For sure.,حتماً,.حتما,.حتما,حتما,.حتما
06:36,06:37,"And I hope you learned your lesson, bonehead.",و اميدوارم درس گرفته باشي احمق,.و امیدوارم درس‌ت رو یاد گرفته باشی، احمق,.و امیدوارم درس‌ت رو یاد گرفته باشی، احمق,و امیدوارم درس گرفته باشی، بی‌مغز,.و امیدوارم درس‌ت رو یاد گرفته باشی، احمق
06:38,06:39,Absolutely.,!کاملاً,.کاملا,.کاملا,قطعا,.کاملا
06:41,06:42,"You're going bot fighting, aren't you?",مي‌خواي بري جنگ روبات‌ها، مگه نه؟,داری میری مبارزه، درسته؟,داری میری مبارزه، درسته؟,شما میرید به مبارزه‌ی روباتی، مگه نه؟,داری میری مبارزه، درسته؟
06:42,06:45,"There's a fight across town. If I book, I can still make it.",يه مبارزه اونور شهر برگزار ميشه اگه رزرو کنم مي‌تونم بهش برسم,.یه مبارزه اونطرف شهر هست .اگر ثبت‌نام کنم، هنوزم می‌تونم موفق شم,.یه مبارزه اونطرف شهر هست .اگر ثبت‌نام کنم، هنوزم می‌تونم موفق شم,یه مبارزه اونطرف شهره؛ اگه زمان‌بندی کنم هنوزم میتونم بهش برسم,.یه مبارزه اونطرف شهر هست .اگر ثبت‌نام کنم، هنوزم می‌تونم موفق شم
06:47,06:49,When are you gonna start doing something,پس کي مي‌خواي از اين مغز گنده‌ت استفاده کني؟,...بالاخره کی می‌خوای,...بالاخره کی می‌خوای,...کی قراره که تو,...بالاخره کی می‌خوای
06:49,06:50,with that big brain of yours?,پس کي مي‌خواي از اين مغز گنده‌ت استفاده کني؟,با اون مغز بزرگت یه کاری بکنی؟,با اون مغز بزرگت یه کاری بکنی؟,با اون مغز گندت یه کاری بکنی,با اون مغز بزرگت یه کاری بکنی؟
06:50,06:52,What? Go to college like you?,چيکار کنم؟ مثل تو برم کالج؟ که همون چيزايي رو که خودم مي‌دونم به خوردم بدن؟,چی؟ مثل تو برم دانشگاه؟,چی؟ مثل تو برم دانشگاه؟,چکار؟ مثل تو برم دانشگاه؟,چی؟ مثل تو برم دانشگاه؟
06:52,06:54,So people can tell me stuff I already know?,چيکار کنم؟ مثل تو برم کالج؟ که همون چيزايي رو که خودم مي‌دونم به خوردم بدن؟,تا مردم بهم چیزایی رو یاد بدم که خودم می‌دونم؟,تا مردم بهم چیزایی رو یاد بدم که خودم می‌دونم؟,که مردم بتونن چیزایی رو بهم بگن که همین حالا میدونم؟,تا مردم بهم چیزایی رو یاد بدم که خودم می‌دونم؟
06:55,06:56,Unbelievable.,!باورنکردني‌ـه,.باورنکردنیه,.باورنکردنیه,باورنکردنیه,.باورنکردنیه
06:57,06:58,What would Mom and Dad say?,اگه مامان و بابا بودن چي مي‌گفتن؟,مامان و بابا چی می‌گفتن؟,مامان و بابا چی می‌گفتن؟,آه‌ه!مامان بابا چی میگفتن؟,مامان و بابا چی می‌گفتن؟
06:59,07:00,I don't know.,نمي‌دونم. اونا که مُردن,.نمی‌دونم,.نمی‌دونم,من چه میدونم,.نمی‌دونم
07:00,07:01,They're gone.,نمي‌دونم. اونا که مُردن,.اونا رفتن,.اونا رفتن,اونا مُردن,.اونا رفتن
07:02,07:03,"They died when I was three, remember?",وقتي 3 سالم بود مُردن، يادته؟,وقتی که سه سالم بود مردن، یادته؟,وقتی که سه سالم بود مردن، یادته؟,وقتی من 3ساله بودم مردن، یادته؟,وقتی که سه سالم بود مردن، یادته؟
07:06,07:07,Hey!,!هــي,!هی,!هی,هی,!هی
07:08,07:10,- I'll take you. - Really?,من مي‌برمت - واقعاً؟ -,.من می‌برمت - واقعا؟ -,.من می‌برمت - واقعا؟ -,من میبرمت - واقعا؟ -,.من می‌برمت - واقعا؟ -
07:11,07:12,"I can't stop you from going,",نمي‌تونم جلوي رفتنت رو بگيرم ولي نميذارم تنهايي هم بري,...نمی‌تونم جلوی رفتنت رو بگیرم,...نمی‌تونم جلوی رفتنت رو بگیرم,نمیتونم جلوتو بگیرم,...نمی‌تونم جلوی رفتنت رو بگیرم
07:12,07:13,but I'm not going to let you go on your own.,نمي‌تونم جلوي رفتنت رو بگيرم ولي نميذارم تنهايي هم بري,.اما نمی‌ذارم خودت تنها بری,.اما نمی‌ذارم خودت تنها بری,اما نمیتونم بذارم تنها بری,.اما نمی‌ذارم خودت تنها بری
07:13,07:15,Sweet.,چه خوب,.چقدر باحال,.چقدر باحال,آخ‌جون,.چقدر باحال
07:17,07:19,What are we doing at your nerd school?,به مدرسه‌ي خرخونا چيکار داريم؟,تو مدرسه بچه‌درس‌خونها چه کار می‌کنیم؟,تو مدرسه بچه‌درس‌خونها چه کار می‌کنیم؟,توی مدرسه‌ی تیزهوشان تو چیکار میکنیم؟,تو مدرسه بچه‌درس‌خونها چه کار می‌کنیم؟
07:19,07:21,Bot-fight's that way!,مسابقه از اونوريه,.مبارزه که اونطرفه,.مبارزه که اونطرفه,مبارزه‌ی روباتی از اون طرفه,.مبارزه که اونطرفه
07:24,07:25,Gotta grab something.,بايد يه چيزي بردارم,.باید یه چیزایی رو بردارم,.باید یه چیزایی رو بردارم,باید یه چیزی بردارم,.باید یه چیزایی رو بردارم
07:27,07:28,Is this gonna take long?,خيلي طول مي‌کشه؟,خیلی طول میکشه؟,خیلی طول میکشه؟,طول میکشه؟,خیلی طول میکشه؟
07:28,07:31,"Relax, you big baby. We'll be in and out.",آروم بگير بچه، زود تموم ميشه,.آروم باش، بچه‌جون .سریع میریم و برمی‌گردیم,.آروم باش، بچه‌جون .سریع میریم و برمی‌گردیم,آروم باش بچه‌ی بزرگ میریم داخل و میایم بیرون,.آروم باش، بچه‌جون .سریع میریم و برمی‌گردیم
07:31,07:32,"Anyway, you've never seen my lab.",تازه، تا حالا آزمايشگاه منو که نديدي - عالي شد! بايد آزمايشگاه اسکُلا رو هم ببينم -,.به هر حال، هیچوقت آزمایشگاه منو ندیدی,.به هر حال، هیچوقت آزمایشگاه منو ندیدی,به هرحال تو تاحالا آزمایشگاه منو ندیدی,.به هر حال، هیچوقت آزمایشگاه منو ندیدی
07:33,07:34,"Oh, great, I get to see your nerd lab!",تازه، تا حالا آزمايشگاه منو که نديدي - عالي شد! بايد آزمايشگاه اسکُلا رو هم ببينم -,عالیه، حالا خیلی هم خوشم .میاد آزمایشگاه بچه‌درس‌خونها رو ببینم,عالیه، حالا خیلی هم خوشم .میاد آزمایشگاه بچه‌درس‌خونها رو ببینم,اوه، عالیه؛ میتونم آزمایشگاه تیزهوشان رو ببینم,عالیه، حالا خیلی هم خوشم .میاد آزمایشگاه بچه‌درس‌خونها رو ببینم
07:34,07:35,Heads up!,!بپـا,!حواست باشه,!حواست باشه,سرها بالا,!حواست باشه
07:56,07:57,Electro-mag suspension?,اين تعليق الکترومغناطيسي‌ـه؟,تعلیق الکترومغناطیسی؟,تعلیق الکترومغناطیسی؟,تعلیق الکترومغناطیسی؟,تعلیق الکترومغناطیسی؟
07:57,07:58,Hey!,اين تعليق الکترومغناطيسي‌ـه؟,!هی,!هی,هی,!هی
07:59,08:01,- Who are you? - I'm...,تو کي هستي؟,کی هستی؟ - ...من -,کی هستی؟ - ...من -,تو کی هستی؟ - ...من -,کی هستی؟ - ...من -
08:01,08:03,"Go Go, this is my brother Hiro.","...من - گوگو""، اين برادرم‌ـه، هيرو"" -",".""برو، برو"" این برادرمه ""هیرو""",".""برو، برو"" این برادرمه ""هیرو""","گوگو""این برادرم هیرو‌ـه""",".""برو، برو"" این برادرمه ""هیرو"""
08:06,08:08,Welcome to the nerd lab.,به آزمايشگاه اسکُلا خوش اومدي,.به آزمایشگاه بچه‌درس‌خونها خوش اومدی,.به آزمایشگاه بچه‌درس‌خونها خوش اومدی,به آزمایشگاه تیزهوشان خوش اومدید,.به آزمایشگاه بچه‌درس‌خونها خوش اومدی
08:09,08:10,Yeah.,آره,.آره,.آره,آره,.آره
08:10,08:13,I've never seen electro-mag suspension on a bike before.,تا حالا تعليق الکترومغناطيسي رو روي يه دوچرخه نديده بودم,تا حالا تعلیق .الکترومغناطیسی رو روی هیچ دوچرخه‌ای ندیدم,تا حالا تعلیق .الکترومغناطیسی رو روی هیچ دوچرخه‌ای ندیدم,تا حالا سیستم تعلیق الکترومغناطیسی رو دوچرخه ندیدم,تا حالا تعلیق .الکترومغناطیسی رو روی هیچ دوچرخه‌ای ندیدم
08:13,08:16,"Zero resistance, faster bike.",مقاومت صفر، دوچرخه رو سريعتر مي‌کنه,.بدون مقاومت، دوچرخه سریعتر میشه,.بدون مقاومت، دوچرخه سریعتر میشه,...مقاومت صفر دوچرخه‌ای سریعتر,.بدون مقاومت، دوچرخه سریعتر میشه
08:16,08:18,"But, not fast enough...",...ولي نه اونقدرا سريع,...اما، بازم انقدر سریع نیست,...اما، بازم انقدر سریع نیست,...اما نه به اندازه‌ی کافی سریع,...اما، بازم انقدر سریع نیست
08:20,08:21,...yet.,فعلاً,.هنوز,.هنوز,هنوز نه...,.هنوز
08:26,08:28,"Do not move. Behind the line, please.",!هــوو! تکون نخور  پشت خط وايسا لطفاً,.حرکت نکن، برو پشت خط خواهش می‌کنم,.حرکت نکن، برو پشت خط خواهش می‌کنم,تکون نخور؛ پشت خط لطفا,.حرکت نکن، برو پشت خط خواهش می‌کنم
08:28,08:30,"Hey, Wasabi. This is my brother Hiro.","""سلام ""وسابي اين برادرم‌ـه، هيرو",".سلام ""واسابی"" این برادرم ""هیرو"" ــه",".سلام ""واسابی"" این برادرم ""هیرو"" ــه","""هی ""واسابی ""این برادرمه""هیرو",".سلام ""واسابی"" این برادرم ""هیرو"" ــه"
08:31,08:34,"Hello, Hiro. Prepare to be amazed.",سلام هيرو آماده‌ي متحير شدن باش,".سلام ""هیرو""، حاضر باش که شگفت‌زده شی",".سلام ""هیرو""، حاضر باش که شگفت‌زده شی","""سلام""هیرو آماده‌ی شگفت‌زدگی شو",".سلام ""هیرو""، حاضر باش که شگفت‌زده شی"
08:35,08:36,Catch.,!بگيرش,.بگیر,.بگیر,بگیر,.بگیر
08:37,08:38,Wow.,ليزر القاء شده از پلاسما؟ - اوه، آره -,!وای,!وای,واو,!وای
