Start Time,End Time,English,About.Time.open subtitle.srt
02:07,02:09,<i>Full of repeated rhythms and patterns.</i>,<i>گذشته از همه‌ي اينها، دوران کدوکي نسبتا خوبي بود پُر از ريتم ها و الگوهاي تکراري</i>
02:09,02:11,"<i>By the time I was 21, we were still</i>",<i>... وقتي 21 سالم شده بود، هنوز</i>
02:11,02:13,<i>having tea on the beach every single day.</i>,<i>هر روز ميرفتيم کنار ساحل و چايي ميخورديم</i>
02:13,02:16,"<i>Skimming stones and eating sandwiches,</i>",<i>،سنگ پرتاب ميکرديم، ساندويچ ميخورديم</i>
02:16,02:20,"<i>summer and winter, no matter what the weather.</i>",<i>تابستون و زمستون، اهميتي هم نداشت که هوا چطور باشه</i>
02:20,02:21,Oh!,
02:24,02:26,"<i>And every Friday evening, a film,</i>",<i>و هر عصر جمعه، يک فيلم</i>
02:27,02:29,<i>no matter what the weather.</i>,<i>اهميتي هم نداشت که هوا چطور باشه</i>
02:30,02:34,"<i>And then once a year, the dreaded New Year's Eve party.</i>",<i>،و بعدش سالي يک بار جشن ترسناک سال نو</i>
02:51,02:53,"Yeah, I might just get one.",آره، ميرم يکي ميارم
02:56,02:59,You're absolutely gorgeous.,تو واقعا با شکوهي
03:01,03:03,I'm Katie. What am I drinking?,من کيتي هستم، چي دارم ميخورم؟
03:04,03:05,This is very expensive stuff.,اينا خيلي چيزهاي گروني هستن
03:06,03:07,Cheers. Cheers.,سلامتي - سلامتي -
03:22,03:23,"Come on, it's nearly midnight.",بجنبين، تقريبا نيمه شبه
03:23,03:25,We're all going through. We're going through.,بايد يکي برات پيدا کنيم و  دور هم باشيم
03:25,03:27,"Look, I've gotta find you a...",...ببين، بايد بفهمم
03:29,03:30,"Oh, God!",خدايا
03:31,03:34,Everyone makes little mistakes. It's fine. Come on.,همه اشتباه کوچيک دارن؛ چيزي نيست بجنب
03:36,03:38,"...6, 5,",شش، پنج، چهار، سه، دو، يک
03:38,03:41,"4, 3, 2, 1.",شش، پنج، چهار، سه، دو، يک
03:41,03:43,Happy New Year!,سال نو مبارک
03:43,03:45,Happy New Year.,سال نو مبارک
03:47,03:48,Sorry.,شرمنده
04:00,04:02,"<i>And so I woke up the next morning,</i>",<i>،و بعدش صبح بعد از خواب بيدار ميشم</i>
04:02,04:05,"<i>hung-over, ashamed of myself,</i>",<i>،خمار، از خودم خجالت ميکشيدم</i>
04:05,04:06,<i>and not realising it was the day</i>,<i>...و نميدونستم روزي بود</i>
04:06,04:08,<i>that would change my life forever.</i>,<i>که ميتونست براي هميشه زندگي منو تغيير بده</i>
04:10,04:11,"Get up, stupid.",بلند شو، احمق
04:14,04:16,Dad wants you.,بابا کارت داره
04:16,04:18,"Oh, hello. Sexy pyjamas.",اوه سلام. پيژامه هاي سکسي تنت کردي
04:24,04:25,"Ah, Tim, come in.",تيم، بيا تو
04:26,04:27,"Uh, do",...بيا
04:28,04:29,sit down.,بشين
04:31,04:33,That's very formal.,اين خيلي رسميه
04:34,04:36,"Well, um, yeah.",خب، آره
04:36,04:38,This is an odd moment for me,...اين برام لحظه‌ي عجيبيه
04:38,04:40,because I had the same moment with my,...چون من هم وقتي تازه 21 سالم شده بود
04:40,04:42,"father when I'd just turned 21, and after it,",،همين لحظه رو با پدرم تجربه کردم، و بعدش
04:43,04:48,"my life was never the same, so I approach it pretty, um, nervously.",،زندگيم هيچوقت مثل قبل نشد برا همين تقريبا دستپاچه هستم
04:48,04:49,Okay.,باشه
04:50,04:52,When you're ready. It's all very mysterious.,هر وقت آماده شدي بگو اينکارها خيلي اسرار آميزه
04:52,04:54,Uh... Right.,درسته
04:56,04:59,"Tim, my dear son, the, uh...",...تيم، پسر عزيزم
05:01,05:03,The simple fact is the men in this family,...حقيقت ساده اينه که مردهاي اين خانواده
05:03,05:06,have always had the ability to...,...هميشه توانايي اينو داشتن که
05:07,05:09,"This is going to sound strange,",اين يه ذره عجيب به نظر ميرسه
05:09,05:13,"be prepared for strangeness. Get ready for spooky time,",،براي غرابي آماده باش آماده شو براي اوقات ناجور
05:13,05:16,but there's this family secret.,ولي اين خانواده‎ يه راز داره
05:16,05:21,And the secret is that the men in the family can,..و راز اينه که، مردهاي اين خانواده ميتونن
05:23,05:25,travel in time.,در زمان سفر کنن
05:27,05:29,"Well, more accurately, travel back in time.",،خب، بخوام تصحيحش کنم تو زمان برگرديم
05:29,05:32,We can't travel into the future.,نميتونيم به آينده سفر کنيم
05:32,05:33,This is such a weird joke.,اين شوخي خيلي عجيبيه
05:34,05:36,It's seriously not a joke.,قطعا شوخي نيست
05:38,05:42,"So you're saying that you and granddad, and his brothers",....پس داري ميگي که تو و پدربزرگ و برادرهاش
05:42,05:45,could all travel back in time? Absolutely.,همه تون ميتونين تو زمان برگردين عقب؟ - قطعا -
05:45,05:47,And you still do? Absolutely.,و هنوز هم ميتونين؟ - قطعا -
05:47,05:50,Although it's not as dramatic as it sounds. It's only in my own life.,گرچه اونقدرا که به نظر ميرسه مهيج نيست فقط تو زندگي خودمه
05:50,05:53,I can only go to places where I actually was and can remember.,درواقع فقط ميتونم برم به جاهايي که قبلا بودم و ميتونم به خاطر بيارم
05:53,05:57,"I can't kill Hitler or shag Helen of Troy, unfortunately.",متاسفانه نميتونم هيتلر رو بکشم يا برم با هلن شهر تروا حال کنم
05:57,05:58,"Okay, stop.",باشه، بس کن
05:58,06:00,Um...,...ام
06:01,06:03,"If it's true, which it isn't. Although it is.",اگه حقيقت داشته باشه، که نداره - گرچه داره -
06:04,06:06,"Although it isn't, obviously. But if it was, which it's not.",گرچه نداره، اين که مشخصه ولي اگه حقيقت داشت، که نداره
06:06,06:07,Which it is.,که داره - ...که نداره، ولي اگه حقيقت داشت، من چطور -
06:07,06:09,"Which it isn't. But if it was, how would I...",که داره - ...که نداره، ولي اگه حقيقت داشت، من چطور -
06:09,06:11,"The ""How"" is the easy bit, in fact.",چطوريش درواقع يه ذره آسونه
06:11,06:14,"You go into a dark place, big cupboards are",...ميري يه جاي تاريک، گنجه هاي بزرگ
06:14,06:16,"very useful generally. Toilets, at a pinch.",عموما خيلي مفيد هستن توالت ها، داخل يه جاي باريک
06:16,06:19,Then you clench your fists like this.,بعدش مشت هارو اينجوري گره ميکني
06:19,06:20,Think of the moment you're going to,...و به لحظه اي که ميخواي بري فکر ميکني
06:20,06:22,and you'll find yourself there.,و بعدش خودت رو اونجا پيدا ميکني
06:22,06:25,After a bit of a stumble and a rumble and a tumble.,البته بعد از يه ذره لغزش و سرو صدا و جست و خيز
06:26,06:27,Wow.,عجب
06:27,06:29,Is as good a reaction as any.,اين از همه واکنش ها بهتره
06:29,06:33,"I think I plumped for ""fuck!"" but it was the '70s.",'فکر کنم من پريدم و گفتم، 'لعنتي ولي دهه هفتاد بود
06:33,06:35,"No, this is so obviously a joke.",نه، اين معلومه که شوخيه
06:35,06:36,It's not a joke.,شوخي نيست
06:37,06:39,Why would I lie to someone I'm,...چرا بايد به کسي دروغ بگم
06:40,06:41,fairly fond of?,که نسبتا بهش علاقه مند هستم؟
06:41,06:42,Okay.,باشه
06:42,06:44,"But, when I come back downstairs",....ولي، وقتي بعد از اينکه رفتم داخل يه گنجه
06:44,06:47,"after standing in a cupboard with my fists clenched,",و دستم رو گره کردم و برگشتم طبقه پايين
06:47,06:49,you're gonna be in so much trouble.,تو بد دردسري ميوفتي
06:49,06:51,"Well, let's see, shall we?",خب، تا ببينيم چي ميشه، باشه؟
06:51,06:52,Mmm.,
06:53,06:56,"Oh, and, Tim, try and do something interesting.",و تيم، سعي کن يه کار جالبي بکني
06:56,06:58,So much trouble.,دردسر خيلي زيادي در راهه
06:58,07:00,I mean it. Really.,.جدي ميگم، واقعا
07:09,07:10,Right.,خيله خب
07:45,07:46,Wow!,واو
08:02,08:03,"You all right, Tim?",حالت خوبه، تيم؟
08:03,08:05,"Yes. Yeah. Good, ace. Yeah.",آره، آره خوبم. محشرم آره
08:05,08:08,"Good, come on. It's nearly midnight and we've got to find...",...خوبه، بجنب. تقريبا نيمه شبه بايد برات يکي
08:08,08:10,"Whoa, whoa, whoa!",واو واو واو
08:14,08:15,Whoo! Midnight.,ووو، نيمه شب
08:15,08:18,"10, 9, 8, 7,",،ده، نه، هشت، هفت
08:19,08:21,"6, 5, 4,",شش، پنج، چهار، سه، دو، يک
08:21,08:24,"3,2,1.",شش، پنج، چهار، سه، دو، يک
08:24,08:26,Happy New Year!,سال نو مبارک
08:34,08:36,"Thank you, Tim.",ممنون، تيم
08:36,08:37,"You're welcome, Polly.",خواهش ميکنم، پاولي
09:01,09:02,Does Mum know?,مامان ميدونه؟
09:02,09:03,Not a whistle.,روحشم خبر نداره
09:03,09:05,Strange. And what about the whole...,...عجيبه، پس اين - اثر پروانه اي؟ چي ميتونم بگم -
09:05,09:06,Butterfly effect thing. What can I say?,...عجيبه، پس اين - اثر پروانه اي؟ چي ميتونم بگم -
09:06,09:08,We don't seem to have messed up civilisation yet.,به نظر ميرسه که هنوز گندي بار نياورديم
09:08,09:10,It's gonna be a complicated year.,سال پيچيده اي در راهه
09:10,09:12,It's gonna be a complicated life.,زندگي پيچيده اي در راهه
09:12,09:15,What have you done with it?,تو باهاش چکار کردي؟
09:15,09:17,"For me, it's books, books, books.",برا من، فقط کتاب هست و کتاب و کتاب
09:17,09:20,I've read everything a man could wish to.,من هرچيزي که يه مرد آرزو داره بخونه رو خوندم
09:20,09:24,Twice. Dickens three times. Any first thoughts?,دوبار. کتابهاي چارلز ديکنز رو حتي سه بار نظر خاصي نداري؟
09:25,09:27,"Well, I suppose apart from getting a slightly better haircut...",....خب، فکر کنم به غير از گرفتن يه مدل موي بهتر - آره -
09:27,09:28,Yeah.,....خب، فکر کنم به غير از گرفتن يه مدل موي بهتر - آره -
09:28,09:30,...money would be the obvious thing.,پول در آوردن چيز خيلي واضح هستش
09:30,09:31,Very mixed blessing.,دست رو بد چيزي گذاشتي
09:31,09:33,Utterly screwed up your grandfather's life.,کاملا زندگي پدربزرگت رو به باد داد
09:33,09:35,Left him without love or friends.,بدون دوست و عشق گذاشتش
09:35,09:37,I've never bumped into a genuinely happy rich person.,پس هيچوقت به آدم ثروتمندي که کاملا از زندگيش راضي باشه بر نخوردم
09:37,09:39,It would be nice not to have to work.,خيلي خوب ميشه که کار نکنيم
09:39,09:41,"No, that's a real recipe for disaster.",نه، اون يه دستور پخت فاجعه ي ديگه ست
09:41,09:42,Look what happened to Uncle Fred.,ببين چه بلايي سر عمو فرد اومد - چه بلايي سر عمو فرد اومد؟ -
09:42,09:44,What happened to Uncle Fred?,ببين چه بلايي سر عمو فرد اومد - چه بلايي سر عمو فرد اومد؟ -
09:44,09:46,Absolutely sod all.,همه چي رو به فنا داد
09:46,09:47,Wasted his life.,زندگيش رو تلف کرد
09:47,09:49,You have to use it for things that you really think,بايد برا چيزايي ازش استفاده کني ....که واقعا فکر ميکني
09:49,09:51,will make your life the way you want it to be.,زندگيت رو تبديل به چيزي ميکنن که دلت ميخواد
09:51,09:54,"Come on, really think about this.",بجنب، واقعا بهش فکر کن
09:54,09:55,"Well,",،خب
09:56,09:59,"to be honest, I suppose, at the moment,",،بخوام راستشو بگم، فکر کنم فعلا
09:59,10:03,it would be just great if it could help me get a girlfriend.,خيلي عالي ميشه اگه کمکم کنه يه دوست دختر برا خودم پيدا کنم
10:03,10:04,Wow.,عجب
10:06,10:08,Massive. Yeah.,يه فکر عظيم - آره -
10:09,10:10,The mothership.,اصل کاري
10:12,10:16,"<i>For me, it was always gonna be about love.</i>",<i>براي من، قرار بود هميشه برا عشق ازش استفاده کنم</i>
10:16,10:18,<i>And that summer I walked into the eye of the storm.</i>,<i>و اون تابستون مستقيم وارد يک طوفان شدم</i>
10:20,10:23,<i>Her name was Charlotte. Cousin of Kit Kat's</i>,<i>....اسمش شارلوت بود. دختر عموي</i>
10:23,10:25,<i>handsome but nasty boyfriend Jimmy.</i>,<i>دوست پسر خوشتيپ ولي بي شرف کيت کت، جيمي</i>
10:27,10:30,<i>And she was staying for two whole months.</i>,<i>و ميخواست دو ماه کامل بمونه</i>
10:34,10:36,Just one. Not both of them.,فقط يکي، نه هردوتاشون
10:38,10:39,"Tim,",تيم
10:40,10:42,will you do my back?,ميشه اينو بمالي کمرم؟
10:42,10:44,Absolutely!,قطعا
10:48,10:49,Very keen!,خيلي مهربوني
10:51,10:54,"Whoa! Oh, no. Oh, no.",واو، نه نه
10:55,10:57,"Oh, no. No, no. No, no, no.",اوه، نه نه نه نه، نه
10:59,11:00,Is it in my hair? Yes!,رو سرم ريخته؟ - آره -
11:08,11:12,Tim. Will you do my back?,تيم، ميشه اينو بمالي کمرم؟
11:12,11:14,Sure. Just give us a sec.,حتما. يه لحظه بهم وقت بده فقط
11:16,11:17,Okay.,باشه
11:30,11:31,Thank you.,ممنون
11:34,11:35,Now...,..حالا
11:42,11:44,Ooh. Nice.,اوه، خوبه
11:44,11:46,It's my area.,تخصصم همينه
11:49,11:52,<i>It was a summer of suntan and torture.</i>,<i>تابستوني از آفتاب گرفتن و شکنجه بود</i>
11:53,11:55,<i>I invited my foolish friend Jay around for tennis</i>,<i>،دوست احمقم جي رو براي تنيس دعوت کردم</i>
11:55,11:57,<i>because I thought he'd make me look good.</i>,<i>چون فکر ميکردم باعث ميشه خوب به نظر برسم</i>
12:01,12:02,Ah! Ow!,
12:03,12:04,<i>I was wrong!</i>,<i>اشتباه ميکردم</i>
12:04,12:06,"Ow! What are you doing? Oh, no.",داري چکار ميکني؟ - اوه نه -
12:10,12:12,<i>Charlotte just made both of us look like idiots.</i>,<i>شارلوت کاري کرد دوتامون مثل احمق ها بشيم</i>
12:12,12:13,"Bad luck, Tim.",بدشانسي، تيم
12:18,12:20,<i>How the hell are you meant to concentrate on your game?</i>,<i>چطوري ميتوني تو بازيت تمرکز کني؟</i>
12:21,12:23,<i>How are you meant to live your life</i>,<i>..چطوري ميتوني زندگيت رو انجام بدي</i>
12:23,12:25,<i>with this sort of shit going down?</i>,<i>اونم وقتي همچين قاراش ميشي به پاست؟</i>
12:27,12:30,<i>It never got better until suddenly</i>,<i>....هيچوقت بهتر نشد، تا وقتيکه ناگهان</i>
12:30,12:32,<i>it was almost too late.</i>,<i>تقريبا ديگه خيلي دير شده بود</i>
12:33,12:35,"Well, Charlotte, our final lunch.",خب، شارلوت، ناهار آخر ما
12:35,12:37,No!,نه
12:37,12:40,"And it's been really, really lovely having you all summer.",و واقعا خيلي دوست داشتني بود که کل تابستون پيش ما بودي
12:40,12:41,It has.,همينطوره
12:42,12:43,Thank you. Thank you.,ممنون ممنون
12:43,12:44,It really has.,واقعا همينطور بوده
12:44,12:45,"Hasn't it, Desmond?",اينطور نبود، دزموند؟
12:46,12:47,Beg your pardon?,ببخشيد؟
12:47,12:49,Lovely having Charlotte here all summer.,خيلي خوب بود که کل تابستون شارلوت پيشمون بود
12:49,12:51,Charlotte? Who's Charlotte?,شارلوت؟ شارلوت کيه؟
12:51,12:53,"Come on, darling. Charlotte, sitting next to you.",بيخيال عزيزم، شارلوت ديگه کنار تو نشسته
12:54,12:58,"Oh, yes, of course. Of course. Charlotte. Hi.",اوه آره البته.     - سلام - البته. شارلوت -
12:59,13:00,Lovely to meet you.,از ديدنت خوشحالم
13:04,13:08,"Have you enjoyed having Charlotte here all summer, Tim?",تيم، تو هم از کنار شارلوت بودن تو کل تابستون لذت بردي؟
13:09,13:10,Yeah.,آره
13:12,13:13,There goes August.,آگوست هم تموم شد
13:13,13:15,"I've introduced him to most things, haven't I?",من بيشتر چيزا رو بهش معرفي کردم، مگه نه؟
13:15,13:18,You did. You were much more sophisticated.,همينطوره. تو خيلي خبره تري
13:18,13:20,"In a quiet way, I like to think.",دوست دارم فکر کنم به طريق ديگه اي
13:34,13:36,Come in.,بيا تو
13:38,13:39,Charlotte. Yeah!,شارلوت - بله -
13:43,13:47,"As it's your last night, can I ask you a question?",حالا که آخرين شبي هست که اينجايي ميتونم يه سوال ازت بپرسم؟
13:48,13:49,"Oh, yeah. Ask away.",آره. شوت کن بياد
13:50,13:51,"No, wait.",نه وايسا
13:52,13:55,"It's not going to be about love, is it?",قرار نيست که درباره عشق باشه، درسته؟
13:56,13:57,Love? What?,عشق؟ چي؟
13:57,13:59,"Well, it's just that Kit Kat warned me that if you",خب، فقط کيت کت بهم هشدار داد که ...اگه يه موقع بهش اشاره کردي من بايد
13:59,14:01,"were to ever mention it, I should be",خب، فقط کيت کت بهم هشدار داد که ...اگه يه موقع بهش اشاره کردي من بايد
14:01,14:03,very firm with you and tell you,...خيلي رک باهات حرف بزنم و بهت بگم
14:03,14:05,you must treat me like your sister,که بايد مثل خواهرت باهام رفتار کني
14:05,14:07,and not be stupid.,و احمق نباشي
14:08,14:11,Or have I just made a total fool of myself,...يا من الان از خودم يه احمق تمام عيار ساختم
14:11,14:12,and you were actually going to ask me for,...و درواقع ميخواي که اين شب آخري
14:13,14:14,late night last minute tennis tips?,و لحظات آخر چندتا نکته کليدي تنيس ازم بپرسي؟
14:15,14:17,"No, it was the love thing.",نه. همون چيز مربوط به عشق بود
14:17,14:19,Oh. Well.,خب
14:20,14:22,That's very sweet of you.,واقعا لطف داري
14:23,14:26,It's just a shame you left it till the last night.,فقط خيلي حيف شدگذاشتيش برا شب آخر
14:26,14:31,You should have tried creeping along the corridor while we still had time.,بايد خيلي وقت پيش که هنوز وقت داشتيم، پا پيش ميذاشتي
14:32,14:34,"Okay, the ""last night"" was a bad idea?",باشه، پس شب آخر ايده بدي بود؟
14:34,14:39,Very bad idea. It feels like an ever so slightly insulting afterthought.,ايده خيلي بدي بود. يه حس توهين آميز فکر بيش از حد به آدم ميده
14:40,14:42,"""Last night"" was never going to work.",شب آخر. هيچوقت عملي نيست
14:43,14:46,All right. Good. I've got it.,باشه، خوبه. گرفتم
15:06,15:07,Come in.,بيا تو
15:09,15:11,Tim. Hi. Charlotte.,تيم   - شارلوت - سلام -
15:12,15:14,Hi. Sit down.,سلام - بشين -
15:16,15:19,"I know you've probably suspected this,",،ميدونم احتمالا اينو در نظر گرفتي
15:19,15:23,but over the last month I've fallen completely in love with you.,ولي تو اين ماه گذشته، کاملا عاشقت شدم
15:25,15:27,Now obviously this was gonna happen,...حالا مشخصا اين قرار بود اتفاق بيوفته
15:28,15:32,because you're a goddess with that face,چون تو با اون قيافه يه الهه هستي
15:32,15:33,"and that hair,",،و اون مو
15:34,15:37,"but even if you didn't have a nice face,",ولي حتي اگه يه قيافه خوب نداشتي
15:38,15:40,and even if you had absolutely no hair,...و حتي اگه قطعا هيچ مويي هم نداشتي
15:41,15:43,"because of some bizarre medical reason,",،اونم به خاطر دلايل عجيب و غريب پزشکي
15:45,15:47,"I'd still adore you,",بازم ستايشت ميکردم
15:47,15:48,and I...,...و من
15:49,15:53,"I just wondered whether, by any chance, you might share my feelings.",و تو اين فکر بودم شانسي هست که تو هم همچين احساساتي داشته باشي؟
15:55,15:56,Wow.,عجب
15:57,15:59,I tell you what.,،بهت ميگم چکار کنيم
15:59,16:02,Why don't we see how the summer goes,...چطوره ببينيم تابستون چطور پيش ميره
16:02,16:05,and then you ask me again on my last night?,و تو شب آخري که اينجا هستم، ازم اينو بپرسي؟
16:07,16:09,Your last night? Yes.,شب آخرت؟ - آره -
16:10,16:14,"Try me on the last night. See what happens then, shall we?",شب آخر ازم درخواست کن ببينيم اون موقع چه اتفاقي ميوفته
16:14,16:16,It's exciting.,هيجان انگيزه
16:16,16:17,Right.,درسته
16:18,16:22,"No, it's a perfect plan. That's absolutely perfect. Last night.",برنامه ي معرکه ايه. قطعا حرف نداره شب آخر
16:22,16:23,Last night.,شب آخر
16:26,16:28,Thanks very much.,خيلي ممنون
16:29,16:31,"Night-night, Timmy.",شب بخير، تيمي
16:38,16:40,"<i>Big lesson number one,</i>",<i>،درس بزرگ شماره يک</i>
16:40,16:43,<i>all the time travel in the world can't make someone love you.</i>,<i>تمام سفرهاي زمان تو دنيا، نميتونن باعث شن کسي عاشق شما بشه</i>
16:43,16:44,Bye!,خدافظ
16:46,16:48,<i>So the love of my life just drove away.</i>,<i>پس عشق زندگي من، به همين راحتي گذاشت و رفت</i>
16:49,16:53,<i>And the very next day it was my turn to leave.</i>,<i>و صبح روز بعد، نوبت من بود که برم</i>
16:56,16:59,There you go. Don't spend it all at once.,بفرما. همه‌ش رو يه دفعه خرج نکن
17:00,17:01,Thanks.,ممنون
17:03,17:07,"Don't call too often, your mother doesn't like to be disturbed.",زيادي زنگ نزن، مادرت خوشش نمياد کسي مزاحمش بشه
17:07,17:09,Okay. Thanks.,باشه. ممنون
17:28,17:32,<i>I caught the train to London in search of a future and a girlfriend.</i>,<i>با قطار رفتم لندن، در جستجوي آينده و يک دوست دختر</i>
17:35,17:37,"<i>I was staying in St John's Wood, near Abbey Road,</i>",<i>در سنت جان وود نزديک جاده ابي اقامت داشتم</i>
17:37,17:40,<i>with a playwright friend of my dad's called Harry.</i>,<i>با يک نمايش‌نامه نويس به نام هري که دوست پدرم بود</i>
17:40,17:44,<i>It's always nice to have family connections when you're a new kid in town.</i>,<i>،وقتي تازه وارد يه شهر شدي هميشه داشتن يه آشناي خانوادگي خوبه</i>
17:57,18:01,What the fuck do you want?,چه کوفتي ميخواي؟
18:03,18:04,I'm James's son.,من پسر جيمز هستم
18:04,18:06,Who?,کي؟
18:07,18:09,James Lake. What about him?,جيمز ليک - خب، چکارش کنم؟ -
18:12,18:13,He said you had a room.,گفت يه اتاق دارين
18:15,18:17,Go in there and wait.,برو اون داخل و صبر کن
18:18,18:21,"Quietly. I mean it, don't make a sound.",بي سرو صدا، جدي ميگم صدات در نياد
18:22,18:24,Or I'll kill you.,وگرنه مي‌کُشمت
18:35,18:37,I was actually having the first good idea I've had for a decade,راستش درست همون موقعي که ..زنگ درو زدي، بهترين ايده
18:37,18:39,when you rang on the doorbell.,در طول يه دهه تو ذهنم بود
18:39,18:41,But now it's gone.,ولي الان ديگه رفته
18:42,18:44,You little shit.,کثافت عوضي
18:44,18:46,How's your dad?,بابات چطوره؟
18:46,18:50,"Weird cock, I always thought. Something weird about him.",هميشه فکر ميکردم آدم عجيب غريبيه يه چيز عجيب غريب در موردش وجود داره
18:50,18:51,Really?,جدي؟
18:51,18:53,"Yeah, I never really liked him, actually.",آره، راستش هيچوقت واقعا ازش خوشم نميومد
18:55,18:57,Your mum still look like Andy Warhol?,مامانت هنوز شبيه 'اندي وُر هال' هستش؟
18:57,18:58,What?,چي؟
19:00,19:02,"That, by the way, is my wife.",راستي اون زن منه
19:02,19:04,Oh. Nice.,قشنگه
19:04,19:05,"Yeah, you wouldn't like her at first.",آره، اولش زياد ازش خوشت نمياد
19:07,19:08,Sarcastic cow.,يه گاو طعنه زن
19:10,19:12,But eventually you'd realise that,...ولي آخرش متوجه ميشي که
19:12,19:15,she's the best human being in the world.,اون بهترين آدميزاد روي زمينه
19:16,19:18,"Which is why she left me, of course.",که البته برا همين منو ترک کرده
19:20,19:22,Here you go.,بفرما
19:23,19:26,"Try not to make too much noise, particularly when having sex.",سعي کن زياد سرو صدا نکني مخصوصا وقتي داري سکس ميکني
19:27,19:28,No chance of that.,شانسي برا اينکار وجود نداره
19:28,19:31,"Oh, Christ, two losers in one house.",اوه، يا مسيح. دو تا بازنده تو يه خونه
19:31,19:33,That is my daughter.,اين دختر منه
19:33,19:34,Oh.,
19:35,19:38,Have sex with her if you like. Apparently everyone else has.,اگه دوست داشتي باهاش سکس کن ظاهرا که همه باهاش اينکارو کردن
19:41,19:43,<i>It wasn't a hopeful set-up for romance.</i>,<i>آغازي اميدوارانه براي يک داستان عشقي نبود</i>
19:44,19:46,<i>And work didn't help on that score either.</i>,<i>و کار هم توفيري تو اين مورد نداشت</i>
19:47,19:50,<i>The world of law seems to be entirely full of men.</i>,<i>دنياي قانون به نظر ميرسيد پر از مرد هست</i>
19:52,19:56,Hello. I'm Rory. Very pleased to meet you. A real thrill.,سلام. من روري هستم واقعا از ديدنت خيلي خوشحالم
19:57,20:00,"Well, who knows, we might become, you know, pals, et cetera.",خب، کي ميدونه، ما ممکنه رفيق هاي جون جوني هم بشيم. و چيزاي ديگه
20:02,20:03,Who the hell are you? Tim Lake.,تو ديگه کدوم خري هستي؟ - تيم ليک -
20:04,20:06,"Well, I hope you're better than this clown.",خب، اميدوارم که از اين دلقک کارت بهتر باشه
20:06,20:08,"Come on, Roger.",بجنب. راجر
20:08,20:09,"It's Rory, actually.",درواقع روري هستم
20:10,20:11,I've been here a year and a half.,يک و سال و نيمه که اينجام
