Start Time,End Time,English,Inception (2010) DVDRip mkv - H264 - 560MB. ShAaNiG.MAXSPEED.srt,Inception.2010.720p-[OnlineFa-5_Com].srt,Inception.2010.720p.BluRay.x264-CROSSBOW.srt,Inception.srt,inception_open subtitle.srt
02:24,02:29,"I've seen one before. Many, many years ago",.قبلا اینو دیدم .خیلی سال پیش,. قبلاً يکي از اينا ديدم . چندين سالِ پيش,. قبلاً يکي از اينا ديدم . چندين سالِ پيش,.اینو قبلاً سالهای سال قبل دیدم,"و اين باعث ميشه كه افكار شما در مقابل دزدي ""آسيب پذير بشه، كه بهش ميگن ""استخراج"
02:30,02:35,It belonged to a man I met in a half-remembered dream,این متعلق به مردی بود كه در خوابی نیمه‌فراموش شده، دیده بودم,متعلق به مَردي بود که من . توي يه خواب نيمه-فراموش شده، ديدم,متعلق به مَردي بود که من . توي يه خواب نيمه-فراموش شده، ديدم,متعلق به مردی بود که از یک .رویای از یاد رفته می شناختم,حتي در برابر ماهرترين استخراج‌كننده‌ها - چطور ميتوني اين كار رو كني؟ -
02:37,02:42,A man possessed of some radical notions,مردی كه نظریه‌ی خیلی افراطی‌ای داشت,. مَردي که در تصوراتش اِفراطِ زيادي داشت,. مَردي که در تصوراتش اِفراطِ زيادي داشت,مردی که دارای قوه .تخیلی بی نظیر بود,من حقه‌هايي بلدم و ميتونم يادتون بدم كه حتي وقتي خواب هستين
02:46,02:49,COBB: What is the most resilient parasite?,مهمترین انگل غیرقابل نابودی چیه؟,مرتجع ترين انگل، اسمش چيه؟ باکتري؟ ويروس؟,مرتجع ترين انگل، اسمش چيه؟ باکتري؟ ويروس؟,بدترین نوع انگل چیه؟,ببينيد، اگه كمك من رو ميخواين بايد كاملا به من آزادي عمل بدين
02:49,02:53,A bacteria? A virus?,باكتری؟ ویروس؟,مرتجع ترين انگل، اسمش چيه؟ باکتري؟ ويروس؟,مرتجع ترين انگل، اسمش چيه؟ باکتري؟ ويروس؟,باکتری؟ ویروس؟,من راه رسيدن به افكارتون رو حتي از همسرتون بهتر ميدونم
02:53,02:55,An intestinal worm?,انگل روده‌ای؟,يه کِرمِ روده اي؟,يه کِرمِ روده اي؟,کرم روده؟,بهتر از دكترتون بهتر از هر كس ديگه
02:55,02:56,ARTHUR Uh...,... چیزی كه آقای كاب میخوان بگن اینه كه,يه کِرمِ روده اي؟,يه کِرمِ روده اي؟,,بهتر از دكترتون بهتر از هر كس ديگه
02:56,02:58,What Mr. Cobb is trying to say,... چیزی كه آقای كاب میخوان بگن اینه كه,چيزي که آقاي«کاب»قصد دارن بگن اينه که- . يه ايده -,چيزي که آقاي«کاب»قصد دارن بگن اينه که- . يه ايده -,...منظور آقای کاب اینه که,بهتر از دكترتون بهتر از هر كس ديگه
02:58,02:59,An idea,.یه فكر,چيزي که آقاي«کاب»قصد دارن بگن اينه که- . يه ايده -,چيزي که آقاي«کاب»قصد دارن بگن اينه که- . يه ايده -,.خیالات,اگه اين روياي شما باشه و شما يه گاوصندوق پر از اسرار درونش دارين
03:01,03:03,Resilient. Highly contagious,بهبودناپذیر، به شدت مُسری,. مرتجع شونده. به شدت واگيردار,. مرتجع شونده. به شدت واگيردار,.خطرناک و فوق العاده واگیردار,بايد بدونم توي اون گاوصندوق چيه
03:03,03:07,Once an idea has taken hold of the brain it's almost impossible to eradicate.,وقتی كه فكری وارد ذهن آدم شد .تقریبا غیرممكنه كه بتونی نابودش كنی,،به محض اينکه يه فکر، مغز رو در بر ميگيره . از بين بردنِ اون، تقريباً غير ممکن ميشه,،به محض اينکه يه فکر، مغز رو در بر ميگيره . از بين بردنِ اون، تقريباً غير ممکن ميشه,به محض این که یک خیال بتونه ذهن رو به تسخیر .دربیاره رهایی از دستش غیر ممکنه,براي اينكه اينكار درست انجام بشه بايد كاملا بهم اجازه‌ي ورود بدين
03:08,03:12,"An idea that is fully formed, fully understood, that sticks",فكری كه كاملا شكل گرفته .و قابل درك باشه، در ذهنتون میمونه,،يه فکر که به کلي شکل گرفته . کاملاً فهميده شده و چسبيده به ذهن,،يه فکر که به کلي شکل گرفته . کاملاً فهميده شده و چسبيده به ذهن,خیالاتی که کامل شکل گرفته باشه. کامل درک .شده باشه. اون توی ذهن می مونه,از بعدازظهرتون لذت ببريد، آقايون به پيشنهاد شما فكر ميكنم
03:12,03:13,Right in there somewhere,.درست این تو,. درست يه همچين جايي - واسه کسي مثلِ شما که بدزديدش؟ -,. درست يه همچين جايي - واسه کسي مثلِ شما که بدزديدش؟ -,.یه جایی اون داخل,از بعدازظهرتون لذت ببريد، آقايون به پيشنهاد شما فكر ميكنم
03:14,03:15,For someone like you to steal?,و یكی مثل تو اونو بدزده؟,. درست يه همچين جايي - واسه کسي مثلِ شما که بدزديدش؟ -,. درست يه همچين جايي - واسه کسي مثلِ شما که بدزديدش؟ -,تا یکی مثل تو اونو بدزده؟,از بعدازظهرتون لذت ببريد، آقايون به پيشنهاد شما فكر ميكنم
03:15,03:18,"Yes. In the dream state, your conscious defenses are lowered",بله. در خواب عملكرد سیستم دفاعی ناخودآگاه كاهش پیدا میكنه,،بله، در حالتِ خواب . استحکامِ هوشياري، خيلي پايينه,،بله، در حالتِ خواب . استحکامِ هوشياري، خيلي پايينه,بله. وقتی در رویا هستید .دفاع خودآگاهتون کم می شه,اون ميدونه
03:18,03:21,and that makes your thoughts vulnerable to theft.,و این باعث میشه كه افكار شما در مقابل دزدی آسیب پذیر بشه,،و باعث ميشه افکارتون براي دزدي . «آسيب پذير بشن. اسمش هست «استخراج,،و باعث ميشه افکارتون براي دزدي . «آسيب پذير بشن. اسمش هست «استخراج,.و افکارتون رو نسبت به دزدی آسیب پذیر می کنه,اينجا چه خبره؟
03:21,03:22,It's called extraction,".""كه بهش میگن ""استخراج",،و باعث ميشه افکارتون براي دزدي . «آسيب پذير بشن. اسمش هست «استخراج,،و باعث ميشه افکارتون براي دزدي . «آسيب پذير بشن. اسمش هست «استخراج,.به این کار می گن : استخراج کردن,اينجا چه خبره؟
03:22,03:26,"Mr. Saito, we can train your subconscious to defend itself",آقای سایتو، ما میتونیم ناخودآگاه شما رو تمرین بدیم كه بتونه از خودش دفاع كنه,آقاي «سايتو»، ما ميتونيم ناخوداگاهِ شما رو ... جوري تربيت کنيم که از خودش دفاع کنه,آقاي «سايتو»، ما ميتونيم ناخوداگاهِ شما رو ... جوري تربيت کنيم که از خودش دفاع کنه,آقای سایتو، ما می تونیم به ناخودآگاهتون ...یاد بدیم که از خودش دفاع کنه,اينجا چه خبره؟
03:26,03:29,from even the most skilled extractor,.حتی در برابر ماهرترین استخراج‌كننده‌های افكار,. «حتي در برابرِ ماهرترين «استخراج کننده - چطور ميتونم اينکارو بکنم؟-,. «حتي در برابرِ ماهرترين «استخراج کننده - چطور ميتونم اينکارو بکنم؟-,.حتی در مقابل ماهر ترین استخراج کننده ها...,
03:29,03:30,How can you do that?,چطور میتونی این كار رو كنی؟,. «حتي در برابرِ ماهرترين «استخراج کننده - چطور ميتونم اينکارو بکنم؟-,. «حتي در برابرِ ماهرترين «استخراج کننده - چطور ميتونم اينکارو بکنم؟-,چطور می تونی این کارو بکنی؟,
03:30,03:33,Because I am the most skilled extractor,.چون من ماهرترین استخراج‌كننده‌ی افكار هستم,. چون من خودِ ماهرترين «استخراج کننده» هستم,. چون من خودِ ماهرترين «استخراج کننده» هستم,.چون خود من ماهرترین استخراج کننده هستم,
03:33,03:37,I know how to search your mind and find your secrets. I know the tricks,من میدونم در كجای ذهنتون به دنبال .اسرارتون بگردم. من حقه‌هایی بلدم,من ميدونم چطوري ذهنتون رو بگردم و . اَسرارتون رو پيدا کنم,من ميدونم چطوري ذهنتون رو بگردم و . اَسرارتون رو پيدا کنم,من می دونم که چطور ذهن شما رو بگردم و رازهای .شما رو پیدا کنم. من کلک هاش رو بلدم,
03:37,03:40,"And I can teach them to you, so that even when you're asleep",،و میتونم یادتون بدم كه حتی وقتی خواب هستین,حُقه هاش رو بلدم. و ميتونم بهتون يادشون ... بدم تا حتي وقتيکه خواب هستيد,حُقه هاش رو بلدم. و ميتونم بهتون يادشون ... بدم تا حتي وقتيکه خواب هستيد,و می تونم اونارو به شما یاد بدم ...تا هر موقع که خواب بودید,
03:40,03:43,your defense is never down,.سیستم دفاعی ذهنتون، همچنان فعال بمونه,. ناخوداگاهِ شما، هيچوقت شکست نخوره,. ناخوداگاهِ شما، هيچوقت شکست نخوره,.دفاعتون کم نشه...,
03:43,03:47,"Look, if you want my help, you're gonna have to be completely open with me.",ببینید، اگه كمك من رو میخواین .باید كاملا به من آزادی عمل بدین,،ببينيد، اگر کمکِ منو ميخوايد . بايد کاملاً با من راحت باشيد,،ببينيد، اگر کمکِ منو ميخوايد . بايد کاملاً با من راحت باشيد,ببینید! اگه کمک منو می خواید باید کاملاً .خودتون رو برای من باز کنید,
03:47,03:51,I need to know my way around your thoughts better than your wife,من راه رسیدن به افكارتون رو حتی ،از همسرتون بهتر میدونم,من بايد راهِ ورود به افکارتون رو حتي بهتر از همسرتون,من بايد راهِ ورود به افکارتون رو حتي بهتر از همسرتون,من باید راه خودم رو درون ذهن ...شما از زنتون هم بهتر بلد باشم,
03:51,03:53,better than your therapist better than anyone.,،بهتر از دكترتون .بهتر از هر كس دیگه,،بهتر از دکترتون . بهتر از هر کسِ ديگه ي بدونم,،بهتر از دکترتون . بهتر از هر کسِ ديگه ي بدونم,.حتی از روانشناستون... .بهتر از هر کسی,
03:54,03:56,"If this is a dream, and you have a safe full of secrets",اگه این رویای شما باشه و شما یه گاوصندوق پر از اسرار درونش دارین,اگه اين يه خواب باشه و شما ... يه گاوصندق پُر از اسرار داخلش داريد,اگه اين يه خواب باشه و شما ... يه گاوصندق پُر از اسرار داخلش داريد,...اگه این یک رویا باشه و شما یه گاوصندوق پر از اسرار توش داشته باشید,
03:57,03:59,I need to know what's in that safe,.باید بدونم توی اون گاوصندوق چیه,. من بايد بدونم چي داخلِ اون گاوصندقه,. من بايد بدونم چي داخلِ اون گاوصندقه,.من باید بدونم توی اون گاوصندوق چیه...,
03:59,04:03,"In order for this all to work, you need to completely let me in",برای اینكه اینكار درست انجام بشه .باید كاملا بهم اجازه‌ی ورود بدین,،براي اينکه تمامِ اين کار، درست انجام بشه . بايد بذاريد که من کاملاً واردِ ذهنتون بشم,،براي اينکه تمامِ اين کار، درست انجام بشه . بايد بذاريد که من کاملاً واردِ ذهنتون بشم,برای این که این کار جواب بده شما باید .کاملاً به من اجازه داخل شدن بدید,
04:05,04:10,"Enjoy your evening, gentlemen as I consider your proposal.",از بعدازظهرتون لذت ببرید، آقایون .به پیشنهاد شما فكر میكنم,. از بعدازظهرتون لذت ببريد، آقايون . ولي روي پيشنهادتون فکر ميکنم,. از بعدازظهرتون لذت ببريد، آقايون . ولي روي پيشنهادتون فکر ميکنم,آقایون تا زمانی که من دارم به پیشنهادتون .فکر می کنم از شبتون لذت ببرید,
04:13,04:14,He knows,.اون میدونه,. اون ميدونه,. اون ميدونه,.می دونه,
04:14,04:15,[RUMBLING],,. اون ميدونه,. اون ميدونه,,
04:17,04:18,What's going on up there?,اینجا چه خبره؟,اون بالا چه خبره؟,اون بالا چه خبره؟,اون بالا چه خبره؟,سايتو ميدونه اون داره با ما بازي ميكنه
04:26,04:27,[MEN SHOUTING],,,,,اون اينجا چيكار ميكنه؟
04:28,04:29,[MACHINE HISSING],,,,,اون اينجا چيكار ميكنه؟
04:40,04:41,[EXPLOSION],,,,,
05:05,05:07,[RUMBLING],,,,,پس چي؟
05:12,05:15,Saito knows. He's playing with us,.سایتو میدونه .اون داره با ما بازی میكنه,. سايتو» ميدونه» . داره باهامون بازي ميکنه,. سايتو» ميدونه» . داره باهامون بازي ميکنه,.سایتو می دونه. داره مارو بازی می ده,در واقع اثري ناتمام از يه نقاش انگليسيه
05:15,05:18,Doesn't matter. I can get it here Trust me.,.مهم نیست .من میتونم بهش برسم، بهم اعتماد كن,. مهم نيست . من ميتونم بيارمش اينجا. بهم اعتماد کن,. مهم نيست . من ميتونم بيارمش اينجا. بهم اعتماد کن,مهم نیست. چون من اینجا بهش دست .پیدا می کنم. به من اعتماد کن,لطفا بشين
05:18,05:19,The information is in the safe,اون اطلاعات داخل گاوصندوقه,"اطلاعات توي گاوصندقن. وقتي اسمِ . اسرار"" رو آوردم، به گاو صندق نگاه کرد""","اطلاعات توي گاوصندقن. وقتي اسمِ . اسرار"" رو آوردم، به گاو صندق نگاه کرد""",.اطلاعات داخل گاوصندوقه,
05:20,05:22,He looked right at it when I mentioned secrets,.وقتی گفتم اسرار، اون یه راست میره سراغشون,"اطلاعات توي گاوصندقن. وقتي اسمِ . اسرار"" رو آوردم، به گاو صندق نگاه کرد""","اطلاعات توي گاوصندقن. وقتي اسمِ . اسرار"" رو آوردم، به گاو صندق نگاه کرد""",.به محض اینکه به راز اشاره کردم بهش نگاه کرد,
05:23,05:24,What's she doing here?,اون اینجا چیكار میكنه؟,اون اينجا چکار ميکنه؟,اون اينجا چکار ميکنه؟,اون اینجا چی کار می کنه؟,بهم بگو، بچه‌ها هم دلشون برام تنگ شده؟
05:27,05:30,Just head back to the room. All right? I'll take care of this,.برگرد به اتاقت، من حواسم به اوضاع هست,. فقط برگرد به اتاق . خيلي خب، من ترتيبِ اينو ميدم,. فقط برگرد به اتاق . خيلي خب، من ترتيبِ اينو ميدم,تو فقط برگرد به اتاق. باشه؟ .خودم ترتیبش رو می دم,بهم بگو، بچه‌ها هم دلشون برام تنگ شده؟
05:30,05:32,"Okay, make sure you do We're here to work.",.پس مطمئن باش كه چیكار داری میكنی .ما برای كار اینجا اومدیم,. باشه، حتماً اينکارو بکن . اومديم اينجا که کار کنيم,. باشه، حتماً اينکارو بکن . اومديم اينجا که کار کنيم,.باشه. ولی حتماً ترتیبش رو بده .ما اینجا اومدیم برای کار,نميتوني تصورش رو بكني
05:41,05:45,"If I jumped, would I survive?",اگه بپرم، نجات پیدا میكنم؟,اگه بپرم، زنده ميمونم؟,اگه بپرم، زنده ميمونم؟,اگه بپرم.. ممکنه زنده بمونم؟,همونجايي كه هستي بمون، مال
05:48,05:50,"With a clean dive, perhaps",.اگه شیرجه‌ی خوبی بزنی، شاید,. اگه درست شيرجه بزني، شايد مال»، اينجا چکار ميکني؟»,. اگه درست شيرجه بزني، شايد مال»، اينجا چکار ميکني؟»,.اگه قشنگ بپری. ممکنه,
05:50,05:52,"Mal, what are you doing here?","مال"" اینجا چیكار میكنی؟""",. اگه درست شيرجه بزني، شايد مال»، اينجا چکار ميکني؟»,. اگه درست شيرجه بزني، شايد مال»، اينجا چکار ميکني؟»,مال... تو اینجا چی کار می کنی؟,
05:52,05:54,I thought you might be missing me,.فكر كردم دلت برام تنگ شده,. گفتم شايد دلت برام تنگ شده باشه,. گفتم شايد دلت برام تنگ شده باشه,.فکر کردم شاید دلت برام تنگ شده,
05:54,05:56,COBB: You know that I am,.البته كه دلم تنگ شده,. ميدوني که شده . ولي ديگه نميتونم بهت اعتماد کنم,. ميدوني که شده . ولي ديگه نميتونم بهت اعتماد کنم,.معلومه که تنگ شده,لعنتي
05:57,06:00,But I can't trust you anymore,.ولی دیگه نمیتونم بهت اعتماد كنم,. ميدوني که شده . ولي ديگه نميتونم بهت اعتماد کنم,. ميدوني که شده . ولي ديگه نميتونم بهت اعتماد کنم,.ولی من دیگه نمی تونم به تو اعتماد کنم,لعنتي
06:00,06:02,So what?,پس چی؟,پس چي ميشه؟,پس چي ميشه؟,که چی؟,
06:03,06:06,MAL: Looks like Arthur's taste,"شبیه سلیقه‌ی ""آرتور""ه",. مثلِ سليقه ي «آرتور» ميمونه,. مثلِ سليقه ي «آرتور» ميمونه,!به نظر میاد سلیقه آرتور باشه,
06:06,06:09,"Actually, the subject is partial to postwar British painters.",.در واقع اثری ناتمام از یه نقاش انگلیسیه,،درواقع، يه اثرِ نيمه کاره ست . از يه نقاشِ انگليسي,،درواقع، يه اثرِ نيمه کاره ست . از يه نقاشِ انگليسي,.در واقع این اثر متعلق به یه هنرمند بریتانیایی بعد از جنگه,
06:11,06:13,"Please, have a seat",.لطفا بشین,. لطفاً، بشين,. لطفاً، بشين,.خواهش می کنم. بیا بشین,
06:20,06:22,MAL: Tell me,...بهم بگو,... بهم بگو بچه ها دلشون برام تنگ شده؟,... بهم بگو بچه ها دلشون برام تنگ شده؟,...بگو ببینم,
06:22,06:24,do the children miss me?,بچه‌ها هم دلشون برام تنگ شده؟,... بهم بگو بچه ها دلشون برام تنگ شده؟,... بهم بگو بچه ها دلشون برام تنگ شده؟,بچه ها دلشون برام تنگ شده؟...,
06:28,06:30,You can't imagine,.نمیتونی تصورش رو بكنی,. فکرش هم نميتوني بکني چقدر,. فکرش هم نميتوني بکني چقدر,.خیلی زیاد,
06:34,06:35,What are you doing?,چیكار میكنی؟,چکار داري ميکني؟- . ميخوام يکم هواي تازه بخورم-,چکار داري ميکني؟- . ميخوام يکم هواي تازه بخورم-,چی کار می کنی؟,
06:35,06:37,Just getting some fresh air,.میخوام كمی هوای تازه بخورم,چکار داري ميکني؟- . ميخوام يکم هواي تازه بخورم-,چکار داري ميکني؟- . ميخوام يکم هواي تازه بخورم-,.می رم هوا بخورم,
06:37,06:39,"Stay where you are, Mal",.همونجایی كه هستی بمون، مال,«سرِ جات بمون، «مال,«سرِ جات بمون، «مال,.همون جا که هستی بمون مال,
06:48,06:50,[GRUNTS],,,,,
06:53,06:55,Goddamn it,!لعنتی,. خدا لعنتت کنه,. خدا لعنتت کنه,.لعنتی,
07:04,07:05,[SOFT SCREECHING],,,,,برگرد - تفنگت رو بنداز -
07:13,07:14,[SILENCED GUNSHOT],,,,,لطفا
07:15,07:16,[GUARD GRUNTS],,,,,
07:25,07:26,[SILENCED GUNSHOT THEN GUARD GRUNTS],,,,,"""حالا پاكت آقاي ""كاب"
07:56,07:58,SAITO: Turn around,.برگرد,. برگرد - . اسلحه رو بذار زمين -,. برگرد - . اسلحه رو بذار زمين -,.برگرد,... اما درد
07:58,07:59,"The gun, Dom",،تفنگت رو بنداز,. برگرد - . اسلحه رو بذار زمين -,. برگرد - . اسلحه رو بذار زمين -,.بذارش کنار دام,
08:09,08:10,Please,.لطفا,. لطفاً,. لطفاً,.خواهش می کنم,
08:22,08:24,"Now the envelope, Mr. Cobb","""حالا پاكت آقای ""كاب",. «حالا اون پاکت، آقاي «کاب,. «حالا اون پاکت، آقاي «کاب,.حالا پاکت رو بدید آقای کاب,فقط سعي كن همينطور سايتو رو در خواب نگه داري ما تقريبا رسيديم
08:25,08:28,Did she tell you? Or have you known all along?,اون بهتون گفت؟ یا اینكه از اول میدونستی؟,اون بهت گفت؟ تمامِ اين مدت ميدونستي؟,اون بهت گفت؟ تمامِ اين مدت ميدونستي؟,اون بهت گفت؟ یا تمام مدت خبر داشتی؟,فقط سعي كن همينطور سايتو رو در خواب نگه داري ما تقريبا رسيديم
08:28,08:33,That you're here to steal from me or that we are actually asleep?,اینكه تو اومدی اینجا دزدی یا اینكه ما هنوز در خوابیم؟,اينکه اومدي اينجا تا ازم دزدي کني يا اينکه درواقع ما الان خوابيم؟,اينکه اومدي اينجا تا ازم دزدي کني يا اينکه درواقع ما الان خوابيم؟,این رو که اومدی از من دزدی کنی؟ یا اینکه ما الان خواب هستیم؟,
08:38,08:40,I want to know the name of your employer.,.میخوام اسم كارفرمایت رو بدونم,. ميخوام اسمِ کسي که استخدامت کرده رو بدونم,. ميخوام اسمِ کسي که استخدامت کرده رو بدونم,.می خوام اسم کسی که تو رو استخدام کرده بدونم,
08:42,08:46,"Ah, there's no use threatening him in a dream, right, Mal?",در خواب تهدید اثری نداره، مگه نه مال؟,تهديد کردن توي خواب هيچ فايده اي نداره، درسته، «مال»؟,تهديد کردن توي خواب هيچ فايده اي نداره، درسته، «مال»؟,آه. تهدید کردنش توی خواب هیچ فایده ای نداره. مگه نه مال؟,اينجا اين نقاشي‌ها
08:46,08:48,That depends on what you're threatening,بستگی داره كه چطوری تهدید كنی؟,. بستگي داره که چطوري تهديد کني . کُشتنِ اون، فقط باعث ميشه بيدار بشه,. بستگي داره که چطوري تهديد کني . کُشتنِ اون، فقط باعث ميشه بيدار بشه,.بستگی به نوع تهدیدت داره,
08:49,08:51,Killing him would just wake him up,،كشتنش فقط باعث میشه كه از خواب بیدار بشه,. بستگي داره که چطوري تهديد کني . کُشتنِ اون، فقط باعث ميشه بيدار بشه,. بستگي داره که چطوري تهديد کني . کُشتنِ اون، فقط باعث ميشه بيدار بشه,.کشتنش فقط باعث می شه بیدار بشه,
08:52,08:53,But pain,... اما درد,... ولي درد,... ولي درد,...ولی درد,
08:55,08:57,[SCREAMS],,,,,
08:57,08:59,Pain is in the mind,.درد درون ذهنه,،درد توي ذهن قرار داره و با توجه به دکورِ اينجا ما توي ذهنِ تو هستيم، درسته، «آرتور»؟,،درد توي ذهن قرار داره و با توجه به دکورِ اينجا ما توي ذهنِ تو هستيم، درسته، «آرتور»؟,.درد مربوط به ذهنه,!بگيريدش
09:00,09:04,"And judging by the decor, we're in your mind, aren't we, Arthur?",و از روی دكوراسیون اینجا میشه فهمید كه ما داخل ذهن تو هستیم، مگه نه آرتور؟,،درد توي ذهن قرار داره و با توجه به دکورِ اينجا ما توي ذهنِ تو هستيم، درسته، «آرتور»؟,،درد توي ذهن قرار داره و با توجه به دکورِ اينجا ما توي ذهنِ تو هستيم، درسته، «آرتور»؟,و با توجه به دکور اینجا. ما الان  توی ذهن تو هستیم آرتور مگه نه؟,(محرمانه)
09:08,09:09,[GRUNTS],,,,,
09:16,09:19,- What are you doing? it's too soon - But the dream's collapsing.,.چیكار میكنی، هنوز خیلی زوده - .میدونم، ولی خواب داره فرومیریزه -,!داري چکار ميکني؟ خيلي زوده - . ميدونم. ولي خواب داره از بين ميره -,!داري چکار ميکني؟ خيلي زوده - . ميدونم. ولي خواب داره از بين ميره -,.چی کار می کنی؟ هنوز خیلی زوده .رویا داره از هم می پاشه,
09:19,09:22,I'm gonna try to keep Saito under a little hit longer. We're almost there,.فقط سعی كن همینطور سایتو رو اون پایین نگه داری .ما تقریبا رسیدیم,. فقط يکم ديگه «سايتو» رو خوابيده نگه دار . ديگه چيزي نمونده,. فقط يکم ديگه «سايتو» رو خوابيده نگه دار . ديگه چيزي نمونده,من سعی می کنم سایتو رو یه کم دیگه .بیهوش نگه دارم. تقریباً موفق شدیم,
09:23,09:24,[SILENCED GUNFIRE],,. فقط يکم ديگه «سايتو» رو خوابيده نگه دار . ديگه چيزي نمونده,. فقط يکم ديگه «سايتو» رو خوابيده نگه دار . ديگه چيزي نمونده,,
09:36,09:40,He was close. Very close,.اون نزدیكه، خیلی نزدیك,. اينجا . نقاشيها,. اينجا . نقاشيها,.نزدیک بود. خیلی نزدیک,
09:43,09:44,[SCREAMS],,,,,
09:54,09:55,[YELLS],!بگیریدش,!جلوشو بگيريد,!جلوشو بگيريد,,
09:55,09:56,Stop him!,!بگیریدش,!جلوشو بگيريد,!جلوشو بگيريد,.بگیریدش,"!بهش يه ""ضربه"" بزن - چي؟ -"
10:01,10:03,[GUNFIRE],,,,,
10:10,10:12,[GRUNTS],,,,,
10:18,10:19,[HISSING],,,,,
10:21,10:22,[SAITO GROANS],.فكر نكنم موفق بشه .بیدارش كن,. فکر کنم داره جواب ميده !بيدارش کن,. فکر کنم داره جواب ميده !بيدارش کن,,
10:22,10:24,This isn't gonna work. Wake him up,.فكر نكنم موفق بشه .بیدارش كن,. فکر کنم داره جواب ميده !بيدارش کن,. فکر کنم داره جواب ميده !بيدارش کن,.فایده ای نداره. بیدارش کن,
10:37,10:38,[GRUNTS],,,,,
10:45,10:47,He won’t wake,!بیدار نمیشه,!تو بيداري,!تو بيداري,.بیدار نمی شه,
10:52,10:53,- Give him the kick NASH: What?,"!بهش یه ""ضربه"" بزن - چی؟ -",!يه ضربه بهش بزن - چي؟ -,!يه ضربه بهش بزن - چي؟ -,.بهش شوک وارد کن چی؟,حتي روساي بخش امنيتي من هم در اين مورد چيزي نميدونستن
10:53,10:54,Dunk him,.بندازش توی آب,. بندازش,. بندازش,.بندازش,شما چطور فهميدين؟
10:55,10:56,[GUN COCKS],,. بندازش,. بندازش,,شما چطور فهميدين؟
11:02,11:03,[WOOD GROANING],,,,,... اون هيچوقت - چرا، الان ما اينجاييم -
