01:41,01:43,"- Shutting it all down. - No, I need power up!",!نباید چیزی رو خاموش کنیم,!نباید چیزی رو خاموش کنیم,<i>همه‌ي موتورها خاموش شدند - !نه، بايد با قدرت زیادتری بريم -</i>,!نباید چیزی رو خاموش کنیم,.همه چیز رو دارم خاموش می‌کنم - !نه، روشن کن -,‏- در حال خاموش کردن !‏- نه، باید روشنش کنی,حذف کردن همه چیز - ما مجبور نیستیم همه چیزو حذف کنیم -,<i>همه‌ي موتورها خاموش شدند - !نه، بايد با قدرت بيشتري بريم -</i>,انرژي رو قطع کرديم - !نه، بايد انرژي رو بيشتر کنيد -,همه موتور ها خاموش شد - نه ، واسه این کار به حداکثر قدرت نیاز دارم -,<i>همه‌ي موتورها خاموش شدند - !نه، بايد با قدرت بيشتري بريم -</i>
01:46,01:47,(COOPER YELLS),بابا؟,بابا؟,,,,,,,,,
01:48,01:49,GIRL: Dad?,بابا؟,بابا؟,بابا؟,بابا؟,بابا؟,‏بابا؟,,بابا؟,بابا؟,بابا,بابا؟
01:55,01:58,"(PANTING) Sorry, Murph. Go back to bed.",شرمنده، مورف. برگرد بخواب,شرمنده، مورف. برگرد بخواب,"""ببخشید ميخوام ""مورف برگرد به تختت عزيزم",شرمنده، مورف. برگرد بخواب,"،""ببخشید ""مورف .برگرد رو تختت عزیزم","‏ببخشید ""مورف""، برو بخواب عزیزم","متاسفم ""مِرف"". برگرد به تختت","""معذرت ميخوام ""مورف برگرد به تختت عزيزم",ببخشيد مورف، برو بخواب,معذرت میخوام  مورف ، برگرد به تختت عزیزم,"""معذرت ميخوام ""مورف برگرد به تختت عزيزم"
01:58,02:01,- I thought you were the ghost. - No.,فکر کردم تو روحی,فکر کردم تو روحی,فکر کردم تو روحي - نه -,فکر کردم تو روحی,.فکر کردم شبحی - .نه -,‏فکر کردم روحی - نه -,"متاسفم ""مِرف"". برگرد به تختت",فکر کردم تو روحي - نه -,فکر کردم تو همون روحـه هستي - نه -,فکر کردم تو روحی - نه -,فکر کردم تو روحي - نه -
02:02,02:04,"There are no such things as ghosts, babe.",گلم روح و اینا وجود نداره,گلم روح و اینا وجود نداره,چيزي به اسم روح وجود نداره، عزيزم,گلم روح و اینا وجود نداره,.چیزی به اسم شبح وجود نداره عزیزم,‏چیزی بنام روح وجود نداره عزیزم,فکر کردم روحی,چيزي به اسم روح وجود نداره، عزيزم,چيزي به اسم روح وجود نداره، عزيزم,چیزی به اسم روح وجود نداره ، عزیزم,چيزي به اسم روح وجود نداره، عزيزم
02:05,02:07,Grandpa says you can get ghosts.,بابابزرگ میگه تو میتونی ارواح رو بگیری,بابابزرگ میگه تو میتونی ارواح رو بگیری,بابابزرگ ميگه که ميشه با روح‌ها ارتباط برقرار کرد,بابابزرگ میگه تو میتونی ارواح رو بگیری,.بابا بزرگ میگه می‌تونی شبح بگیری,بابابزرگ میگه میشه روح پیدا کرد,چیزی به اسم روح وجود نداره عزیزم - بابابزرگ میگه تو می تونی روح هارو بگیری -,بابابزرگ ميگه که ميشه با روح‌ها ارتباط برقرار کرد,بابابزرگ ميگه ميشه روح‌ها رو ديد,پدربزرگ میگه میشه با روح ها ارتباط برقرار کرد,بابابزرگ ميگه که ميشه با روح‌ها ارتباط برقرار کرد
02:08,02:13,Maybe that's because Grandpa's close to being one himself. Back to bed.,دیر یا زود خودش از اونا میشه. برو بخواب,دیر یا زود خودش از اونا میشه. برو بخواب,خب، شايد به اين خاطره که چيزي نمونده تا بابابزرگ خودش يه روح بشه. برگرد به تخت خوابت,...نه، این بخاطر اینکه بابابزرگ,و خودش به زودی .به شبح تبدیل میشه، برو بخواب,شاید بخاطر اینه که دیگه چیزی نمونده خود بابابزرگ ‏تبدیل به روح بشه، برو بخواب,چیزی به اسم روح وجود نداره عزیزم - بابابزرگ میگه تو می تونی روح هارو بگیری -,خب، شايد به اين خاطره که چيزي نمونده تا بابابزرگ خودش يه روح بشه. برگرد به تختخوابت,شايد بخاطر اينه که بابابزرگ خودش به روح شدن خيلي نزديکـه، برو بخواب,این واسه اینه که چیزی نمونده  پدربزرگت خودش  روح بشه برگرد به تختت عزیزم,خب، شايد به اين خاطره که چيزي نمونده تا بابابزرگ خودش يه روح بشه. برگرد به تختخوابت
02:13,02:15,Were you dreaming about the crash?,داشتی خواب سقوط رو میدیدی؟,داشتی خواب سقوط رو میدیدی؟,داشتي خواب سقوط رو ميديدي؟,داشتی خواب سقوط رو میدیدی؟,داشتی در مورد سقوط خواب می‌دیدی؟,‏داشتی خواب اون سقوط هواپیما رو می‌دیدی؟,...نه، فکر می کنم بخاطر اینکه که بابابزرگ خیلی به,داشتي خواب سقوط رو ميديدي؟,داشتي درمورد سقوط خواب ميديدي؟,داشتی خواب سقوط میدیدی ؟,داشتي خواب سقوط رو ميديدي؟
02:16,02:19,"Get your butt back in bed, Murph. Heh.",برگرد برو بخواب، مورف,برگرد برو بخواب، مورف,گفتم برگرد به تخت خوابت، مورف,برگرد برو بخواب، مورف,"،برگرد رو تختت .""و بگیر بخواب ""مورف",‏برو بخواب دیگه مورف,درباره سقوط خواب میدیدی؟,گفتم برگرد به تخت خوابت، مورف,زودباش برو تو تخت‌خوابـت، مورف,"""برگرد برو بخواب ، ""مورف",گفتم برگرد به تخت خوابت، مورف
02:46,02:47,WOMAN 1: The wheat had died.,محصولات گندم از بین رفته بود,محصولات گندم از بین رفته بود,<i>گندم‌ها از بين رفتن</i>,محصولات گندم از بین رفته بود,.گندم از بین رفت,‏گندمی باقی نمونده بود,,<i>گندم‌ها از بين رفتن</i>,گندم‌ها از بين رفته بودن,گندم هامون نابود شده بود,<i>گندم‌ها از بين رفتن</i>
02:48,02:50,The blight came and we had to burn it.,آفت اومده بود و ما مجبور به سوزوندنش بودیم هنوز زمین ذرت داشتیم,آفت اومده بود و ما مجبور به سوزوندنش بودیم هنوز زمین ذرت داشتیم,<i>آفت زدن و مجبور شديم که اونا رو بسوزونيم</i>,آفت اومده بود و ما مجبور به سوزوندنش بودیم هنوز زمین ذرت داشتیم,آفت اومد .و مجبور شدیم بسوزونیمش,‏آفت زدن و مجبور بودیم اونا رو بسوزونیم,گندم نابود شد,<i>آفت زدن و مجبور شديم اونا رو بسوزونيم</i>,آفت زده بود و بايد اونارو ميسوزونديـم,بخاطر آفت ، مجبور شدیم بسوزونیمشون,<i>آفت زدن و مجبور شديم اونا رو بسوزونيم</i>
02:51,02:54,And we still had corn. We had acres of corn.,چندین قطعه مزرعه ذرت داشتیم ولی بیشتر وقتا گرد و غبار می‌اومد,چندین قطعه مزرعه ذرت داشتیم ولی بیشتر وقتا گرد و غبار می‌اومد,<i>.هنوز ذرت داشتيم هکتارها ذرت داشتيم</i>,چندین قطعه مزرعه ذرت داشتیم ولی بیشتر وقتا گرد و غبار می‌اومد,،و هنوز ذرت داشتیم .چندین آکر ذرت داشتیم (آکر: واحد اندازه‌گيرى زمين),،‏هنوز ذرت داشتیم چندین هکتار زمین ذرت داشتیم,باد اومد و ما مجبور شدیم بسوزونیمش هنوزم ذرت داریم,<i>.هنوز ذرت داشتيم هکتارها ذرت داشتيم</i>,.ولي هنوزم ذرت داشتيم .هکتارها ذرت داشتيم,، ولی هنوز ذرت داشتیم هنوز تا دلت بخواد ذرت داشتیم,<i>.هنوز ذرت داشتيم هکتارها ذرت داشتيم</i>
02:54,02:57,"But, uh, mostly we had dust.",چندین قطعه مزرعه ذرت داشتیم ولی بیشتر وقتا گرد و غبار می‌اومد,چندین قطعه مزرعه ذرت داشتیم ولی بیشتر وقتا گرد و غبار می‌اومد,اما بيشتر از همه گرد و خاک داشتيم,چندین قطعه مزرعه ذرت داشتیم ولی بیشتر وقتا گرد و غبار می‌اومد,.اما بیشتر از همه گرد و خاک اونجا بود,‏ولی اکثراً پر از گرد و غبار بود,ما هکتارها ذرت داریم اما بیشتر از اون گرد و خاک داریم,اما بيشتر از همه گرد و خاک داشتيم,ولي... بيشتر از همه ما گرد و خاک داشتيم,ولی ، بیشتر از همه گرد و خاک داشتیم,اما بيشتر از همه گرد و خاک داشتيم
02:59,03:02,WOMAN 2: I guess I can't describe it. It was just constant.,گمونم نمی‌تونم توضیح بدم طوفان گرد و خاک دائماً می‌اومد,گمونم نمی‌تونم توضیح بدم طوفان گرد و خاک دائماً می‌اومد,<i>.نمي‌دونم چطور توصيفش کنم همیشه گرد و خاک بود</i>,گمونم نمی‌تونم توضیح بدم طوفان گرد و خاک دائماً می‌اومد,،فکر نکنم بتونم توضیح بدم .مداوم و همیشگی بود,،‏گمونم قابل توصیف نیست دائماً به همین شکل بود,ما هکتارها ذرت داریم اما بیشتر از اون گرد و خاک داریم,<i>.نمي‌دونم چطور توصيفش کنم دائم گرد و خاک بود</i>,.فکر نکنم بتونم توصيفـش کنم .وزش گردوخاک دائمي بود,فکر نکنم بشه توضیحش داد اون گرد و خاک همیشه بود,<i>.نمي‌دونم چطور توصيفش کنم دائم گرد و خاک بود</i>
03:02,03:04,Just that steady blow...,همین، یه عالمه غبار و کثافت,همین، یه عالمه غبار و کثافت,هميشه، وزش مداوم گرد و خاک بود,همین، یه عالمه غبار و کثافت,،همین .گرد و غباری پیوسته و مداوم,‏همین، وزش گرد و خاک دائم,حدس می زنم نمی تونم توصیف کنم فقط ثابت بود,هميشه، وزش مداوم گرد و خاک بود,بادهاي ثابتِ گردوخاک,همیشه بود و کلی هم کثیفی با خودش میاورد,هميشه، وزش مداوم گرد و خاک بود
03:04,03:06,of dirt.,همین، یه عالمه غبار و کثافت,همین، یه عالمه غبار و کثافت,هميشه، وزش مداوم گرد و خاک بود,همین، یه عالمه غبار و کثافت,،همین .گرد و غباری پیوسته و مداوم,‏همین، وزش گرد و خاک دائم,فقط همون، ثابت زیر خاک,هميشه، وزش مداوم گرد و خاک بود,بادهاي ثابتِ گردوخاک,همیشه بود و کلی هم کثیفی با خودش میاورد,هميشه، وزش مداوم گرد و خاک بود
03:08,03:11,"WOMAN 3: We wore, um, little strips of sheet...",...ما خودمونو با پارچه‌هایی می‌پوشوندیم,...ما خودمونو با پارچه‌هایی می‌پوشوندیم,...بعضي وقت‌ها تيکه‌هاي کوچيکي از ملحفه,...ما خودمونو با پارچه‌هایی می‌پوشوندیم,...پارچه‌هایی روی صورتمون میذاشتیم,...‏دستمال‌های پارچه‌ای کوچیکی رو,...ما نواری از کاغذ می پوشیدیم,...بعضي وقت‌ها تيکه‌هاي کوچيکي از ملحفه,...ما دور دهنمـون و توي دماغمـون,یه تیکه پارچه میکشیدیم روی دهان و بینی مون که کمتر گرد و خاک بخوریم,...بعضي وقت‌ها تيکه‌هاي کوچيکي از ملحفه
03:11,03:14,sometimes over our nose and mouth...,بعضی وقتا روی بینی و دهانمون می‌ذاشتیم که نتونیم گرد و خاک زیادی رو بدمیم,بعضی وقتا روی بینی و دهانمون می‌ذاشتیم که نتونیم گرد و خاک زیادی رو بدمیم,...روي بيني و دهانمون ميذاشتيم,بعضی وقتا روی بینی و دهانمون می‌ذاشتیم که نتونیم گرد و خاک زیادی رو بدمیم,...گاهی اوقات روی بینی و دهانمون,...‏بعضی وقتا جلوی بینی و دهن‌مون می‌‌گرفتیم,...ما نواری از کاغذ می پوشیدیم,...روي بيني و دهانمون ميذاشتيم,...تکه‌هاي دستمال ميذاشتيم,یه تیکه پارچه میکشیدیم روی دهان و بینی مون که کمتر گرد و خاک بخوریم,...روي بيني و دهانمون ميذاشتيم
03:14,03:16,so that we wouldn't breathe so much of it.,بعضی وقتا روی بینی و دهانمون می‌ذاشتیم که نتونیم گرد و خاک زیادی رو بدمیم,بعضی وقتا روی بینی و دهانمون می‌ذاشتیم که نتونیم گرد و خاک زیادی رو بدمیم,تا خیلی گرد و خاک نخوريم,بعضی وقتا روی بینی و دهانمون می‌ذاشتیم که نتونیم گرد و خاک زیادی رو بدمیم,تا گرد و خاک .خیلی وارد بدنمون نشه,‏تا خیلی از اون هوا تنفس نکنیم,بعضی وقتا روی دماغ و دهنمون... اینجوری بیشترشو تنفس نمی کردیم,تا زياد گرد و خاک نخوريم,تا گردوخاک رو استنشاق نکنيم,یه تیکه پارچه میکشیدیم روی دهان و بینی مون که کمتر گرد و خاک بخوریم,تا زياد گرد و خاک نخوريم
03:18,03:21,"MAN: When we set the table, we always set the plate...",خب زمانی که بشقاب‌ها رو می‌چیدیم اونا رو وارونه روی میز می‌ذاشتیم,خب زمانی که بشقاب‌ها رو می‌چیدیم اونا رو وارونه روی میز می‌ذاشتیم,خب، وقتي ميز رو مي‌چيديم هميشه بشقاب‌ها رو برعکس ميذاشتيم,خب زمانی که بشقاب‌ها رو می‌چیدیم اونا رو وارونه روی میز می‌ذاشتیم,وقتی میز غذا رو می‌چیدیم .همیشه بشقاب‌ها رو برعکس میذاشتیم,،‏خب وقتی هر وقت میز غذا رو می‌چیدیم ‏بشقاب‌ها رو برعکس می‌گذاشتیم,وقتی میزو می چیدیم همیشه بشقاب هارو برعکس می ذاشتیم,خب، وقتي ميز رو مي‌چيديم هميشه بشقاب‌ها رو وارونه ميذاشتيم,،وقتي ميز غذاخوري رو ميچيديم .تمام ظروف رو سروته ميذاشتيم,... همیشه وقتی میخواستیم میز رو مرتب کنیم,خب، وقتي ميز رو مي‌چيديم هميشه بشقاب‌ها رو وارونه ميذاشتيم
03:21,03:24,"upside-down. Glasses or cups, whatever it was...",لیوان‌ها، بشقاب‌ها، همه چی رو وارونه می‌کردیم,لیوان‌ها، بشقاب‌ها، همه چی رو وارونه می‌کردیم,ليوان يا استکان. هر چيزي که بود همه رو وارونه ميذاشتيم,لیوان‌ها، بشقاب‌ها، همه چی رو وارونه می‌کردیم,لیوان، فنجون و هر چیزی که .روی میز بود رو برعکس قرار می‌دادیم,‏لیوان یا فنجون یا هر چیزی که بود ‏رو برعکس می‌گذاشتیم,وقتی میزو می چیدیم همیشه بشقاب هارو برعکس می ذاشتیم,ليوان يا فنجون. هر چيزي که بود همه رو وارونه ميذاشتيم,تمام ليوان‌ها و فنجون‌ها و بقيه چيزها رو سروته ميذاشتيم,...بشقاب ، فنجون یا هر چی که روش بود رو...,ليوان يا فنجون. هر چيزي که بود همه رو وارونه ميذاشتيم
03:24,03:25,upside-down.,,,ليوان يا استکان. هر چيزي که بود همه رو وارونه ميذاشتيم,لیوان‌ها، بشقاب‌ها، همه چی رو وارونه می‌کردیم,لیوان، فنجون و هر چیزی که .روی میز بود رو برعکس قرار می‌دادیم,‏لیوان یا فنجون یا هر چیزی که بود ‏رو برعکس می‌گذاشتیم,لیوان ها یا فنجون ها، هرچی که بود، برعکس بود,ليوان يا فنجون. هر چيزي که بود همه رو وارونه ميذاشتيم,تمام ليوان‌ها و فنجون‌ها و بقيه چيزها رو سروته ميذاشتيم,وارونه میذاشتیم ...,ليوان يا فنجون. هر چيزي که بود همه رو وارونه ميذاشتيم
03:30,03:33,"Shake a leg! Murph, get a move on!",...ساعت 1 بعد از ظهر، تو و من,...ساعت 1 بعد از ظهر، تو و من,!سریع مورف، تکون بخور,بجنبین. مورف، عجله کن,"!بجنب ""مورف""، عجله کن",‏زود باش مورف، پاشو بیا,"یه تکونی به خودت بده، ""مرف"". بریم یه حرکتی بزنیم - ساعت 1 امروز، من و تو توی انبار -",!بجنب مورف، تکون بخور,!زودباش! مورف، عجله کن,"""بیاین دیگه ، بجنب ""مورف",!بجنب مورف، تکون بخور
03:33,03:36,"Tom, 4:00 today, you and me in the barn, Herbicide Resistance 101.",توی مزرعه، واسه سم ‌پاشی برای منطقه 101، خب؟,توی مزرعه، واسه سم ‌پاشی برای منطقه 101، خب؟,تام، امروز ساعت 4، من و تو در انبار غله مقاومت علف کش 101 رو چک ميکنيم,توی مزرعه، واسه سم ‌پاشی برای منطقه 101، خب؟,"،تام""، امروز ساعت 4"" ..،من و تو داخل انبار کاه","تام"" امروز ساعت 4، من و تو"" توی انبار غله، مقاومت علف‌کُش 101 رو چک می‌کنیم","یه تکونی به خودت بده، ""مرف"". بریم یه حرکتی بزنیم - ساعت 1 امروز، من و تو توی انبار -",تام، امروز ساعت 4، من و تو در انبار غله مقاومت علف کش 101 رو بررسي ميکنيم,،تام، امروز ساعت 4 بايد بريم انبار .علف‌کش رزيستنس101 رو برداريم,"تام"" ، امروز ساعت 4 ، توی انبار""  - مقاوت آفت کش 101 رو چک میکنیم ، باشه ؟ باشه  -",تام، امروز ساعت 4، من و تو در انبار غله مقاومت علف کش 101 رو بررسي ميکنيم
03:36,03:38,"- Check? - Yes, sir.",به روی چشم,به روی چشم,باشه؟ - بله، آقا -,به روی چشم,باشه؟ -  .چشم قربان -,‏- خب؟ ‏- بله قربان,چک کردن مقاومت علف کش 101 ؟ - باشه -,باشه؟ - بله، آقا -,مفهوم؟ - بله، قربان -,"تام"" ، امروز ساعت 4 ، توی انبار""  - مقاوت آفت کش 101 رو چک میکنیم ، باشه ؟ باشه  -",باشه؟ - بله، آقا -
03:39,03:41,"Not at the table, Murph.",بابا، میتونی اینو درست کنی؟,بابا، میتونی اینو درست کنی؟,!روي ميز نه، مورف,روی میز نه، مورف,"!""روی میز نه ""مورف",‏روی میز نه، مورف,"!""روی میز نه ""مرف",!روي ميز نه، مورف,روي ميز غذاخوري اين چيزا رو نيار، مورف,"""اونو روی میز نذار ، ""مورف",!روي ميز نه، مورف
03:42,03:44,"Dad, can you fix this?",بابا، میتونی اینو درست کنی؟,بابا، میتونی اینو درست کنی؟,بابا. ميتوني درستش کني؟,بابا، میتونی اینو درست کنی؟,بابا، می‌تونی اینو درست کنی؟,‏بابا، می‌تونی درستش کنی؟,بابا، می تونی اینُ درست کنی؟,بابا. ميتوني درستش کني؟,بابا ميتوني اينـو درست کني؟,بابا ؟ میتونی درستش کنی ؟,بابا. ميتوني درستش کني؟
03:45,03:47,COOPER: What the heck did you do...,من نبودم,من نبودم,چه بلايي سر ماکت ماه‌نشين‌ام آوردي؟ - تقصیر من نبود -,چه بلایی سر فضاپیمام آوردی؟,با سفینه‌ی فرودگر من چیکار کردی؟ - .کار من نبود -,‏- با کاوشگر من چیکار کردی؟ ‏- من کاری نکردم,چه بلایی سر کاوشگر من آوردی؟ - من نبودم -,چه بلايي سر ماکت ماه‌نشين‌ام آوردي؟ - کار من نبود -,با سفينه‌ي من چيکارد کردي؟ - من نکردم -,چه بلایی سر فضاپیمام آوردی ؟ - کار من نبود -,چه بلايي سر ماکت ماه‌نشين‌ام آوردي؟ - کار من نبود -
03:47,03:48,- to my lander? - Wasn't me.,بذار حدس بزنم. جناب روح این کارو کرد,بذار حدس بزنم. جناب روح این کارو کرد,چه بلايي سر ماکت ماه‌نشين‌ام آوردي؟ - تقصیر من نبود -,من نبودم,با سفینه‌ی فرودگر من چیکار کردی؟ - .کار من نبود -,‏- با کاوشگر من چیکار کردی؟ ‏- من کاری نکردم,چه بلایی سر کاوشگر من آوردی؟ - من نبودم -,چه بلايي سر ماکت ماه‌نشين‌ام آوردي؟ - کار من نبود -,با سفينه‌ي من چيکارد کردي؟ - من نکردم -,چه بلایی سر فضاپیمام آوردی ؟ - کار من نبود -,چه بلايي سر ماکت ماه‌نشين‌ام آوردي؟ - کار من نبود -
03:48,03:50,Let me guess. It was your ghost?,به قفسه کتابم ضربه میزد,به قفسه کتابم ضربه میزد,بذار حدس بزنم. روحت بود؟,بذار حدس بزنم. جناب روح این کارو کرد,بذار حدس بزنم، کار شبحت بود؟,بذار حدس بزنم، کار روحت‌ـه,بذار حدس بزنم. روحت بوده - از قفسه ام کوبیده شد -,بذار حدس بزنم. روحت بود؟,بذار حدس بزنم، اون روحِ اينکارو کرد؟,بزار حدس بزنم ، روحت بود؟,بذار حدس بزنم. روحت بود؟
03:50,03:53,It knocked it off. It keeps knocking books off.,همچنین کتاب‌ها رو می‌ندازه زمین,همچنین کتاب‌ها رو می‌ندازه زمین,.از روي قفسه انداختش کتاب‌ها رو هم مرتب ميندازه,به قفسه کتابم ضربه میزد,.از روی قفسه انداختتش زمین .مدام کتاب‌ها رو میندازه زمین,،از روی تاقچه‌م انداختش ‏به انداختن کتابا رو هم ادامه میده,بذار حدس بزنم. روحت بوده - از قفسه ام کوبیده شد -,.از روي قفسه انداختش کتاب‌ها رو هم مرتب ميندازه,.از روي قفسه کمد افتاد .روحِ فقط کتاب‌ها رو تکون ميده,پرتش کرد پایین کتاب ها رو هم همش پرت میکنه پایین,.از روي قفسه انداختش کتاب‌ها رو هم مرتب ميندازه
03:53,03:54,"TOM: No such thing as ghosts, dumb-ass.",کله‌خر، روح وجود خارجی نداره,کله‌خر، روح وجود خارجی نداره,چيزي به اسم روح وجود نداره، نادون,کله‌خر، روح وجود خارجی نداره,.چیزی به اسم شبح وجود نداره احمق - .هی -,‏- چیزی بنام روح وجود نداره خنگول هی -,تازه کتابامم ریخت پایین - چیزی به اسم روح وجود نداره کله خر -,چيزي به اسم روح وجود نداره، احمق,چيزي به اسم روح وجود نداره، احمق جون,روح وجود نداره ، کله پوک,چيزي به اسم روح وجود نداره، احمق
03:54,03:56,- Hey. - I looked it up. It's called a poltergeist.,دربارش تحقیق کردم، بهش میگن شَـبـح,دربارش تحقیق کردم، بهش میگن شَـبـح,هي - دربارش تحقيق کردم. بهشون ميگن ارواح شرور -,دربارش تحقیق کردم، بهش میگن شَـبـح,،خودم دیدمش .یه نوع شبحـه که صداهای اسرار آمیز در میاره,"""‏- دربارش گشتم، بهش میگن ""روح خرابکار بابا تو بهش بگو -","""من نگاه کردم، بهش میگن ""پولترگایست <font color=""#80ffff"">(یه نوع روح که کارهایی مثل بهم زدن اشیاء و ایجاد صدا می کنه)</font>",هي - دربارش تحقيق کردم. بهشون ميگن ارواح شرور -,هي - (رفتم جستجو کردم، بهش ميگن پولترگايست(به معناي ارواح شرور -,"هی - ""من پرس و جو کردم ، بهش میگن ""ارواح مزاحم -",هي - دربارش تحقيق کردم. بهشون ميگن ارواح شرور -
03:57,03:58,"Dad, tell her.",خب، زیادم علمی نیست، مورف,خب، زیادم علمی نیست، مورف,بابا. بهش بگو - خب، اين خيلي علمي نيست، مورف -,بابا، بهش بگو,.بابا، تو بهش بگو,"""‏- دربارش گشتم، بهش میگن ""روح خرابکار بابا تو بهش بگو -","بابا، بهش بگو - ""خب، این خیلی علمی نیست، ""مرف -",بابا. بهش بگو - خب، اين خيلي علمي نيست، مورف -,بابا، خودت بهش بگو,بابا ، تو بهش بگو,بابا. بهش بگو - خب، اين خيلي علمي نيست، مورف -
