05:24,05:26,He is an extraordinary surgeon.,جراح خارق‌العاده‌ایه,‫طرف جراح فوق‌العاده‌ایـه,جراح خارق‌العاده‌ایه,‫اون یک جراح فوق‌العاده‌ست.,ایشون یه جراح عالی‌رتبه هستن,،در کودکی که جورچین بازی کردین مگر نه؟
05:26,05:29,His research is groundbreaking. His father founded this place.,تحقیقاتش پیشگامانه‌ست,‫تحقیقاتش تحول‌آفرینـه,تحقیقاتش پیشگامانه‌ست,‫متدش نوین و انقلابیه. ‫پدرش اینجا رو تاسیس کرده.,تحقیقات ایشون، طلایه‌داری میباشه,،در کودکی که جورچین بازی کردین مگر نه؟
05:29,05:33,"Have you mistaken yourself as included in this conversation, Max McCandles?",نظر خواست آخه؟,‫مکس مک‌کندلز، ‫کسی با شما صحبت نکرد,نظر خواست آخه؟,‫نکنه فکر کردی داریم با تو ‫حرف می‌زنیم، مکس مک‌کندلز؟,لحاظ آوردی، مکس مک‌کندلز؟,فقط من اینطورم ،یا تمرکز کردن قد یه دنیا مکافات داره
05:33,05:36,Your physical proximity to us does not make it so.,اینکه در نزدیکی ما نشستی دلیل نمی‌شه بپری وسط صحبت,‫تو کنارمون ننشستی که باهات صحبت کنیم,اینکه در نزدیکی ما نشستی دلیل نمی‌شه بپری وسط صحبت,‫چون نزدیکمون نشستی ‫دلیل نمیشه نظر بدی.,مجاورت فیزیکی داشتنت که به ما همچین داستانی درش نمیاره,ایشون یه جراح عالی‌رتبه هستن
05:36,05:38,"Fuck off, old pal. Get yourself a suit.",.خفه‌خون بگیر رفیقِ قدیمی برو یه دست لباس درست حسابی بخر,‫گمشو، بابا. ‫برو یه کت و شلوار بگیر.,.خفه‌خون بگیر رفیقِ قدیمی برو یه دست لباس درست حسابی بخر,‫برو به تیپ خودت برس ‫بچه مزلف.,گوه‌خوری نکن، عمو جون تو برو یه کت و شلوار برای خودت جور کن,تحقیقات ایشون، طلایه‌داری میباشه
05:41,05:44,"You really think that's where the liver goes, sir?",جناب، واقعا فکر کردی که جای کبد اونجاست؟,‫جناب، به‌نظرت جای کبد اونجاست؟,جناب، واقعا فکر کردی که جای کبد اونجاست؟,‫جدا فکر می‌کنی جای ‫کبد اونجاست، جناب؟,واقعا به نظرتون کبد اونجا میره، جناب؟,لحاظ آوردی، مکس مک‌کندلز؟
05:45,05:49,"Can I ask what is the purpose of putting them back in, sir?",جناب، می‌شه بپرسم که هدف از سرهم کردن‌شون چیه؟,‫استاد، میشه بپرسم چرا داریم ‫اندام‌ها رو میذاریم سر جاشون؟,جناب، می‌شه بپرسم که هدف از سرهم کردن‌شون چیه؟,‫میشه بپرسم چرا باید ارگان‌ها رو ‫در جای قبلیشون قرار بدیم؟,میتونم بپرسم چه هدفی تو گذاشتن اینا سر جای خودشونه، آقا؟,گوه‌خوری نکن، عمو جون تو برو یه کت و شلوار برای خودت جور کن
05:49,05:51,My amusement.,سرگرمیِ خودم,‫واسه سرگرمی من,سرگرمیِ خودم,‫تا من حال کنم.,برای سرگرمی خودم,
05:52,05:54,Mr. Max McCandles!,آقای مکس مک‌کندلز,‫آقای مکس مک‌کندلز!,آقای مکس مک‌کندلز,‫آقای مکس مک‌کندلز!,آقای مکس مک‌کَندلز,واقعا به نظرتون کبد اونجا میره، جناب؟
05:54,05:56,Walk with me at the end of the lesson.,بعد از جلسه بیا کارت دارم,‫بعد از کلاس همراهم بیا,بعد از جلسه بیا کارت دارم,‫بعد از پایان کلاس ‫باهم بریم خونه.,بعد از پایان کلاس با بنده هم‌قدم شین,میتونم بپرسم چه هدفی تو گذاشتن اینا سر جای خودشونه، آقا؟
06:02,06:03,Your paper.,مقاله‌ت رو خوندم,‫مقاله‌ات,مقاله‌ت رو خوندم,‫مقاله‌ت.,مقاله‌تون,آقای مکس مک‌کَندلز
06:04,06:05,"You liked it, sir?",پسندیدیدش جناب؟,‫دوستش داشتید، استاد؟,پسندیدیدش جناب؟,‫خوشتون اومد، قربان؟,ازش خوشتون اومد، آقا؟,بعد از پایان کلاس با بنده هم‌قدم شین
06:05,06:10,It showed signs of a conventional mind straining hard to almost touch mediocrity.,به‌شدت سعی می‌کنه در طبقه‌ی میان‌مایگی قرار بگیره,‫به هزار زحمت تونسته ‫یه کار نسبتاً متوسط رو ارائه کنه,به‌شدت سعی می‌کنه در طبقه‌ی میان‌مایگی قرار بگیره,‫نشون داد سخت به ذهن محافظه‌کارت ‫فشار آوردی تا در نهایت یه چیز معمولی در بیاد.,تقریبا به میان‌مایگی نزدیک بشه، میبود,بعد از پایان کلاس با بنده هم‌قدم شین
06:10,06:13,- Thank you. - I need someone. An assistant on a project.,یکی که توی پروژه دستیارم باشه - از خدامه -,‫- یه دستیار برای یه پروژه می‌خوام ‫- خوشحال میشم,یکی که توی پروژه دستیارم باشه - از خدامه -,‫- ممنونم. ‫- من به یک دستیار در یک پروژه نیاز دارم,دستیاری در پروژه‌ای - با کمال میل -,مقاله‌تون
06:13,06:14,I would love to.,یکی که توی پروژه دستیارم باشه - از خدامه -,‫- یه دستیار برای یه پروژه می‌خوام ‫- خوشحال میشم,یکی که توی پروژه دستیارم باشه - از خدامه -,‫من در خدمتم.,دستیاری در پروژه‌ای - با کمال میل -,ازش خوشتون اومد، آقا؟
06:15,06:17,- Are you a religious man? - I believe in God.,فرد مذهبی‌ای هستی؟ - به خدا اعتقاد دارم -,‫- تو آدم متدینی هستی؟ ‫- به خدا اعتقاد دارم,فرد مذهبی‌ای هستی؟ - به خدا اعتقاد دارم -,‫- مذهبی هستی؟ ‫- به خدا اعتقاد دارم.,مرد مذهبی هستی؟ - خدا رو باورم دارم -,،حاکی از نشونه‌های ذهنی سنتی که به سختی در تقلائه تا
06:17,06:20,"- Me or the deity? - Humorous, as you're often known as the...",من یا خدای الهی؟,‫منو میگی یا پروردگار رو؟,من یا خدای الهی؟,‫- به من یا خدا؟ ‫- طنزش اینجاست که اسم شما گاد هست,بنده یا معبود؟,تقریبا به میان‌مایگی نزدیک بشه، میبود
06:20,06:22,It is a joke of my own making.,جوکیه که خودم ساختم,‫خودم این جوک رو ساختم,جوکیه که خودم ساختم,‫خودم این جوک رو درست کردم.,این یه شوخی خودساختمه,مچکرم - من احتیاج به کسی دارم -
06:22,06:24,I do not need it explicated for me.,نیازی نیست برام توضیح بدی,‫نمی‌خواد برام توضیحش بدی,نیازی نیست برام توضیح بدی,‫لازم نیست بهم توضیح بدیش.,نیازی به توضیح دادنش برام نیست,دستیاری در پروژه‌ای - با کمال میل -
06:25,06:26,The very devil's work.,این کارِ شیطانه,‫عجب قیافه‌ی کریهی!,این کارِ شیطانه,‫مخلوق شیطان رو ببین!,اثر خودِ شیطانه,مرد مذهبی هستی؟ - خدا رو باورم دارم -
06:26,06:28,"Have you thought of growing a beard, sir?",به این فکر کردید که ریش بذارید، جناب؟,‫تا حالا به فکر ریش‌گذاشتن نیفتادید، استاد؟,به این فکر کردید که ریش بذارید، جناب؟,‫به ریش گذاشتن فکر کردید، قربان؟,به ریش درآوردن فکر کردین، آقا؟,بنده یا معبود؟
06:28,06:30,I look like a big dog in a cravat.,شبیه سگی هستم که غبغب بزرگی داره و کراوات زده,‫مثل یه سگ گنده‌ام که کراوات زده,شبیه سگی هستم که غبغب بزرگی داره و کراوات زده,‫شبیه یه سگ گنده ‫با کراوات میشم.,من شبیه سگ گنده‌‌ی کِراوات‌‌زنی‌ام,،مزاح کردم ...آخه از اونجا که شما اغلب موسوم‌ـین به
06:31,06:32,Kids like dogs.,بچه‌ها سگ دوست دارن,‫بچه‌ها سگ دوست دارن,بچه‌ها سگ دوست دارن,‫بچه‌ها سگ دوست دارن.,بچه‌ها که سگ دوست دارن,این یه شوخی خودساختمه
06:32,06:34,This job.,...آه، در رابطه با این کاره,‫راجع‌به این کاره,...آه، در رابطه با این کاره,‫کارمون اینجاست؟,کار اینجائه؟,نیازی به توضیح دادنش برام نیست
06:34,06:35,Yes. Come.,آره، بیا,‫آره. بیا,آره، بیا,‫بله. بفرما.,بله. بیاین,نیازی به توضیح دادنش برام نیست
07:01,07:03,God! God.,گاد، گاد [ مخفف اسم گادوین، معنای خدا هم می‌ده ],‫گاد! گاد ‫(به معنی خدا),گاد، گاد [ مخفف اسم گادوین، معنای خدا هم می‌ده ],‫گاد! گاد!,خدا! خدا,
07:04,07:05,God.,گاد,گاد,گاد,‫گاد!,خدا,
07:06,07:08,- Hello. - Hello.,سلام - سلام -,‫- سلام ‫- سلام,سلام - سلام -,‫- سلام ‫- دلام,سلام - سلام -,
07:09,07:12,"Bella, this is Mr. McCandles.",بلا، ایشون آقای مک‌کندلز هستن,‫بلا، ایشون آقای مک‌کندلزه,بلا، ایشون آقای مک‌کندلز هستن,‫بلا، ایشون آقای مک‌کندلز هستن.,بِلا، ایشون آقای مک‌کندلز هستن,خدا! خدا
07:12,07:14,"Hello, Bella.",سلام بلا,‫سلام، بِلا,سلام بلا,‫سلام، بلا.,سلام بِلا,خدا
07:18,07:20,- Bud. - Blood.,خن - خون -,‫- خن ‫- خون,خن - خون -,‫- کون. ‫- خون.,جون - خون -,بِلا، ایشون آقای مک‌کندلز هستن
07:20,07:21,- Bud. - Blood.,خن - خون -,‫- خن ‫- خون,خن - خون -,‫- کون. ‫- خون.,جون - خون -,بِلا، ایشون آقای مک‌کندلز هستن
07:21,07:23,- Blood. - Marvelous.,خون - خارق العاده‌ست -,‫- خون ‫- آفرین,خون - خارق العاده‌ست -,‫- خون. ‫- احسنت.,خون - شگفت‌انگیزی -,سلام بِلا
07:23,07:24,I'm fine. I'm fine.,خوبم، حالم خوبه,‫چیزیم نیست. خوبم,خوبم، حالم خوبه,‫من خوبم. چیزی نشد.,من خوبم، خوبم,سلام بِلا
07:29,07:31,What a very pretty retard.,عجب عقب‌مانده‌ی خوشگلیه,‫عجب عقب‌افتاده‌ی خوشگلی,عجب عقب‌مانده‌ی خوشگلیه,‫چه عقب‌مونده‌ی زیبایی!,چه عقب افتاده‌ی بسیار خوشگلی,جون - خون -
07:32,07:34,She suffered a brain injury.,دچار آسیب مغزی شد,‫مغزش آسیب دید,دچار آسیب مغزی شد,‫دچار آسیب مغزی شده بود,اون از آسیب مغزی رنج میبرد,من خوبم، خوبم
07:35,07:36,I repaired it.,ترمیمش کردم,‫خودم درستش کردم,ترمیمش کردم,‫من درستش کردم.,من ترمیمش کردم,
07:36,07:39,Her mental age and her body are not quite synchronized.,سن عقلیش و بدنش خیلی هماهنگ نیستن,‫سن عقلی و فیزیکیش مغایرت دارن,سن عقلیش و بدنش خیلی هماهنگ نیستن,‫سن ذهنی و سن جسمیش ‫هنوز باهم منطبق نشدن.,،سن ذهنی و بدنش آن‌چنان که باید هماهنگ نیستن,چه عقب افتاده‌ی بسیار خوشگلی
07:40,07:44,Language is coming. She is progressing at an accelerated pace.,خیلی سریع داره پیشرفت می‌کنه,‫داره به‌سرعت پیشرفت می‌کنه,خیلی سریع داره پیشرفت می‌کنه,‫داره زبان یاد می‌گیره ‫و سرعت یادگیریش فوق‌العاده‌ست.,با سرعتی شتابان هم رو به پیشرفته,اون از آسیب مغزی رنج میبرد
07:44,07:46,She is stunning.,حیرت انگیزه,‫خیره‌کننده‌ست,حیرت انگیزه,‫خیره‌کننده‌ست.,آدم رو مات میکنه,من ترمیمش کردم
07:47,07:50,I need to meticulously note her progression.,باید دقت هرچه تمام,‫باید پیشرفتش رو زیر ذره‌بین بگیرم,باید دقت هرچه تمام,‫میخوام تمام جزئیات پیشرفتش ثبت بشه.,باید که پیشرفتش رو موشکافانه‌طور,،سن ذهنی و بدنش آن‌چنان که باید هماهنگ نیستن
07:51,07:53,You will do this for me?,این کار رو به عهده می‌گیری؟,‫تو این کارو انجام میدی,این کار رو به عهده می‌گیری؟,‫حاضری اینکار رو ‫برای من انجام بدی؟,شما این کار رو برام می‌کنید؟,با سرعتی شتابان هم رو به پیشرفته
07:53,07:54,It would be my honor.,باعث افتخارمه,‫باعث افتخارمـه,باعث افتخارمه,‫باعث افتخارمه.,افتخاری هم برام میشه,با سرعتی شتابان هم رو به پیشرفته
07:54,07:55,Wee!,جیش,‫جیش!,جیش,,شماره یک,آدم رو مات میکنه
07:56,07:57,Wee!,جیش,‫جیش!,جیش,,شماره یک,آدم رو مات میکنه
07:57,08:00,"Yes. It is exciting, Bella.",آره، هیجان‌انگیزه بلا جان,‫آره. جالبه، بِلا,آره، هیجان‌انگیزه بلا جان,‫آره، هیجان‌انگیزه بلا.,بله ذوق‌آوره، بلا,باید که پیشرفتش رو موشکافانه‌طور
08:01,08:03,"""Wee."" I believe she's doing...",...جیش. فکر کنم داره,‫میگه «جیش» ‫گمونم داره…,...جیش. فکر کنم داره,‫فکر کنم چیز شد...,"""شماره یک"" ...به باورم داره",شما این کار رو برام می‌کنید؟
08:03,08:04,Mrs. Prim!,خانم پریم,‫خانم پریم!,خانم پریم,‫خانم پریم!,خانم پِریم,افتخاری هم برام میشه
08:06,08:07,Wee.,جیش,‫جیش کرده,جیش,,شماره یک,شماره یک
09:04,09:06,Do you not like kippers?,ماهی دودی دوست نداری؟,‫ماهی دودی دوست نداری؟,ماهی دودی دوست نداری؟,‫ماهی دودی دوست نداری؟,ماهی دودی دوست نداری؟,
09:12,09:15,"I am quite partial to them, actually.",راستش من خیلی دوست دارم,‫راستش، من که خیلی دوست دارم,راستش من خیلی دوست دارم,‫اتفاقا من دوست دارم.,من که راستش، حسابی دلم براشون میره,ماهی دودی دوست نداری؟
09:15,09:19,I find them to be nice in the morning...,...صبح‌ها خیلی می‌چسبن,‫به‌نظرم واسه صبحونه خیلی خوشمزه‌ست…,...صبح‌ها خیلی می‌چسبن,‫بنظرم برای صبحونه خوش‌مزه‌ان...,به تشخیص من که ...خوشمزه در میاد که در صبح,ماهی دودی دوست نداری؟
09:41,09:42,"Bella cut, too?",بلا هم بِبُره؟,‫بِلا هم تکه‌پاره کنه؟,بلا هم بِبُره؟,‫بلا هم قیچی کنه؟,بِلا هم ببُره؟,
09:43,09:45,Just dead ones for Bella.,بلا فقط مُرده‌ها رو می‌بُره,‫بِلا فقط مُرده‌ها رو تکه‌پاره می‌کنه,بلا فقط مُرده‌ها رو می‌بُره,‫بلا فقط با مُرده‌ها می‌تونه.,فقط مُرده‌ها برای بلان,
09:45,09:46,Just dead.,فقط مُرده‌ها,‫فقط مُرده‌ها,فقط مُرده‌ها,‫فقط با مُرده‌ها.,فقط مُرده‌ها,
09:46,09:47,Just dead.,فقط مُرده‌ها,‫فقط مُرده‌ها,فقط مُرده‌ها,‫فقط با مُرده‌ها.,فقط مُرده‌ها,
09:47,09:48,Just dead.,فقط مُرده‌ها,‫فقط مُرده‌ها,فقط مُرده‌ها,‫فقط با مُرده‌ها.,فقط مُرده‌ها,
10:09,10:11,"Squish! Squish, squish.",چلپ چلوپ,‫له‌ات می‌کنم! له شو!,چلپ چلوپ,‫له! له! له شو!,شلپ‌شلوپ! شلپ‌شلوپ، شلپ‌شلوپ,
10:13,10:14,Chog!,چاگ,‫خروسگ! ‫(خروس + سگ),چاگ,‫گگ!,"چاگ <font color=""#fdffae"" face=""Calibri""><b>(نژادی بین سگ چی‌واوا و پاگ)</b></font>",
10:16,10:17,Chog!,چاگ,‫خروسگ!,چاگ,‫گگ!,چاگ,
10:19,10:20,Run!,بدو,‫بدو!,بدو,‫بدو!,بدو,شلپ‌شلوپ! شلپ‌شلوپ، شلپ‌شلوپ
10:23,10:24,Chog.,چاگ,‫خروسگ,چاگ,‫گگ.,چاگ,"چاگ <font color=""#fdffae"" face=""Calibri""><b>(نژادی بین سگ چی‌واوا و پاگ)</b></font>"
10:41,10:44,<i>She gathers 15 words a day.</i>,روزانه پونزده کلمه رو حفظ می‌کنه,‫روزی ۱۵ تا کلمه‌ی جدید یاد می‌گیره,روزانه پونزده کلمه رو حفظ می‌کنه,‫روزی ۱۵ کلمه یاد می‌گیره.,روزانه 15 کلمه رو متوجه میشه,
10:44,10:47,<i>Her coordination is unstable at best.</i>,هماهنگی و تعادلش در بترین حالت، ناپایداره,‫هماهنگى‌ بین عضلاتش ‫در بهترین حالت ناپایداره,هماهنگی و تعادلش در بترین حالت، ناپایداره,‫هماهنگی بدنی بی‌ثباتی داره.,هماهنگی حرکتیش هم با اغماض، متزلزله,
10:47,10:49,"<i>In the evenings, there's progress.</i>",شب‌ها یه سری پیشرفت‌ها حاصل می‌شه,‫غروب‌ها وضعش بهتر میشه,شب‌ها یه سری پیشرفت‌ها حاصل می‌شه,‫عصرها پیشرفت داره.,عصرها هم یه پیشرفتایی درکاره,
10:50,10:53,<i>Her hair grows one inch every two days.</i>,‫هر دو روز یک‌بار موهاش ‫ ۲.۵۴ سانت رشد می‌کنه,‫هر ۴ روز موهاش ۵ سانت رشد می‌کنه,‫هر دو روز یک‌بار موهاش ‫ ۲.۵۴ سانت رشد می‌کنه,‫موهاش هر دو روز، دو و نیم سانت بلند میشه.,موهاش هر دو روز، 2.5 سانتی‌متر رشد میکنه,روزانه 15 کلمه رو متوجه میشه
10:53,10:55,<i>- I have a hair diagram here. - Excellent.</i>,نمودار رشد موش رو دارم - عالیه -,‫- نمودار رشد موهاش رو اینجا کِشیدم ‫- عالیه,نمودار رشد موش رو دارم - عالیه -,‫- اینجا نمودار رشدش رو ثبت کردم. ‫- عالی.,اینجا یه نمودار مو رو دارم - بسی عالیه -,هماهنگی حرکتیش هم با اغماض، متزلزله
10:55,10:58,You may go. See you tomorrow.,.می‌تونی بری فردا می‌بینمت,‫می‌تونی بری. فردا می‌بینمت,.می‌تونی بری فردا می‌بینمت,‫مرخصی بری. ‫فردا می‌بینمت.,میتونین مرخص بشین فردا می‌بینمتون,هماهنگی حرکتیش هم با اغماض، متزلزله
10:59,11:01,"Sir, where did she come from?",جناب، این دختره رو از کجا آوردی؟,‫استاد، اینو از کجا آوردید؟,جناب، این دختره رو از کجا آوردی؟,‫بلا از کجا اومده؟,آقا، اون از کجا اومده؟,موهاش هر دو روز، 2.5 سانتی‌متر رشد میکنه
11:02,11:05,I believe your job is collecting data.,به عقیده‌ی من، وظیفه‌ی تو جمع‌آوری داده‌هاست,‫به‌نظرم کار تو داده‌برداریـه,به عقیده‌ی من، وظیفه‌ی تو جمع‌آوری داده‌هاست,‫فکر کنم کارت جمع‌آوری اطلاعاته,به باور بنده کار شما جمع‌آوری داده‌ها هستش,اینجا یه نمودار مو رو دارم - بسی عالیه -
11:05,11:08,"When I add inane questions to it, I'll let you know.",هروقت «پرسیدن سوالات چرند» به وظایفت اضافه شد، خبرت می‌کنم,‫وقتی خواستم سؤال‌های احمقانه هم بپرسی، ‫بهت خبر میدم,هروقت «پرسیدن سوالات چرند» به وظایفت اضافه شد، خبرت می‌کنم,‫اگه سوال‌های بی‌محتوا خواستم، ‫خبرت می‌کنم.,،موقعی که سوالات چرند به کارتون ضمیمه کردم در جریانتون میذارم,میتونین مرخص بشین فردا می‌بینمتون
11:12,11:16,"""And so, when they returned from the wood...",و وقتی از جنگل برگشتن,‫« هنگامی که از جنگل برگشتند،,و وقتی از جنگل برگشتن,‫خلاصه، وقتی به جنگل بازگشتند...,"و پس، وقتی که از جنگل برگشتند""",به باور بنده کار شما جمع‌آوری داده‌ها هستش
11:16,11:19,"""she was reunited with her Mummy and Daddy.",دخترک با مامانی و باباییش تجدید دیدار کرد,‫او دوباره پیش مامان و بابایش بود.,دخترک با مامانی و باباییش تجدید دیدار کرد,‫او دوباره پیش ‫مادر و پدرش برگشت.,"دختر دوباره به مامان و بابایش رسید""",،موقعی که سوالات چرند به کارتون ضمیمه کردم در جریانتون میذارم
11:21,11:25,"""That night, for dinner, they ate cake until they were sick.",اون‌قدر کیک خوردن که حال‌شون بد شد,‫آن‌قدر کیک خوردند که حالشان بد شد.,اون‌قدر کیک خوردن که حال‌شون بد شد,‫اون شب برای شام انقدر ‫کیک خوردن تا حالشون بد شد.,"آن‌ها کیک خوردن"" تا اینکه دچار سوء هاضمه شدند","و پس، وقتی که از جنگل برگشتند"""
11:26,11:29,"""They were so happy to be back together.""",از اینکه دوباره برگشتن پیش هم خیلی خوش‌حال بودن,‫آنها از اینکه دوباره کنار هم بودند، ‫سر از پا نمی‌شناختند. »,از اینکه دوباره برگشتن پیش هم خیلی خوش‌حال بودن,‫خیلی از دوباره بودن باهم لذت بدرن,"آن‌ها از دوباره با هم بودنشان"" ""بسیار شاد بودند","دختر دوباره به مامان و بابایش رسید"""
11:32,11:34,"You me Daddy, God?",تو، من، بابایی، گاد؟,‫گاد، تو بابای منی؟,تو، من، بابایی، گاد؟,‫تو بابایی من، گاد؟,تو بابایی منی، خدا؟,"آن‌ها کیک خوردن"" تا اینکه دچار سوء هاضمه شدند"
11:35,11:37,- I... - Prim say you not be.,پریم می‌گه نیستی,‫پریم میگه نیستی,پریم می‌گه نیستی,‫- من... ‫- پریم میگه تو بابا نیست.,پریم میگه نمی‌باشی,"آن‌ها از دوباره با هم بودنشان"" ""بسیار شاد بودند"
11:38,11:40,Bella nowhere girl.,بلا از ناکجا آباد,‫بِلا دختر بی کس و کاریـه,بلا از ناکجا آباد,‫بلا دختر یتیم.,که بلا دختری از ناکجاآباده,"آن‌ها از دوباره با هم بودنشان"" ""بسیار شاد بودند"
11:41,11:43,Where that be? Nowhere?,ناکجا آباد کجاست؟,‫کس و کارم کیـه؟ ندارم؟,ناکجا آباد کجاست؟,‫یتیم کجاست؟,کجاست اونجا؟ ناکجاآباد؟,تو بابایی منی، خدا؟
11:44,11:46,You are an orphan.,تو یک یتیمی,‫تو یتیمی,تو یک یتیمی,‫یعنی پدر و مادر نداری.,تو یه یتیمی,پریم میگه نمی‌باشی
11:46,11:48,Your parents died.,والدینت مُردن,‫پدر و مادرت مُردن,والدینت مُردن,‫والدینت فوت کردن.,بابا و مامانت مُردن,پریم میگه نمی‌باشی
11:49,11:52,"Then you cut parents up, God?",بعدش والدین رو تیکه پاره کردی، گاد؟,‫تو پدر و مادرم تیکه‌پاره کردی، گاد؟,بعدش والدین رو تیکه پاره کردی، گاد؟,‫یعنی تو تیکه‌تیکه‌شون کردی، گاد؟,بعد، بابا و مامان رو بُریدی، خدا؟,کجاست اونجا؟ ناکجاآباد؟
11:52,11:53,No.,نه,‫نه,نه,‫نه.,نه,کجاست اونجا؟ ناکجاآباد؟
11:54,11:56,They were my friends.,اونا دوست‌هام بودن,‫اونها دوست‌هام بودن,اونا دوست‌هام بودن,‫اونا دوستان من بودن.,اونا دوستای من بودن,تو یه یتیمی
11:56,11:59,They were brave explorers...,کاشفانِ من بودن,‫جهان‌گردهای شجاعی بودن؛,کاشفانِ من بودن,‫کاوشگرهای شجاعی بودن...,کاشفان شجاعی بودن,بابا و مامانت مُردن
