Start Time,End Time,English,Dune (2021) WebDl - UTF-8 [EDITED].srt,Dune 2021.srt,Dune. 2021.srt,Dune.2021. BluRay.srt,Dune.2021.1080p.BluRay.1600MB.DD2.0.x264-GalaxyRG.srt,Dune.2021.1080p.BluRay.REMUX.AVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT.srt,Dune.2021.1080p.BluRay.srt,Dune.2021.1080p.HMAX.WEB-DL.DDP5.1.Atmos.x264-EVO.Fa.srt,Dune.2021.1080p.HMAX.WEB-DL.v7[UTF-8].srt,Dune.2021.720p.1080p.720p.HMAX.WEB-DL.srt,Dune.2021.720p.1080p.BluRay.Fa.srt,Dune.2021.720p.BluRay.900MB.x264-GalaxyRG.srt,Dune.2021.BRRip.x264-ION10.srt,Dune.2021.BluRay.Per-SAHEB.srt,Dune.2021.BluRay.[@cinama_bestt].srt,Dune.2021.BluRay.srt,Dune.2021.HMAX.WEB-DL.Fa[UTF-8]v6.srt,Dune.2021.HMAX.WEB-DL.Per-SAHEB.srt,Dune.2021.WEB-DL.AC3-EVO.srt,Dune.2021._BluRay.v7[UTF-8].srt
29:28,29:30,"So much potential, wasted in a male.",استعداد درونی زیادی .در جنس نرینه هدر رفت,,‫توان زیادی رو برای مردها هدر دادیم,‫توان زیادی رو برای مردها هدر دادیم,پتانسیل فراوانی که تو یه مَرد داره حیف میشه تمام اعضای بنه‌جزریت ها» «زن هستن و باید زن باشن,پتانسیل زیادی توی اون مذکر حروم شده,‫اون همه پتانسیل، پای یک مرد حروم شد.,‫چه استعداد بالقوه‌ای‌ که ‫با این پسر هدر رفت,حیف این همه استعداد که توی یه جنس مذکر هدر می‌ره,پتانسیل بسیار زیادی که در یک مذکر تباه شده,پتانسیل بسیار زیادی که در یک مذکر تباه شده,‫چه استعداد بالقوه‌ای‌ که ‫با این پسر هدر رفت,پتانسیل فراوانی که تو یه مَرد داره حیف میشه تمام اعضای بنه‌جزریت ها» «زن هستن و باید زن باشن,ظرفیت‌های بالایی در اون به هدر رفته.‏,چه استعداد هایی که تو بدن .مذکر هدر نرفته,حیف این همه پتانسیل که تو یه جنس مذکر داره تباه میشه,حیف این همه استعداد که توی یه جنس مذکر هدر می‌ره,ظرفیت‌های بالایی در اون به هدر رفته.‏,این همه استعداد در یه بچه‌ی مذکر حرام شد.,حیف این همه استعداد که توی یه جنس مذکر هدر می‌ره
29:32,29:33,You were told to bear only daughters.,،بهت گفته شد که فقط دختر بزایی,,‫بهت گفته بودیم که فقط دختر‌ها توانایی رو دارند,‫بهت گفته بودیم که فقط دختر‌ها توانایی رو دارند,بهت گفته شده بود که فقط فرزند مونث بدنیا بیاری,به تو گفتن که فقط دختر بدنیا بیاری,‫به تو گفتیم فقط دختر بیاری.,‫بهت گفته شده بود ‫که فقط دختر داشته باشی،,بهت گفته بودن فقط دختر بزایی,بهت گفته شده بود فقط دختر به دنیا بیاری,بهت گفته شده بود فقط دختر به دنیا بیاری,‫بهت گفته شده بود ‫که فقط دختر داشته باشی،,بهت گفته شده بود که فقط فرزند مونث بدنیا بیاری,بهت گفتیم که فقط فرزند دختر داشته باشی،‏,بهت گفتن که فقط دختر به دنیا بیاری,بهت گفته بودیم که فقط دختر به دنیا بیاری,بهت گفته بودن فقط دختر بزایی,بهت گفتیم که فقط فرزند دختر داشته باشی،‏,به تو گفته بودیم که فقط دختر بزایی.,بهت گفته بودن فقط دختر بزایی
29:33,29:34,"But you, in your pride,",...اما تو، با غرورت,,‫اما تو مغرور بودی و فکر کردی که میتونی ‫« کویساتزهادراچ» رو بدنیا بیاری. ‫(ناجی موعود),‫اما تو مغرور بودی و فکر کردی که میتونی ‫« کویساتزهادراچ» رو بدنیا بیاری. ‫(ناجی موعود),"ولی تو با اون غرورت فکر کردی میتونی یه ""کویزَتز هَدِراخ"" بدنیا بیاری فردی با توان ذهنی‌ای که می‌تونه» «آینده رو دقیق پیش‌بینی کنه",،ولی توی مغرور,‫اما تو، با غرور احمقانت،,‫ولی تو با غرورت فکر کردی که ‫می‌تونی «کوییسات هادراخ» رو به دنیا بیاری,...ولی تو با اون غرورت,ولی تو و غرورت فکر کردین میتونی کویساتز هادراخ» رو بزایی»,ولی تو و غرورت فکر کردین میتونی کویساتز هادراخ» رو بزایی»,‫ولی تو با غرورت فکر کردی که ‫می‌تونی «کوییسات هادراخ» رو به دنیا بیاری,"ولی تو با اون غرورت فکر کردی میتونی یه ""کویزَتز هَدِراخ"" بدنیا بیاری فردی با توان ذهنی‌ای که می‌تونه» «آینده رو دقیق پیش‌بینی کنه",اما تو با غرورت فکر می‌کردی می‌تونی ‏«کوئیزاتز هادرا» رو به بار بیاری.‏,ولی مغرور بودی و فکرکردی میتونی کویزات هدرخ رو به دنیا بیاری,،ولی تو با اون غرورت فکر کردی,...ولی تو با اون غرورت,اما تو با غرورت فکر می‌کردی می‌تونی ‏«کوئیزاتز هادرا» رو به بار بیاری.‏,ولی توی ازخودراضی فکر کردی می‌تونی «کویساتز هدراخ» رو به دنیا بیاری.,...ولی تو با اون غرورت
29:35,29:37,thought you could produce the <i>Kwisatz Haderach</i>.,"فکر کردی که می‏تونی... .کویساتز هادِراخ"" بزایی""",,‫اما تو مغرور بودی و فکر کردی که میتونی ‫« کویساتزهادراچ» رو بدنیا بیاری. ‫(ناجی موعود),‫اما تو مغرور بودی و فکر کردی که میتونی ‫« کویساتزهادراچ» رو بدنیا بیاری. ‫(ناجی موعود),"ولی تو با اون غرورت فکر کردی میتونی یه ""کویزَتز هَدِراخ"" بدنیا بیاری فردی با توان ذهنی‌ای که می‌تونه» «آینده رو دقیق پیش‌بینی کنه",فکر کردی که میتونی چیزیو تولید کنی که کوتاه کننده راهه,‫فکر کردی می‌تونی کوئیساتز ‫هادراخ رو متولد کنی.,‫ولی تو با غرورت فکر کردی که ‫می‌تونی «کوییسات هادراخ» رو به دنیا بیاری,"فکر کردی می‌تونی کوییساتز هادِراک"" رو به دنیا بیاری""",ولی تو و غرورت فکر کردین میتونی کویساتز هادراخ» رو بزایی»,ولی تو و غرورت فکر کردین میتونی کویساتز هادراخ» رو بزایی»,‫ولی تو با غرورت فکر کردی که ‫می‌تونی «کوییسات هادراخ» رو به دنیا بیاری,"ولی تو با اون غرورت فکر کردی میتونی یه ""کویزَتز هَدِراخ"" بدنیا بیاری فردی با توان ذهنی‌ای که می‌تونه» «آینده رو دقیق پیش‌بینی کنه",اما تو با غرورت فکر می‌کردی می‌تونی ‏«کوئیزاتز هادرا» رو به بار بیاری.‏,ولی مغرور بودی و فکرکردی میتونی کویزات هدرخ رو به دنیا بیاری,"می‌تونی ""کویساتز هادِراک"" رو به دنیا بیاری","فکر کردی می‌تونی کوییساتز هادِراک"" رو به دنیا بیاری""",اما تو با غرورت فکر می‌کردی می‌تونی ‏«کوئیزاتز هادرا» رو به بار بیاری.‏,ولی توی ازخودراضی فکر کردی می‌تونی «کویساتز هدراخ» رو به دنیا بیاری.,"فکر کردی می‌تونی کوییساتز هادِراک"" رو به دنیا بیاری"""
29:37,29:38,Was I wrong?,.خوش شانسی که توی اون اتاق نمُرد,‫پُل,‫خوش شانسی که همونجا نمرد.,‫اشتباه میکردم؟,اشتباه میکردم؟,اشتباه میکردم؟,‫اشتباه کردم؟,‫اشتباه می‌کردم؟,اشتباه می‌کردم؟,شانس آوردی توی اون اتاق نمرد,اشتباه میکردم؟,‫اشتباه می‌کردم؟,اشتباه میکردم؟,اشتباه کردم؟,اشتباه میکردم؟,اشتباه می‌کردم؟,شانس آوردی توی اون اتاق نمرد,شانس آوردی که توی اون اتاق نمُرد.‏,شانس آوردی که توی همون اتاق نمرد.,اشتباه می‌کردم؟
29:39,29:40,You're lucky he didn't die in that room.,.خوش شانسی که توی اون اتاق نمُرد,‫این یعنی چی؟,‫خوش شانسی که همونجا نمرد.,‫خوش شانسی که همونجا نمرد.,شانس آوردی تو اون اتاق نمُرد,تو خیلی خوش شانسی که اون توی اتاق نمرد,‫شانس آوردی که تو اون اتاق نمرد.,‫شانس آوردی که توی اون اتاق نمرد,شانس آوردی توی اون اتاق نمرد,شانس آوردی توی اون اتاق نمرد,شانس آوردی توی اون اتاق نمرد,‫شانس آوردی که توی اون اتاق نمرد,شانس آوردی تو اون اتاق نمُرد,شانس آوردی که توی اون اتاق نمُرد.‏,باید خداروشکر کنی که .جونش رو از دست نداد,شانس آوردی تو اون اتاق نمرد,شانس آوردی توی اون اتاق نمرد,شانس آوردی که توی اون اتاق نمُرد.‏,شانس آوردی که توی همون اتاق نمرد.,شانس آوردی توی اون اتاق نمرد
29:41,29:43,"If he is The One, he has a long way to go.","،اگه اون ""ناجی"" باشه .راه دور و درازی در پیش داره",‫من همونم,‫اگه این پسر همون «ناجی موعود» باشه، ‫هنوز راه زیادی داره.,‫اگه این پسر همون «ناجی موعود» باشه، ‫هنوز راه زیادی داره.,اگه اون منتخب باشه راه طولانی‌ای در پیش داره,اگه اون شخص برگزیده است هنوز راه زیادی پیش روش هست,"‫اگه اون ""منجی"" باشه، راه درازی در پیش داره.",‫اگه شخص موعود باشه، ‫راه درازی در پیش داره,،اگه پسر موعود باشه راه درازی در پیش داره,اگه اون «برگزیده» باشه راه زیادی در پیش داره,اگه اون «برگزیده» باشه راه زیادی در پیش داره,‫اگه شخص موعود باشه، ‫راه درازی در پیش داره,اگه اون منتخب باشه راه طولانی‌ای در پیش داره,اگه این پسر «منجی» باشه راه سختی در پیش داره.‏,اگه اون خود برگزیده ست .راه زیادی واسه رفتن داره,"اگه اون همون آدم ""برگزیده"" باشه راه درازی در پیش داره",،اگه پسر موعود باشه راه درازی در پیش داره,اگه این پسر «منجی» باشه راه سختی در پیش داره.‏,هنوز چشم بصیرتش باز نشده داره می‌افته وسط آتیش!,،اگه پسر موعود باشه راه درازی در پیش داره
29:44,29:46,"His Sight is barely awakened, and now he goes into the fire.",بینشِ اون بسیار اندک بیدار شده .و اکنون وارد کارِ خیلی خطرناکی می‏شه,‫حرفامون رو شنیدی.,‫هنوز قدرت شهود‌ش کاملا آشکار نشده، ‫و داره میره تو آتیش.,‫هنوز قدرت شهود‌ش کاملا آشکار نشده، ‫و داره میره تو آتیش.,دیدش رو کاملا بدست نیاورده و حالا میخواد پا تو آتیش بزاره,،بینشش به زور بیدار شده .و حالا باید بره تودل آتیش,"‫""بصیرت"" اون هنوز بیدار ‫نشده، باید پا به آتش بذاره.",‫بینشش به زحمت بیدار شده ‫و الان داره به سمت آتش میره,هنوز بینشش بیدار نشده و حالا داره به جای خطرناک‌تری می‌ره,دیدش به سختی باز شده و حالا داره وارد آتش میشه,دیدش به سختی باز شده و حالا داره وارد آتش میشه,‫بینشش به زحمت بیدار شده ‫و الان داره به سمت آتش میره,دیدش رو کاملا بدست نیاورده و حالا میخواد پا تو آتیش بزاره,چشم درونش به سختی بیدار شده و حالا یه راست داره میره داخل آتیش.‏,دیدش تازه بازش شده و داره وارد دنیای واقعی میشه,بینشش هنوز بیدار نشده و حالا داره وارد آتش میشه,هنوز بینشش بیدار نشده و حالا داره به جای خطرناک‌تری می‌ره,چشم درونش به سختی بیدار شده و حالا یه راست داره میره داخل آتیش.‏,هنوز چشم بصیرتش باز نشده داره می‌افته وسط آتیش!,هنوز بینشش بیدار نشده و حالا داره به جای خطرناک‌تری می‌ره
29:48,29:50,But our plans are measured in centuries.,.اما سده‏هاست که برنامه‏های ما سنجیده‏اند,‫انجمن «بنی جزریت» شریک قدرتمندی برای ‫خاندان‌های بزرگه.,‫اما برنامه ما قرن‌ها زمان می‌بره.,‫اما برنامه ما قرن‌ها زمان می‌بره.,اما نقشه های ما با مقیاس قرون اندازه گیری میشن,ولی نقشه ها و برنامه های ما .سال ها پشتشون فکر شده,‫اما ما برای قرن‌ها نقشه میکشیم.,‫ولی برنامه‌های ما ‫قرن‌هاست محک زده شده,ولی وسعت نقشه‌های ما صدها ساله,ولی نقشه‌های ما قرن‌هاست مشخصه,ولی نقشه‌های ما قرن‌هاست مشخصه,‫ولی برنامه‌های ما ‫قرن‌هاست محک زده شده,اما نقشه های ما با مقیاس قرون اندازه گیری میشن,اما ما قرن‌ها برای برنامه‌ریزی وقت گذاشتیم.‏,ولی نقشه های ما .در ابعاد قرن ها هستن,اما نقشه‌های ما قرن‌هاست که مشخص شده,ولی وسعت نقشه‌های ما صدها ساله,اما ما قرن‌ها برای برنامه‌ریزی وقت گذاشتیم.‏,البته نقشه‌های ما برای چندین و چند قرن طرح ریزی شده‌ان.,ولی وسعت نقشه‌های ما صدها ساله
29:50,29:52,We have other prospects,،اگه نتونه به قولش وفا کنه,‫انجمن «بنی جزریت» شریک قدرتمندی برای ‫خاندان‌های بزرگه.,‫ما انتظارات دیگه‌ای داریم.,‫ما انتظارات دیگه‌ای داریم.,ما کاندید های دیگه‌ای هم داریم,ما چشم انداز های دیگه ای داریم,‫اگر نتونه وعده رو محقق کنه,...اگه نتونه انتظارات رو برآورده بکنه,...اگه در حد انتظار نباشه,اگه در انجام عهدش شکست بخوره,اگه در انجام عهدش شکست بخوره,...اگه نتونه انتظارات رو برآورده بکنه,ما کاندید های دیگه‌ای هم داریم,اگه در هدفش شکست بخوره...‏,.ما بینش دیگه ای داریم,اگه در انجام عهدش شکست بخوره,...اگه در حد انتظار نباشه,اگه در هدفش شکست بخوره...‏,حتی اگر اون هم موفق نشه ما نامزدهای دیگه‌ای هم داریم.,...اگه در حد انتظار نباشه
29:52,29:54,if he fails his promise.,.نامزدهای دیگه‏ای داریم,‫اما اونها قدرتمندتر هستند,‫اگه شکست بخوره,‫اگه شکست بخوره,اگه اون نتونه به عهدش وفا کنه,.اگه اون نتونه به قول هاش عمل کنه,‫برنامه‌های دیگه‌ای داریم.,نامزدهای دیگه‌ای هم داریم,.نامزدهای دیگه‌ای هم داریم,اهداف دیگه‌ای داریم,اهداف دیگه‌ای داریم,نامزدهای دیگه‌ای هم داریم,اگه اون نتونه به عهدش وفا کنه,چشم‌اندازهای دیگه‌ای هم در نظر داریم.‏,اگه شکست بخوره چی؟,افراد دیگه‌ای هم داریم,.نامزدهای دیگه‌ای هم داریم,چشم‌اندازهای دیگه‌ای هم در نظر داریم.‏,حتی اگر اون هم موفق نشه ما نامزدهای دیگه‌ای هم داریم.,.نامزدهای دیگه‌ای هم داریم
29:57,29:59,Do you see so little hope?,یعنی این‏قدر امید کمی می‏بینی؟,‫تو داری سیاست‌های امپراتوری رو در خَفا پیش میبربی.,‫اصلا امیدوار نیستی؟,‫اصلا امیدوار نیستی؟,هیچ امیدی بهش نداری؟,تو امید کمی میبینی؟,‫انقدر ناامیدین؟,‫یعنی انقدر امیدتون کمه؟,این‌قدر امیدت کمه؟,اینقدر امیدت کمه؟,اینقدر امیدت کمه؟,‫یعنی انقدر امیدتون کمه؟,هیچ امیدی بهش نداری؟,بنظرت درصد موفقیتش انقدر کمه؟,واقعا امیدی نداری؟,اینقدر امیدت کمه؟,این‌قدر امیدت کمه؟,بنظرت درصد موفقیتش انقدر کمه؟,یعنی اینقدر ناامیدید؟,این‌قدر امیدت کمه؟
30:00,30:02,"On Arrakis, we have done all we can for you.",در آراکیس، هر کاری که در توان‏مون بود .برات کردیم,‫- میدونم. ‫ تو هیچی نمیدونی.,‫هر کاری که میتونستیم در«آراکیس» براتون انجام دادیم,‫هر کاری که میتونستیم در«آراکیس» براتون انجام دادیم,توی آراکیس، تمام کار هایی که میتونستیم رو براتون کردیم,تو آراکیس،ما هر کاری که میتونستیم برات کردیم,‫در آراکیس، هر کاری میشد,‫توی آراکیس، ‫هر کاری تونستیم برات کردیم,توی اراکیس، هر کاری که می‌تونستیم براتون کردیم,توی آراکیس هرکاری که میتونستیم واست انجام دادیم,توی آراکیس هرکاری که میتونستیم واست انجام دادیم,‫توی آراکیس، ‫هر کاری تونستیم برات کردیم,توی آراکیس، تمام کار هایی که میتونستیم رو براتون کردیم,هرکاری که از دست‌مون برمی‌اومد در آراکیس برای شما انجام دادیم.‏,تو اراکیس هرکاری که تونستیم برات کردیم,توی آراکیس، هرکاری که,توی اراکیس، هر کاری که می‌تونستیم براتون کردیم,هرکاری که از دست‌مون برمی‌اومد در آراکیس برای شما انجام دادیم.‏,ما در آراکیس هر کاری که از دستمون برمی‌اومد براتون کرده‌ایم.,توی اراکیس، هر کاری که می‌تونستیم براتون کردیم
30:03,30:04,A path has been laid.,.مسیر انتخاب شده,‫هزاران ساله که،,‫راه هموار شده.,‫راه هموار شده.,.مسیر مشخصه بیا امیدوار باشیم که خراب نکنه,مسیری مشخص شده,‫راه هموار شده.,‫راه هموار شده. ‫امیدوار باشیم که هدرش نده,مسیری مشخص شده,مسیر مشخص شده بهتره امیدوار باشیم از خرابش نکنه,مسیر مشخص شده بهتره امیدوار باشیم از خرابش نکنه,‫راه هموار شده. ‫امیدوار باشیم که هدرش نده,.مسیر مشخصه بیا امیدوار باشیم که خراب نکنه,مسیر هموار شده.‏ بیا امیدوار باشیم لغزشی نداشته باشه.‏,.مسیرش مشخصه .بهتره امیدوارم باشیم خرابش نکنه,مسیر مشخص شده,مسیری مشخص شده,مسیر هموار شده.‏ بیا امیدوار باشیم لغزشی نداشته باشه.‏,ما جاده رو پیش پاتون کشیده‌ایم. حالا فقط باید امیدوار باشیم که ازش درست استفاده کنه.,مسیری مشخص شده
30:05,30:07,Let's hope he doesn't squander it.,.بیا امیدوار باشیم این بخت رو هدر نده,‫ما بدقت خطوط خونی رو ترکیب کردیم ‫(منظورش ترکیب نژادهای گوناگونه),‫بیا امیدوار باشیم که هدرش نده.,‫بیا امیدوار باشیم که هدرش نده.,.مسیر مشخصه بیا امیدوار باشیم که خراب نکنه,بیا امیدوار باشیم که به بادش نده,‫امیدواریم بهش خط بطلان نکشه.,‫راه هموار شده. ‫امیدوار باشیم که هدرش نده,دعا کن هدرش نده,مسیر مشخص شده بهتره امیدوار باشیم از خرابش نکنه,مسیر مشخص شده بهتره امیدوار باشیم از خرابش نکنه,‫راه هموار شده. ‫امیدوار باشیم که هدرش نده,.مسیر مشخصه بیا امیدوار باشیم که خراب نکنه,مسیر هموار شده.‏ بیا امیدوار باشیم لغزشی نداشته باشه.‏,.مسیرش مشخصه .بهتره امیدوارم باشیم خرابش نکنه,امیدوار باش خرابش نکنه,دعا کن که هدرش نده,مسیر هموار شده.‏ بیا امیدوار باشیم لغزشی نداشته باشه.‏,ما جاده رو پیش پاتون کشیده‌ایم. حالا فقط باید امیدوار باشیم که ازش درست استفاده کنه.,دعا کن هدرش نده
30:54,30:55,Paul.,.پائول,,‫پُل,‫پُل,پاول,...پاول,‫پائول.,‫پاول...,...پل,... پاول,... پاول,‫پاول...,پاول,پاول,...پاول,...پاول,...پل,پاول,پل...,...پل
30:57,30:58,What does it mean?,یعنی چی؟,,‫این یعنی چی؟,‫این یعنی چی؟,منظورش از این که,این یعنی چه؟,‫این یعنی چی؟,‫معنیش چی بود؟,این یعنی چی؟,منظورش چیه؟,منظورش چیه؟,‫معنیش چی بود؟,منظورش از این که,منظورش چی بود؟,یعنی چی؟,...منظورش از,این یعنی چی؟,منظورش چی بود؟,این یعنی چی...؟,این یعنی چی؟
31:00,31:01,That I could be The One?,"یعنی می‏تونم ""ناجی"" باشم؟",,‫من همونم,‫من همونم,میتونم منتخب باشم چیه؟ - شنیدی؟ -,که من میتونم برگزیده باشم؟,"‫که ممکنه ""منجی"" باشم؟",‫- که ممکنه اون شخص موعود باشم؟ ‫- شنیدی؟,اینکه می‌تونم پسر موعود باشم؟,که من میتونم برگزیده باشم - شنیدی؟ -,که من میتونم برگزیده باشم - شنیدی؟ -,‫- که ممکنه اون شخص موعود باشم؟ ‫- شنیدی؟,میتونم منتخب باشم چیه؟ - شنیدی؟ -,‏- اینکه ممکنه من منجی باشم؟ ‏- شنیدی؟,ممکنه من برگزیده باشم؟- شنیدی-,اینکه می‌تونم فرد برگزیده باشم، چیه؟,اینکه می‌تونم پسر موعود باشم؟,‏- اینکه ممکنه من منجی باشم؟ ‏- شنیدی؟,- ...این که شاید من همون کمال مطلوبتون باشم؟ - شنیدی؟,اینکه می‌تونم پسر موعود باشم؟
31:01,31:02,You heard.,.شنیدی که,,‫حرفامون رو شنیدی.,‫حرفامون رو شنیدی.,میتونم منتخب باشم چیه؟ - شنیدی؟ -,.شنیدی,‫پس شنیدی.,‫- که ممکنه اون شخص موعود باشم؟ ‫- شنیدی؟,پس شنیدی,که من میتونم برگزیده باشم - شنیدی؟ -,که من میتونم برگزیده باشم - شنیدی؟ -,‫- که ممکنه اون شخص موعود باشم؟ ‫- شنیدی؟,میتونم منتخب باشم چیه؟ - شنیدی؟ -,‏- اینکه ممکنه من منجی باشم؟ ‏- شنیدی؟,ممکنه من برگزیده باشم؟- شنیدی-,پس شنیدی,پس شنیدی,‏- اینکه ممکنه من منجی باشم؟ ‏- شنیدی؟,- ...این که شاید من همون کمال مطلوبتون باشم؟ - شنیدی؟,پس شنیدی
31:06,31:07,The Bene Gesserit serve,به عنوان همکارهای نیرومندِ... ،خاندان‏های بزرگ خدمت می‏کنند,,‫انجمن «بنی جزریت» شریک قدرتمندی برای ‫خاندان‌های بزرگه.,‫انجمن «بنی جزریت» شریک قدرتمندی برای ‫خاندان‌های بزرگه.,بنه‌جزریت ها شرکای قدرتمند خاندان های عالی رتبه‌‍ن,بنه جسرت مثل شرکای قوی,‫بنی جزریت، شریک قدرتمندی,‫بنی جزریت به عنوان شرکای قدرتمندی ‫در خاندان‌های بزرگ خدمت می‌کنن،,...خواهران بنی‌جزریت,بنی جزیره به عنوان یک شریک قوی به خداندان‌های بزرگ خدمت میکنه,بنی جزیره به عنوان یک شریک قوی به خداندان‌های بزرگ خدمت میکنه,‫بنی جزریت به عنوان شرکای قدرتمندی ‫در خاندان‌های بزرگ خدمت می‌کنن،,بنه‌جزریت ها شرکای قدرتمند خاندان های عالی رتبه‌‍ن,بنه جسیریت به عنوان یک شریک قدرتمند در خاندان‌های بزرگ خدمت می‌کنه,بنه جزرت ها متحدین قوی ای برای .خاندان های بزرگن,خواهران بنی جزریت,متحدهای قدرتمند خاندان‌های بزرگ هستن,بنه جسیریت به عنوان یک شریک قدرتمند در ولایت‌های بزرگ خدمت می‌کنه,تشکیلات بنه‌جسریت در قالب شرکای قدرتمند با خاندان‌های کبیر ارتباط دارن...,...خواهران بنی‌جزریت
31:07,31:09,"as powerful partners to the Great Houses,",به عنوان همکارهای نیرومندِ... ،خاندان‏های بزرگ خدمت می‏کنند,,‫انجمن «بنی جزریت» شریک قدرتمندی برای ‫خاندان‌های بزرگه.,‫انجمن «بنی جزریت» شریک قدرتمندی برای ‫خاندان‌های بزرگه.,بنه‌جزریت ها شرکای قدرتمند خاندان های عالی رتبه‌‍ن,به خاندان های قدرتمند خدمت میکنه,‫برای خاندان‌های بزرگه.,‫بنی جزریت به عنوان شرکای قدرتمندی ‫در خاندان‌های بزرگ خدمت می‌کنن،,متحدهای قدرتمند خاندان‌های بزرگ هستن,بنی جزیره به عنوان یک شریک قوی به خداندان‌های بزرگ خدمت میکنه,بنی جزیره به عنوان یک شریک قوی به خداندان‌های بزرگ خدمت میکنه,‫بنی جزریت به عنوان شرکای قدرتمندی ‫در خاندان‌های بزرگ خدمت می‌کنن،,بنه‌جزریت ها شرکای قدرتمند خاندان های عالی رتبه‌‍ن,بنه جسیریت به عنوان یک شریک قدرتمند در خاندان‌های بزرگ خدمت می‌کنه,بنه جزرت ها متحدین قوی ای برای .خاندان های بزرگن,به عنوان متحد قدرتمند به خاندان‌های بزرگ خدمت می‌کنن,متحدهای قدرتمند خاندان‌های بزرگ هستن,بنه جسیریت به عنوان یک شریک قدرتمند در ولایت‌های بزرگ خدمت می‌کنه,تشکیلات بنه‌جسریت در قالب شرکای قدرتمند با خاندان‌های کبیر ارتباط دارن...,متحدهای قدرتمند خاندان‌های بزرگ هستن
31:11,31:12,but there's more to it.,.اما فقط این نیست,,‫اما اونها قدرتمندتر هستند,‫اما اونها قدرتمندتر هستند,ولی این همه‌ی ماجرا نیست,ولی این همش نیست,‫اما فقط همین نیست.,‫ولی چیزای بیشتری وجود داره,ولی این همه‌ی ماجرا نیست,ولی ماهیتش بیشتر از این‌هاست,ولی ماهیتش بیشتر از این‌هاست,‫ولی چیزای بیشتری وجود داره,ولی این همه‌ی ماجرا نیست,اما موضوع تنها این نیست,.ولی همش این نیست,اما این همه‌ی ماجرا نیست,ولی این همه‌ی ماجرا نیست,اما موضوع تنها این نیست,شما در خفا به سیاست‌های قلمرو امپراتوری جهت می‌دید...,ولی این همه‌ی ماجرا نیست
31:12,31:14,You steer the politics of the Imperium,.مخفیانه سیاست‏های شاهنشاهی رو می‏گردونید,,‫تو داری سیاست‌های امپراتوری رو در خَفا پیش میبربی.,‫تو داری سیاست‌های امپراتوری رو در خَفا پیش میبربی.,شما در خفا سیاست های امپراتوری رو اداره میکنید,ولی تو روی سیاست پشت پرده امپراطوری,‫شما از سایه‌ها، سیاست امپراتوری رو,،‫شما در سایه ‫سیاست امپراتوری رو می‌چرخونین,شماها پشت پرده روی سیاست‌های امپراتوری تأثیر می‌ذارین,شما سیاست‌‌های امپراطوری رو از سایه‌ها دور میکنید,شما سیاست‌‌های امپراطوری رو از سایه‌ها دور میکنید,،‫شما در سایه ‫سیاست امپراتوری رو می‌چرخونین,شما در خفا سیاست های امپراتوری رو اداره میکنید,در سایه سیاست‌های امپراتور رو بهم می‌زنید,از پشت پرده سیاست های امپراطوری رو کنترل میکنین,شما در خفا روی سیاست‌های امپراتور,شماها در پشت پرده روی سیاست‌های امپراتوری تأثیر می‌ذارین,در سایه سیاست‌های امپراتور رو بهم می‌زنید,شما در خفا به سیاست‌های قلمرو امپراتوری جهت می‌دید...,شماها پشت پرده روی سیاست‌های امپراتوری تأثیر می‌ذارین
31:15,31:16,from the shadows.,.مخفیانه سیاست‏های شاهنشاهی رو می‏گردونید,,‫تو داری سیاست‌های امپراتوری رو در خَفا پیش میبربی.,‫تو داری سیاست‌های امپراتوری رو در خَفا پیش میبربی.,شما در خفا سیاست های امپراتوری رو اداره میکنید,.تاثیر داری,‫جهت میدین.,،‫شما در سایه ‫سیاست امپراتوری رو می‌چرخونین,شماها پشت پرده روی سیاست‌های امپراتوری تأثیر می‌ذارین,شما سیاست‌‌های امپراطوری رو از سایه‌ها دور میکنید,شما سیاست‌‌های امپراطوری رو از سایه‌ها دور میکنید,،‫شما در سایه ‫سیاست امپراتوری رو می‌چرخونین,شما در خفا سیاست های امپراتوری رو اداره میکنید,در سایه سیاست‌های امپراتور رو بهم می‌زنید,از پشت پرده سیاست های امپراطوری رو کنترل میکنین,تاثیر می‌ذارین,شماها در پشت پرده روی سیاست‌های امپراتوری تأثیر می‌ذارین,در سایه سیاست‌های امپراتور رو بهم می‌زنید,شما در خفا به سیاست‌های قلمرو امپراتوری جهت می‌دید...,شماها پشت پرده روی سیاست‌های امپراتوری تأثیر می‌ذارین
31:17,31:18,I know.,.همه چیز رو نمی‏دونی,,‫- میدونم. ‫ تو هیچی نمیدونی.,‫- میدونم. ‫ تو هیچی نمیدونی.,میدونم - همه چیز رو نمیدونی -,.میدونم,‫میدونم.,‫- می‌دونم ‫- همه چی رو نمی‌دونی,می‌دونم,میدونم - تو همه چیز رو نمیدونی -,شما سیاست‌‌های امپراطوری رو از سایه‌ها دور میکنید,‫- می‌دونم ‫- همه چی رو نمی‌دونی,میدونم - همه چیز رو نمیدونی -,‏- خودم می‌دونم.‏ ‏- تو از همه‌چیز خبر نداری.‏,.میدونم- .همه چیز رو نمیدونی-,می‌دونم,همه‌چی رو نمی‌دونی,‏- خودم می‌دونم.‏ ‏- تو از همه‌چیز خبر نداری.‏,- ...خودم می‌دونم. - ولی همه چیزو نمی‌دونی.,می‌دونم
