Start Time,End Time,English,The.Wild.Robot.-open subtile.srt,The.Wild.Robot.2024.1080p.10bit.BluRay.6CH.x265.HEVC-PSA [Fa].srt,The.Wild.Robot.2024.480p.BluRay.x264-RMTeam.Fa.srt,The.Wild.Robot.2024.WEB.DigiMoviez.FA.srt,The.Wild.Robot.2024.WEB.Fa.srt,The_Wild_Robot_2024.srt
04:14,04:16,"If you're unsure about how I can assist,",اگر مطمئن نیستین که ،چگونه از من مساعدتی برمی‌آید,‫اگر اطمینان ندارین ‫چطور می‌تونم بهتون کمک کنم,اگر نمی‌دونید چه کمکی از دستم برمیاد,‫اگر درمورد چگونگی کمک رساندن من ‫ مطمئن نیستید,اگر نمی‌دونید چه کمکی از دستم برمیاد,اگه نمی‌دونید چطور می‌تونم کمک‌تون کنم
04:16,04:19,try asking me about myself.,سعی کنین از من در مورد خودم بپرسین,‫در مورد خودم ازم سوال کنین,سعی کنید درباره خودم ازم سوال بپرسید,‫سوالـی درمورد خودم بپرسید,سعی کنید درباره خودم ازم سوال بپرسید,درمورد خودم ازم سوال بپرسید
04:26,04:28,Excuse me.,ببخشین,‫ببخشید,ببخشید,‫عذر می‌خوام,ببخشید,ببخشید
04:28,04:31,Did you know I can assist with grocery shopping?,می‌دونستین که من می‌تونم در خوار و بار خریدن مساعدت کنم؟,‫می‌دونستین می‌تونم ‫در خرید بهتون کمک کنم؟,می‌دونستی واسه خریدِ خواربار می‌تونم کمک کنم؟,‫آیا می‌دونستید من می‌تونم در زمینه‌ی ‫خرید مواد غذایی بهتون کمک کنم؟,می‌دونستی واسه خریدِ خواربار می‌تونم کمک کنم؟,می‌دونستی می‌تونم برای خرید خواروبار کمک کنم؟
04:31,04:33,Banking?,در بانکداری؟,‫در کارهای بانکی؟,همین‌طور توی کارهای بانکی,‫امور بانکی؟,همین‌طور توی کارهای بانکی,همچنین توی بانک‌داری
04:34,04:36,Landscaping?,باغبانی؟,‫در باغبانی؟,و باغبونی,باغبونی؟,و باغبونی,باغبونی؟
04:41,04:45,Hello. Did you perhaps order a Rozzum helper robot?,سلام. شما احتمالاً ربات رازوم سفارش ندادین؟,‫سلام. آیا شما ربات دستیار رازم سفارش دادین؟,سلام. شما ربات دستیار رازوم سفارش داده بودید؟,‫سلام. احیاناً یه ربات خدمتکار رُزوم ‫سفارش ندادید؟,سلام. شما ربات دستیار رازوم سفارش داده بودید؟,سلام. احیانا یه ربات دستیار رازم سفارش نداده بودید؟
04:45,04:47,Is that a no?,این همان نخیر هست؟,‫این یعنی نه؟,این یعنی نه؟,‫این به معنی نه است؟,این یعنی نه؟,"این الان ""نه"" بود؟"
04:47,04:49,Here's a free sticker.,این هم یه برچسب تبلیغاتی رایگان خدمتتون,‫یک استیکر مجانی خدمت شما,بفرما برچسب مفتی,‫اینـم از یه استیکر مجانی,بفرما برچسب مفتی,این یه برچسب مجانی خدمت شما
04:49,04:52,Scan the code and receive ten percent off of your...,کدَش را اسکن کنید ...و به دریافت ده درصدی از,‫با اسکن کردن کد ده درصد تخفیف برای...,بارکد رو اسکن کن ...تا ده درصد تخفیف,‫کد رو اسکن کنید و یک کد تخفیف ‫ده درصدی دریافت...,بارکد رو اسکن کن ...تا ده درصد تخفیف,... بارکد رو اسکن کن و ده درصد تخفیف
05:06,05:08,Do you need assistance?,شما مساعدتی نیاز دارین؟,‫نیاز به کمک دارین؟,کمک لازم داری؟,‫آیا کمک لازم دارید؟,کمک لازم داری؟,نیاز به کمک داری؟
05:08,05:11,I see your problem.,می‌بینم که مشکل دارین,‫متوجه مشکل‌تون شدم,متوجه مشکلت هستم,‫من مشکلات شما رو می‌بینم,متوجه مشکلت هستم,متوجه مشکلت هستم
05:25,05:29,"Rozzums are programmed for instant physical mimicry,",رازوم‌ها برای تقلید کردن فیزیکی فوری ،برنامه‌ریزی شدن,‫رازم‌ها برای تقلید فیزیکی ‫فوری برنامه‌ریزی شدن,رازوم‌ها دارای قابلیت تقلید فوریِ قابلیت‌های جسمانی هستن,‫رُزوم‌ها برای تقلید فوری حرکات فیزیکی برنامه‌نویسی شدند،,رازوم‌ها دارای قابلیت تقلید فوریِ قابلیت‌های جسمانی هستن,رازم‌ها برای تقلید فوری فیزیکی طراحی شده‌ان
05:29,05:30,so as to...,...به طوری که,‫که بتونن...,...تا جایی که,‫تا از این طریق...,...تا جایی که,... همین‌طور
05:56,05:59,Aggression detected.,پرخاشگری تشخیص داده شد,‫خشونت شناسایی شد,پرخاشگری رویت شد,‫پرخاشگری تشخیص داده شد,پرخاشگری رویت شد,پرخاشگری شناسایی شد
05:59,06:01,My communication package includes,بسته معاشرتی من، راهبردهایی را,‫بسته‌ی ارتباطی من شامل راهکارهایی,پکیج ارتباطی من، حاوی استراتژی‌های مختلف,‫پکیج مکالمه‌ی من شامل,پکیج ارتباطی من، حاوی استراتژی‌های مختلف,... بسته ارتباطیم شامل
06:01,06:04,strategies for conflict resolution.,برای حل اختلافات و کدورت شامل می‌شود,‫برای حل اختلاف می‌باشد,جهت حل اختلافه,‫استراتژی‌هایی برای حل اختلافات می‌باشد,جهت حل اختلافه,استراتژی برای حل اختلافات‌ـه
06:07,06:10,Your dialect is not in my data banks.,گویش شما در بانک داده‌های من نیست,‫زبان شما در بانک داده‌‌ی من موجود نیست,گویش تو در بانک اطلاعاتیم نیست,‫گویش شما در بانک‌ داده‌های من وجود نداره,گویش تو در بانک اطلاعاتیم نیست,زبان تو توی بانک اطلاعاتم نیست
06:10,06:13,Tell your people not to worry.,به مردمت بگو نگران نباشن,‫به مردم‌تون بگین نگران نباشن,به هم‌نوعانت بگو نگران نباشن,‫اما به مردم‌تون بگید که نگران نباشن,به هم‌نوعانت بگو نگران نباشن,به هم‌نوع‌هات بگو نگران نباشن
06:13,06:18,Rozzum 7134 will sort out this language barrier in no time.,رازوم ۷۱۳۴ این مانع زبانی را در دَم حل و فصل میکند,‫رازم 7134 در اسرع وقت ‫این مانع زبانی رو حل می‌کنه,رازوم 7134 خیلی سریع این مانع زبانی رو حل می‌کنه,‫رُزوم 7134 در زمان کوتاهی ‫این مانع زبانی رو از بین می‌بره,رازوم 7134 خیلی سریع این مانع زبانی رو حل می‌کنه,رازم 7134 خیلی سریع این مشکل زبانی رو حل خواهد کرد
06:22,06:25,Activating learning mode.,در حال فعال‌سازی حالت یادگیری,‫درحال فعال کردن حالت یادگیری,فعال‌سازی حالت یادگیری,فعال‌سازی حالت یادگیری,فعال‌سازی حالت یادگیری,فعال‌سازی حالت یادگیری
06:45,06:47,"- I say... - Hey, check it out.",...بابا واویلا - هی، اینجا رو باش -,‫« ترجمه تکمیل شد »,...به‌نظرم - هی، اینجا رو -,‫- من میگم... ‫- هی، ببینیدش,...به‌نظرم - هی، اینجا رو -,... به‌نظرم - هی، اینجا رو ببین -
06:47,06:49,"Look, look, look. Somebody died over here.",نگاه، نگاه، نگاه یکی اینجا دخلش اومده,‫ببین، ببین، ببین ‫یکی اینجا مرده,ببینید، یکی اینجا مُرده,‫ببین، ببین، ببین. ‫یکی اینجا مُرده,ببینید، یکی اینجا مُرده,نگاه کن، ببین، ببین یه نفر اینجا مُرده
06:49,06:51,Let me see. Let me see. Oh!,بذار ببینم. بذار ببینم,‫بذار ببینم. بذار ببینم. عه!,بذار ببینم، بذار ببینم,‫بذار ببینم. بذار ببینم. اوه!,بذار ببینم، بذار ببینم,!بذارید ببینم، بذارید ببینم، اوه
06:51,06:52,- Who was it? - Anybody we know?,کی بوده حالا؟ - از آشناهامونه؟ -,‫- کی بوده؟ ‫- می‌شناختیمش؟,کی بوده؟ - ما می‌شناسیمش؟ -,‫- کی بوده؟ ‫- یعنی می‌شناسیمـش؟,کی بوده؟ - ما می‌شناسیمش؟ -,کی بوده؟ - می‌شناسیمش؟ -
06:52,06:54,Fresh or not fresh?,مُرده‌ی تازه‌‌ست یا نه تازه‌ست‌؟,‫تازه‌ست یا تازه نیست؟,تازه‌ست یا نه؟,‫تازه‌ست یا نه؟,تازه‌ست یا نه؟,تازه‌ست یا نه؟
06:54,06:55,Smells pretty good.,بوش چقده خوبه,‫بوی خیلی خوبی میده,بوی خیلی خوبی می‌ده,‫بوی خیلی خوبی میده,بوی خیلی خوبی می‌ده,بوی خیلی خوبی می‌ده
06:55,06:57,Tastes terrible!,مزه‌ش که وحشتناکه,‫مزه‌ش افتضاحه,مزه وحشتناکی می‌ده,‫مزه‌اش که افتضاحـه!,مزه وحشتناکی می‌ده,!طعمش افتضاح‌ـه
06:57,06:58,"- Oh, it's waking up. - Hey, it's waking up.",داره بیدار میشه - هی، داره بیدار میشه -,‫- اوه، داره بیدار میشه ‫- عه، داره بیدار میشه,اوه، داره بیدار می‌شه - هی، داره بیدار می‌شه -,‫- اوه، داره بیدار میشه ‫- هی، داره بیدار میشه,اوه، داره بیدار می‌شه - هی، داره بیدار می‌شه -,اوه، داره بیدار می‌شه - هی، داره بیدار می‌شه -
07:00,07:03,- It's a monster! - Run for your lives!,طرف یه هیولائه - جونتون رو دوست دارین دررین -,‫- یه هیولاست! ‫- جونتونو نجات بدین!,یه هیولاست - فرار کنید -,‫- هیولاست! ‫- جون‌تون رو نجات بدید!,یه هیولاست - فرار کنید -,!یه هیولاست - !جون‌تون رو بردارید و فرار کنید -
07:03,07:06,"Look, that's the thing that destroyed my dam.",نگاه، این همون چیزه‌ست که سدم رو خراب کرد رفت,‫ببینین، این همون چیزیه ‫که سد منو خراب کرد,ببینید، این همون موجودیه که سدم رو نابود کرد,‫ببینید، این همون چیزی هست ‫که سد من رو خراب کرد,ببینید، این همون موجودیه که سدم رو نابود کرد,ببین، همونیه که سدم رو نابود کرد
07:06,07:08,- The monster. - Yikes!,همون هیولائه - ووی ووی -,‫- هیولا ‫- اَه!,هیولا,‫- هیولا ‫- یا خدا!,هیولا,هیولا - !چندش -
07:08,07:09,I think it's gonna talk.,فکر کنم می‌خواد حرف بزنه,‫فکر کنم می‌خواد صحبت کنه,فکرکنم می‌خواد صحبت کنه,‫فکر کنم می‌خواد حرف بزنـه,فکرکنم می‌خواد صحبت کنه,فکر کنم می‌خواد حرف بزنه
07:09,07:11,Thank you for your patience,از شکیبایی شما در حینی که من,‫ممنونم که صبور بودین,ممنون که صبر کردید,‫تشکر می‌کنم که در زمانی که درحال,ممنون که صبر کردید,... ممنون که تا زبان‌تون رو
07:11,07:14,while I deciphered your language.,زبان‌تون رو رمزگشایی می‌کردم، متشکرم,‫تا تونستم زبون‌تون رو درک کنم,تا من زبان‌تون رو کشف کنم,‫رمزگشایی زبان شما بودم، ‫صبور بودید,تا من زبان‌تون رو کشف کنم,رمزگشایی می‌کردم، منتظر موندید
07:14,07:18,"I am Rozzum 7134, ready to enhance your lives",،من رازوم ۷۱۳۴ هستم و آماده‌ام تا زندگی شما رو,‫من رازم 7134 هستم ‫و آماده‌م با انجام وظایف چندگانه‌ی جامع,من رازوم 7134 هستم و آماده‌م تا با انجام همزمانِ چندکار,‫من رُزوم 7134 هستم، ‫آماده‌ام که با استفاده از,من رازوم 7134 هستم و آماده‌م تا با انجام همزمانِ چندکار,من رازم 7134 هستم ... آماده بهبود زندگی‌تون
07:18,07:22,with integrated multiphase task accomplishment.,،با انجام وظایف چند مرحله‌ای‌ـه هماهنگ و منسجم بهبود ببخشم,‫زندگی‌تون رو بهبود ببخشم,زندگی‌تون رو بهتر کنم,‫انجام وظایف چندمرحله‌ای و یکپارچه، ‫کیفیت زندگی شما رو بهبود بخشم,زندگی‌تون رو بهتر کنم,با انجام دادن همزمان چندین کار، هستم
07:26,07:28,Are you here to kill us?,تو اینجایی که بزنی ما رو بکشی؟,‫اومدی ما رو بکشی؟,اومدی ما رو بکشی؟,‫اومدی ما رو بکشی؟,اومدی ما رو بکشی؟,اومدی ما رو بُکُشی؟
07:28,07:30,Negative. I am here to help with whatever task you...,جواب منفیه. من اینجام که ...کمک کنم در هر وظیفه‌ای که شما,‫خیر. اومدم در هر کاری ‫که نیاز دارین بهتون کمک...,خیر. اومدم کمک‌تون کنم ...تا هرکاری دارید,‫جواب منفیـه. اومدم که زندگی شما رو ‫با انجام هر ماموریتـی...,خیر. اومدم کمک‌تون کنم ...تا هرکاری دارید,خیر. اومدم بهتون توی ... کارهاتون کمک کنم
07:30,07:32,It says no!,میگه نه,‫میگه نه!,می‌گه نه,‫میگه نه!,می‌گه نه,!گفت نه
07:35,07:37,It's dead.,دخلش اومد,‫مُـرد,مُرده,‫مُرده,مُرده,مُرد
07:37,07:39,"Ah, thank goodness.",بخیر گذشتا,‫خداروشکر,آه، خدا رو شکر,‫آه، خداروشکر,آه، خدا رو شکر,اه، خدا رو شکر
07:47,07:49,- The monster! - The monster!,هیولا - هیولا -,‫- هیولا! ‫- هیولا!,هیولا - هیولا -,‫- هیولا! ‫- هیولا!,هیولا - هیولا -,!هیولا - !هیولا -
07:51,07:53,The monster!,هیولا,‫هیولا!,هیولا,‫هیولا!,هیولا,!هیولا
07:53,07:56,Did anyone order me?,کسی من رو سفارش نداده؟,‫هیچکس منو سفارش نداده؟,کسی من رو سفارش داد؟,‫آیا کسی من رو سفارش داده؟,کسی من رو سفارش داد؟,کسی من رو سفارش نداده بود؟
08:19,08:22,Anyone?,کسی نبود؟,‫هیچکس؟,کسی من رو سفارش داده؟,‫هیچکس؟,کسی من رو سفارش داده؟,کسی من رو نمی‌خواد؟
08:23,08:26,Delivery unsuccessful.,تحویل پیام ناموفق,‫تحویل موفقیت‌آمیز نبود,تحویل ناموفق,‫تحویل ناموفق,تحویل ناموفق,تحویل ناموفق بود
08:27,08:29,Return to factory.,بازگشت به کارخانه,‫به کارخونه برمی‌گردم,بازگشت به کارخانه,‫بازگشت به کارخانـه,بازگشت به کارخانه,بازگشت به کارخانه
08:29,08:32,Activating return transmitter.,فعال‌سازی فرستنده‌ی بازگشت,‫درحال فعال‌سازی فرستنده‌ی بازگشت,فعال‌سازی فرستنده برگشت,‫فعال‌سازی دستگاه بازگشت,فعال‌سازی فرستنده برگشت,فعال‌سازی فرستنده بازگشت
08:32,08:36,"Three, two, one.",سه، دو، یک,‫سه، دو، یک,سه، دو، یک,‫سه، دو، یک,سه، دو، یک,سه، دو، یک
09:20,09:21,Ow!,,‫آخ!,آخ,‫آخ!,آخ,!آخ
09:42,09:43,Activating return transmitter.,فعال‌سازی فرستنده‌ی بازگشت,‫درحال فعال‌سازی فرستنده‌ی بازگشت,فعال‌سازی فرستنده برگشت,‫فعال‌سازی دستگاه بازگشت,فعال‌سازی فرستنده برگشت,فعال‌سازی فرستنده بازگشت
09:43,09:45,Three.,سه,‫سه,سه,‫سه,سه,سه
09:46,09:48,- Pretty. - Get it!,چه خوشگله - بگیرین اونو -,‫- چه خوشگله ‫- بگیرینش!,چه خوشگله - بگیریدش -,‫- قشنگـه ‫- بگیرش,چه خوشگله - بگیریدش -,چه خوشگل - !بگیریدش -
09:48,09:50,Two.,دو,‫- بگیرینش! بگیرینش! بگیرینش! ‫- دو,دو,‫دو,دو,دو
09:53,09:54,One.,یک,‫یک,یک,‫یک,یک,یک
09:54,09:55,Ha!,یک,‫یک,ها,‫ها!,ها,
10:09,10:11,Wait. Stop! No!,صبر کن. وایسا! نه,‫صبر کن. وایسا! نه!,صبر کن. وایسا، نه,‫وایسا! صبر کن! ‫نه!,صبر کن. وایسا، نه,!صبر کن، وایسا! نه
10:11,10:14,"No, no, no, no, no, no, no, no, no, no, no, no...",نه، نه، نه، نه، نه، نه، نه ...نه، نه، نه، نه، نه,‫نه، نه، نه، نه، نه، نه، نه ‫نه، نه، نه، نه، نه، نه...,نه، نه، نه,‫نه، نه، نه، نه، نه,نه، نه، نه,نه، نه، نه، نه، نه نه، نه، نه، نه، نه
10:20,10:22,Again!,باز دوباره,‫دوباره!,دوباره,‫دوباره,دوباره,!دوباره
13:01,13:04,May I confirm that is yours?,می‌تونم تاییده بگیرم که اون مال شماست؟,‫میشه مطمئن بشم اون متعلق به شماست؟,می‌شه تایید کنیم که این مال توئه یا نه؟,‫میشه ثابت کنید که اون متعلق به شماست؟,می‌شه تایید کنیم که این مال توئه یا نه؟,جسارتا این مال شماست؟
13:17,13:19,Hmm?,,‫همم؟,هوم؟,‫همم؟,هوم؟,هوم؟
14:02,14:05,Here you go. Take it.,خدمت شما. برش‌دار,‫بیا. برش دار,بیا، بگیرش,‫بفرما. بگیرش,بیا، بگیرش,بیا برش دار
14:15,14:17,Ow.,,‫آخ,آخ,‫اوه,آخ,آخ
14:43,14:44,Huh.,,‫عه,هان,‫ها,هان,ها
14:47,14:49,Ow.,,‫آخ,آخ,‫اوه,آخ,آخ
15:57,16:01,Was this task accomplished to your satisfaction?,آیا این وظیفه همراه با رضایت‌مندی شما انجام شد؟,‫آیا انجام این وظیفه‌م براتون رضایت‌بخش بود؟,انجام این کار، مطابق میلت بود؟,‫آیا این ماموریت بر طبق رضایت شما ‫انجام شد؟,انجام این کار، مطابق میلت بود؟,از این کار راضی بودی؟
16:04,16:05,"On a scale of one to ten,",،از حد نصاب یک تا ده,‫از یک تا ده,از یک تا ده,‫از شماره ۱ تا ۱۰,از یک تا ده,... از یک تا ده
16:05,16:08,"where ten is most satisfied and one is least,",که ده بالاترین رضایت ،و یک کمترین رضایت هست,‫که ده بیشترین رضایت ‫و یک کمترین رضایته,میزان رضایتت از عملکردم چقدر بود؟,که ‫10 به معنی رضایت کامل ‫و ۱ به معنی کمترین رضایت است،,میزان رضایتت از عملکردم چقدر بود؟,که ده یعنی کاملا راضی ... و یک یعنی ناراضی
16:08,16:10,how would you rate my performance?,به عملکرد من چه امتیازی میدهین؟,‫چه امتیازی به عملکردم میدین؟,یک خیلی کمه و ده خیلی زیاد,‫به عملکردم چه نمره‌ای میدید؟,یک خیلی کمه و ده خیلی زیاد,به عملکرد من چه نمره‌ای می‌دی؟
16:12,16:13,I will register that as a ten.,من این رو به عنوان ده ثبت می‌کنم,‫این رو به عنوان 10 ثبت می‌کنم,به عنوان ده، ثبتش می‌کنم,‫این رو به عنوان نمره ۱۰ ثبت می‌کنم,به عنوان ده، ثبتش می‌کنم,"این رو ""ده"" در نظر می‌گیرم"
16:13,16:16,Returning to factory.,در حال بازگشت به کارخانه,‫به کارخونه برمی‌گردم,بازگشت به کارخانه,‫درحال بازگشت به کارخانـه,بازگشت به کارخانه,بازگشت به کارخونه
16:18,16:20,Signal strength weak.,قدرت سیگنال ضعیف است,‫قدرت سیگنال ضعیف است,سیگنال ضعیف می‌باشد,‫شدت سیگنال ضعیف است,سیگنال ضعیف می‌باشد,قدرت سیگنال، ضعیف
16:20,16:23,Seeking higher ground.,در جستجوی زمینی مرتفع‌تر,‫به دنبال مکانی بلندتر می‌گردم,در جستجوی مکان مرتفع‌تر,‫در جستجوی ارتفاعات بلندتر,در جستجوی مکان مرتفع‌تر,در جستجوی مکان مرتفع‌تر
16:38,16:41,Do you require shelter?,آیا پناهگاه لازم دارین؟,‫نیاز به سرپناه دارین؟,به سرپناه نیاز داری؟,‫آیا به پناهگاه نیاز دارید؟,به سرپناه نیاز داری؟,نیاز به سرپناه داری؟
16:52,16:55,Perhaps tips for planning your next vacation?,شاید نکاتی برای برنامه‌ریزیِ تعطیلات بعدی‌تون؟,‫برای برنامه‌ریزی تعطیلات بعدی خود ‫راهنمایی می‌خواین؟,یا نکنه واسه سفر بعدیت راهنمایی می‌خوای؟,‫شاید هم نیاز به پیشنهاد برای ‫برنامه ریزی تعطیلات بعدی دارید؟,یا نکنه واسه سفر بعدیت راهنمایی می‌خوای؟,راهنما برای تعطیلات بعدیت چی؟
17:04,17:09,I do not understand this response.,من... این واکنش رو متوجه نمیشم,‫این پاسخ رو درک نمی‌کنم,این واکنش رو درک نمی‌کنم,‫متوجه این واکنـش نمیشم,این واکنش رو درک نمی‌کنم,این پاسخ رو درک نمی‌کنم
17:10,17:12,Signal acquired.,سیگنال حاصل شد,‫سیگنال دریافت شد,سیگنال دریافت شد,‫سیگنال یافت شد,سیگنال دریافت شد,سیگنال دریافت شد
17:12,17:15,"Three, two, one.",سه، دو، یک,‫سه، دو، یک,سه، دو، یک,‫سه، دو، یک,سه، دو، یک,سه، دو، یک
17:23,17:26,"Mom, I don't feel good.",مامان، من حالم خوب نیست,‫مامان، حس خوبی ندارم,مامان، حالم خوب نیست,‫مامان، حس خوبی ندارم,مامان، حالم خوب نیست,مامان، حالم خوب نیست
17:26,17:29,"If I barf, I'm taking you all with me.",،اگه بیارم بالا همه‌تونم باهام رفتینا,‫اگر بالا بیارم ‫ سرتاپای همه‌تونو کثیف می‌کنم,اگر بالا بیارم، همه‌تون رو بدبخت می‌کنم,‫اگه بالا بیارم، کاری می‌کنم ‫همه‌تون باهام بالا بیارید,اگر بالا بیارم، همه‌تون رو بدبخت می‌کنم,اگه بالا بیارم، همه‌تون کثیف می‌شید
17:29,17:32,"Mom told you not to eat grasshoppers, dummy.",مامان که گفت اون ملخا رو نخور، نادون,‫مامان که بهت گفت ملخ نخور، خنگول,ابله، مامان بهت گفته بود که ملخ نخوری,‫مامان که بهت گفت ملخ نخور احمق,ابله، مامان بهت گفته بود که ملخ نخوری,مامان بهت گفت ملخ نخور احمق
17:32,17:34,Petunia's been in front all day.,اطلسی کل روزِ جلو نشسته,‫پتونیا تمام روز جلو نشسته,پتونیا کل روز رو جلو بوده,‫امروز پتونیا همش جلو بوده,پتونیا کل روز رو جلو بوده,پتونیا کل روز جلو بوده
17:34,17:36,The prettiest opossum always rides in front.,خوشگل‌ترین صاریغ همیشه هم جلو سوار میشه,‫خوشگل‌ترین صاریغ همیشه جلو می‌شینه,زیباترین صاریغ، همیشه جلوئه,‫خب خوشگل‌ترین صاریغ ‫همیشه جلو می‌شینـه دیگه,زیباترین صاریغ، همیشه جلوئه,خوشگل‌ترین صاریغ همیشه جلو می‌شینه
17:36,17:39,Try being pretty with my tail jammed in your eye.,با دمم هم که تو چشم و چالت چپونده شده، زور بزن خوشگل باشی,‫وقتی دممو کردم تو چشمت ‫می‌بینیم خوشگلی یا نه,،بذار ببینم وقتی دمم رو کردم تو چشمت باز هم خوشگلی یا نه,‫بذار دمـم رو بکنم تو چشت ‫ببینـم بازم خوشگلی یا نه,،بذار ببینم وقتی دمم رو کردم تو چشمت باز هم خوشگلی یا نه,بذار ببینیم وقتی دمم رو بکنم توی چشمت، بازم خوشگل هستی یا نه
17:40,17:42,Bartlett!,بارتلِت,‫بارتلت!,بارتلت,‫بارتلت!,بارتلت,!بارتلت
17:42,17:44,Stop jamming your tail in your sister's eye.,دمت رو تو چشم خواهرت نچپون,‫اینقدر دمتو نکن تو چشم خواهرت,این‌قدر دمت رو نکن توی چشم خواهرت,‫دمـت رو نکن تو چشم خواهرت,این‌قدر دمت رو نکن توی چشم خواهرت,انقدر دمت رو نکن توی چشم خواهرت
17:44,17:45,I'm Rowan.,من که رووانم,"‫من ""روآن""ـم",من روآنم,‫من رُوِنم,من روآنم,من روان هستم
17:45,17:47,Bartlett was last litter.,بارتلت که از بچه‌زایی قبلیت بود,‫بارتلت بین توله‌های سری قبلیت بود,بارتلت جزء آخری‌هاست,‫بارلت آخرین بچه‌ بود,بارتلت جزء آخری‌هاست,بارتلت ته تغاری بود
17:47,17:49,Are you sure?,مطمئنی؟,‫مطمئنی؟,مطمئنی؟,‫مطمئنی؟,مطمئنی؟,مطمئنی؟
