03:05,03:07,What's it feel like to die?,‫مُردن چه حسی داره؟,‫آره، منظورم همینه.
03:11,03:15,I'm sure you're used to it by now. Still...,‫مطمئنم تا الان بهش عادت کردی. ولی بازم...,‫ضمن اینکه، فردا دوباره از نو چاپت میکنن.
03:22,03:24,How many times is this?,‫این‌دفعه چندمین باره؟,‫بله؟
03:24,03:26,You're Mickey... 16?,‫تو میکی... شونزدهی؟,‫مُردن چه حسی داره؟
03:28,03:31,17. Jerk.,‫هفدهم. عوضی,
03:32,03:33,18 after this one.,‫بعد از این میشم هجدهم,‫مطمئنم دیگه برات عادی شده. با این حال...
03:33,03:37,"Well, it was nice knowing you, have a nice death.",‫خب، از آشناییت خوشحال شدم ‫مرگ خوبی داشته باشی,‫مطمئنم دیگه برات عادی شده. با این حال...
03:37,03:38,See you tomorrow.,‫فردا می‌بینمت,
03:41,03:43,"<i>Oh, great.</i>",‫اوه، عالی شد,‫تا حالا چند بار مردی؟ میکی نسخه 16، درسته؟
03:44,03:46,<i>Why not?</i>,‫چرا که نه؟,‫تا حالا چند بار مردی؟ میکی نسخه 16، درسته؟
03:51,03:53,<i>That's a pretty big one.</i>,‫این یکی چقدر گنده‌ست,‫بعد از این یکی میشم نسخه 18.
03:55,03:57,"<i>Hopefully, I'll just get swallowed in one go.</i>",‫امیدوارم یه لقمه بشم,‫از آشناییت خوشحال شدم، ‫مرگ خوبی داشته باشی.
03:57,04:01,<i>It's got to be better than slowly freezing to death.</i>,‫از آروم آروم یخ زدن که باید بهتر باشه,‫فردا میبینمت.
04:01,04:02,<i>I guess.</i>,‫گمون کنم,‫عالیه.
04:20,04:21,<i>Or maybe not.</i>,‫یا شایدم نباشه,‫فکر کنم.
04:36,04:39,<i>But they just printed me out again</i>,‫ولی هردفعه که می‌مردم,
04:39,04:40,<i>every time I died.</i>,‫دوباره منو چاپ می‌کردن,‫شاید هم نه.
04:40,04:44,"<i>All my data is saved, and I just get a whole new body.</i>",‫تمام داده‌هام ذخیره شده ‫و فقط یه بدن جدید گیرم میومد,‫شاید هم نه.
04:45,04:49,"<i>They do all this, kind of, regular uploads of memories</i>",‫خاطرات و ویژگی‌های شخصیتیم رو,
04:49,04:51,<i>and my personality traits...</i>,‫بصورت منظم بارگذاری می‌کنن...,
04:51,04:55,<i>and re-implant it back in my brain.</i>,‫و دوباره همه‌شون رو توی مغزم می‌کارن,
04:55,04:57,"<i>That's some crazy technology, man.</i>",‫خدایی فناوری باورنکردنی‌ایه، پسر,‫ولی اونا هر دفعه که میمردم ‫دوباره چاپم میکردن.
04:57,05:01,<i>Let's just say it's... it's advanced.</i>,‫در این حد بگم که... پیشرفته‌ست,‫ولی اونا هر دفعه که میمردم ‫دوباره چاپم میکردن.
05:01,05:03,<i>It's very advanced.</i>,‫خیلی پیشرفته‌ست,‫همه اطلاعاتم ذخیره میشه ‫و یه بدن نو تحویل میگیرم.
05:07,05:09,Yes.,‫ایول,‫اینا مرتب خاطرات و ویژگی های ‫شخصیتی منو بارگذاری میکنن...
05:09,05:11,"Oh, come on, come on.",‫اوه، بجنب، بجنب,‫اینا مرتب خاطرات و ویژگی های ‫شخصیتی منو بارگذاری میکنن...
05:11,05:14,Wait. Would you just hold on a second?,‫صبر کنین. میشه یه لحظه وایسین؟,‫و دوباره توی مغزم میذارن.
05:14,05:16,Just like... Calm down. Calm down.,‫تو فقط... آروم باش. آروم باش,‫و دوباره توی مغزم میذارن.
05:16,05:18,"Just relax, breathe. That's right, breathe.",‫آروم باش، نفس بکش ‫همینطوری، نفس عمیق بکش,‫این دیگه چه تکنولوژی خفنیه!
05:18,05:19,- Oh! - Yes!,‫- اوه! ‫- ایول!,‫بذار بگیم خیلی پیشرفته است.
05:19,05:24,"<i>The whole body printing and memory transplanting thing,</i>",‫و کاشتن خاطرات,‫خیلی خیلی پیشرفته.
05:24,05:28,"<i>to be honest, was so ridiculously ahead of its time,</i>",‫راستشو بخواین، اونقدر بطرز مضحکی ‫جلوتر از زمان خودش بود,‫آره.
05:28,05:31,"<i>that it caused so many, like, ethical fights</i>",‫که باعث یه عالمه درگیری‌های اخلاقی,‫زود باش، زود باش.
05:31,05:33,"<i>and religious blah, blah, blah,</i>",‫و چرت و پرت‌های مذهبی شد,‫صبر کنید. میشه یه کم صبر کنید؟
05:33,05:36,"<i>that it was actually banned on Earth,</i>",‫که راستش توی زمین ممنوع شد,‫آروم باش. آروم باش.
05:36,05:41,<i>and they only allow it now in outer space for Expendables.</i>,‫و حالا فقط اجازه میدن توی فضا ‫برای فدایی‌ها استفاده بشه,‫آره!
05:41,05:42,<i>Like me.</i>,‫مثل من,‫تکنولوژی چاپ کامل بدن و کاشت حافظه...
05:42,05:44,"<i>So, from the second we left the atmosphere,</i>",‫برای همین به محض اینکه ‫ از جو زمین خارج شدیم,‫تکنولوژی چاپ کامل بدن و کاشت حافظه...
05:44,05:48,<i>they made me work my ass off all the way to this planet.</i>,‫مجبورم کردن تا خود این سیاره ‫عین خر کار کنم,‫راستش رو بخوای، ‫خیلی خیلی از زمان خودش جلوتر بود،
05:48,05:50,<i>Gave me one mission after another.</i>,‫ماموریت پشت ماموریت بهم دادن,‫طوری که کلی بحث های اخلاقی ‫و مذهبی و اینجور چیزها رو به راه انداخت.
05:51,05:56,"Uh, Tech, what's going on? The extra cable's here already.",‫بخش فناوری، قضیه چیه؟ ‫کابل اضافی که اینجاست,‫برای همین تو زمین ممنوع شد،
05:57,05:58,"<i>Um, the thing is, Mickey...</i>",‫آخه می‌دونی چیه، میکی...,‫الان فقط تو فضای خارج از جو زمین ‫برای کسایی که میشه قربانیشون کرد مجازه.
06:00,06:01,"<i>Hey, Medical, you wanna tell him?</i>",‫هی، بخش پزشکی ‫می‌خواین خودتون بهش بگین؟,‫مثل من.
06:03,06:04,Tell me what?,‫چی بهم بگین؟,‫از همون لحظه ای که جو زمین رو ترک کردیم،
06:04,06:06,"<i>Hi, Mickey. How're you doing?</i>",‫سلام میکی. چطوری؟,‫منو تا خود این سیاره به خرخونی انداختن.
06:06,06:09,"<i>Are you experiencing any vertigo, nausea or dizziness?</i>",‫احساس سرگیجه، حالت تهوع ‫یا گیجی نمی‌کنی؟,‫مدام ماموریت پشت ماموریت بهم میدادن.
06:10,06:14,"Uh, I-I guess I am feeling a little dizzy.",‫گمونم یه‌خرده احساس سرگیجه می‌کنم,‫تیم فنی، چه خبره؟ ‫کابل اضافه که همین الان اینجاست.
06:14,06:16,"<i>It's only gonna get worse from here, Mickey,</i>",‫از این به بعد بدتر هم میشه، میکی,‫تیم فنی، چه خبره؟ ‫کابل اضافه که همین الان اینجاست.
06:16,06:18,<i>with a nice fever too.</i>,‫یه تب درست و حسابی هم می‌گیری,‫مشکل اینه میکی...
06:18,06:22,"<i>Truth is, you're exposed to unthinkable levels of radiation right now,</i>",‫راستشو بخوای، الان در معرض,‫پزشکی، میخوای خودت بهش بگی؟
06:22,06:25,<i>which is why we sent you out in the first place.</i>,‫که برای همین هم فرستادیمت بیرون,‫چی رو بگیم؟ ‫سلام میکی، حالت چطوره؟
06:25,06:26,Okay.,‫باشه,‫چی رو بگیم؟ ‫سلام میکی، حالت چطوره؟
06:26,06:28,<i>If you could give us a full description of your symptoms.</i>,‫اگر میشه علائمت رو,‫سرگیجه، تهوع یا گیجی داری؟
06:28,06:31,"<i>So, a couple things I wanna go through</i>",‫خب، اول می‌خوام چند مورد,‫فکر کنم یه کم گیج میشم.
06:31,06:33,<i>on our cosmic radiation checklist first.</i>,‫از لیست تشعشعات کیهانی‌مون رو بررسی کنیم,‫فکر کنم یه کم گیج میشم.
06:33,06:36,<i>How long until your skin starts to burn?</i>,‫چقدر طول می‌کشه ‫تا پوستت شروع به سوختن کنه؟,‫از اینجا به بعد بدتر هم میشه میکی،
06:36,06:39,"<i>Then, how long until you go blind?</i>",‫بعدش، چقدر طول می‌کشه تا کور بشی؟,‫واقعیت اینه که الان در معرض ‫مقدار خیلی زیادی تشعشعات هستی،
06:39,06:42,"<i>And of course, how long until you die?</i>",‫و البته، چقدر طول می‌کشه تا بمیری؟,‫واقعیت اینه که الان در معرض ‫مقدار خیلی زیادی تشعشعات هستی،
06:42,06:45,<i>That's the real nut we're after.</i>,‫این اصل اطلاعاتیه که دنبالشیم,‫باشه.
06:48,06:51,"<i>There was this one time in my fourth grade science class,</i>",‫یه بار که توی کلاس علوم,‫میخوام چند تا نکته رو از چک لیست ‫تشعشعات کیهانی مون بررسی کنم.
06:51,06:54,<i>I messed with a lab frog.</i>,‫یه قورباغه‌ی آزمایشگاهی رو اذیت کردم,‫میخوام چند تا نکته رو از چک لیست ‫تشعشعات کیهانی مون بررسی کنم.
06:55,06:58,<i>I just figured this all must be my punishment.</i>,‫گفتم حتماً تمام این‌ها مجازات همون قضیه‌ست,‫بعدش کِی کور میشی؟
06:59,07:01,"<i>Mickey, take off your glove,</i>",‫میکی، دستکشت رو در بیار,‫و البته، کِی میمیری؟
07:01,07:04,<i>so I can see what's happening under your space suit.</i>,‫تا بتونم ببینم زیر لباس فضانوردیت چه خبره,‫این همون هدف اصلیمونه.
07:15,07:18,<i>Oh! Oh! Wow! Did you see that?</i>,‫اوه! اوه! عجب! دیدین چی شد؟,‫فکر میکنم اینا همش تقاص اون کارمه.
07:46,07:49,Good morning.,‫صبح بخیر,
07:49,07:50,"Keep yourself hydrated, Mickey.",‫- صبح بخیر ‫- حواست باشه آب بخوری، میکی,
07:50,07:53,You'll start to feel extremely parched.,‫کم‌کم احساس تشنگی شدیدی می‌کنی,
07:53,07:55,"Arkady, I think the dose was too high.",‫آرکادی، فکر کنم دوزش خیلی زیاد بود,
07:55,07:57,"Who cares, Dorothy? He's gonna be dead in ten minutes.",‫چه اهمیتی داره، دوروتی؟ ‫درهرحال تا 10 دقیقه‌ی دیگه می‌میره,
07:57,07:59,Just focus on getting all the blood samples.,‫شما حواستون به گرفتن ‫تمام نمونه‌ خون‌ها باشه,
07:59,08:02,"He's gonna bleed through his eyes, nose, mouth, ears, and rectum.",‫قراره از چشم‌هاش,
08:03,08:07,Make sure to collect separate samples from every hole. Okay?,‫یادتون باشه از تمام سوراخ‌ها ‫نمونه‌های جداگونه بگیرین، باشه؟,‫صبح بخیر.
08:07,08:09,And keep the memory upload going at the same time.,‫و همزمان بارگذاری خاطرات رو ادامه بدین,‫صبح بخیر. میکی، حتما آب کافی بخور.
08:11,08:14,"This Mickey's special, you know that, right?",‫این میکی خاصه، اینو که می‌دونی، مگه نه؟,‫آرکادی، فکر کنم دوزش خیلی زیاد بود.
08:14,08:17,"Out of all the Mickeys, you will have the shortest lifespan.",‫از بین تمام میکی‌ها ‫تو کوتاه‌ترین طول عمر رو داری,‫دوروتی، به تخمم، ده دقیقه دیگه میمیره.
08:18,08:21,- I heard. Ten minutes. - Well...,‫- آره شنیدم. ده دقیقه ‫- خب...,‫از چشم، بینی، دهن، گوش و مقعدش خون میاد.
08:22,08:26,"Actually, good news, it's more like 15.",‫راستش، خبر خوب ‫قراره 15 دقیقه باشه,‫مطمئن بشید از کل بدنش نمونه میگیرید، باشه؟
08:26,08:29,"Much better, isn't it?",‫خیلی‌ بهتره، مگه نه؟,‫و همزمان آپلود حافظه رو هم ادامه بدید.
08:29,08:31,<i>I would have been filthy rich by now</i>,‫تا الان می‌تونستم با بیمه‌ی عمر,
08:31,08:32,"<i>with life insurance, except...</i>",‫پول پارو کنم، ولی...,‫این نسخه میکی یه چیز دیگه‌ست، ‫خودت میدونی، درسته؟
08:32,08:36,"<i>obviously, Expendables are uninsurable.</i>",‫طبیعتاً، افراد فدایی بیمه نمیشن,‫بین همه نسخه های میکی، ‫تو کوتاه ترین عمر رو خواهی داشت.
08:36,08:40,"<i>There's no workers' comp, no unions, no pension benefits.</i>",‫نه بیمه‌ی حوادث دارن ‫نه اتحادیه‌ای، نه مستمری بازنشستگی,‫شنیدم ده دقیقه. خب...
08:41,08:44,"<i>Now, I wouldn't be surprised if you were thinking at this point,</i>",‫اگر در این لحظه,‫در واقع، خبر خوب اینه که ‫تقریبا 15 دقیقه طول میکشه.
08:44,08:47,"<i>""Well then, why... why did you do this to yourself?""</i>","‫""خب پس، چرا... چرا همچین بلایی ‫سر خودت آوردی؟"" تعجب نمی‌کنم",‫خیلی بهتره، نه؟
08:48,08:51,"<i>Well, because I had a friend who told me</i>",‫خب، چون یه دوستی داشتم که بهم گفت,‫میتونستم از بیمه عمر پول پارو کنم، ولی...
08:51,08:56,<i>that one day macarons would sell better than burgers.</i>,‫که یه روز ماکارون ‫بهتر از همبرگر فروش میره,‫معلومه که کالای مصرفی بیمه نمیشه.
08:57,09:02,"{\an8}<i>And because I trusted this shitty friend, and I got an enormous loan</i>",‫و چون به اون دوست مزخرفم اعتماد کردم,‫نه غرامت کارگری هست، ‫نه اتحادیه، نه مزایای بازنشستگی.
09:02,09:07,{\an8}<i>from a wonderful gentleman to open a macaron store.</i>,‫تا مغازه‌ی ماکارون‌فروشی بزنیم,‫اگه الان با خودت فکر میکنی، ‫تعجب نمیکنم
09:18,09:21,"Oh, shit.",‫اوه، گندش بزنن,‫و چون به این دوست آشغالم اعتماد کردم،
09:40,09:42,"All right, all right,",‫خیلی‌خب، خیلی‌خب,‫لعنتی.
09:42,09:43,calm down.,‫آروم باشین,
09:44,09:46,I'm well aware that you have four weeks left.,‫خودم می‌دونم چهار هفته زمان دارین,
09:46,09:48,Just think of this as a little field trip.,‫به این اتفاق به چشم ‫یه بازدید میدانی نگاه کنین,
09:48,09:50,A taste of what may unfold,‫که اگر نتونین به موقع پولمون رو پس بدین,
09:50,09:52,should you fail to reimburse us in a timely manner.,‫چه اتفاقی ممکنه بیفته,
09:52,09:56,"{\an8}Besides, you two have a lot of time on your hands,",‫بعلاوه، شما دو تا یه عالمه وقت آزاد دارین,
09:56,09:59,{\an8}with your little macaron shop gone under.,‫حالا که ماکارون‌فروشی‌تون ورشکست شده,
09:59,10:02,"This is quite a show you got on here for me, quite a show.",‫عجب نمایشی برام راه انداختین، عجب نمایشی,‫خب، خب،
10:02,10:04,"The message is clear, I hear you. I hear it loud and clear,",‫پیامش واضحه، متوجه شدم ‫تمام و کمال متوجه شدم,‫خوب میدونم که چهار هفته دیگه وقت دارید.
10:04,10:06,"""I'm late. I'm late. The money is late.""","‫""موعدش گذشته، موعد پرداخت بدهیم گذشته""",‫خوب میدونم که چهار هفته دیگه وقت دارید.
10:06,10:07,It's coming. Two people behind...,‫به‌زودی پرداختش می‌کنم. دو نفر...,‫اینو یه اردوی تفریحی کوچیک در نظر بگیرید.
10:07,10:11,<i>Darius Blank. A name I wish I'd never heard.</i>,‫داریوس بلنک. اسمی که آرزو می‌کنم ‫ای‌کاش هیچوقت به گوشم نخورده بود,‫یه نگاهی به اتفاقاتی که اگه ‫به موقع پول رو پس ندید ممکنه بیفته.
10:11,10:15,{\an8}Mr. Blank isn't all that concerned with money.,‫آقای بلنک چندان اهمیتی به پول نمیده,‫ضمن اینکه، شما دوتا وقت زیادی دارید،
10:15,10:17,He has plenty.,‫تا دلتون بخواد پول داره,‫بعد از اینکه اون مغازه کوچیک ‫ماکارونی تون ورشکست شد.
10:17,10:19,This building's just one of his many assets.,‫این ساختمون فقط یکی از ‫املاک متعدد ایشونه,‫بعد از اینکه اون مغازه کوچیک ‫ماکارونی تون ورشکست شد.
10:20,10:22,"Watching his delinquent borrowers die,",‫از تماشای مرگ وام‌گیرنده‌هاش ‫که بدهی معوقه دارن...,‫این نمایشی که راه انداختید خیلی دیدنیه.
10:22,10:25,savoring the details of death...,‫از ثبت جزئیات مرگ...,‫پیامش واضحه، صداتونو شنیدم. ‫ صداتونو بلند و واضح شنیدم.
10:25,10:27,"that, he truly enjoys.",‫واقعاً لذت می‌بره,‫پول رو میدم، دو نفر دیگه مونده...
10:27,10:29,"The message is clear. You can stop now. We can stop, you know?",‫پیام‌تون رو واضح متوجه شدم ‫دیگه کافیه. دیگه نیازی نیست، می‌دونی؟,‫داریوس بلانک. اسمی که ‫آرزو میکردم هیچوقت نشنیده بودم.
10:29,10:31,It's... It's... I hear you.,‫کاملاً... کاملاً... کاملاً متوجه شدم,‫داریوس بلانک. اسمی که ‫آرزو میکردم هیچوقت نشنیده بودم.
10:31,10:33,"You know, two weeks, two weeks is all it takes.",‫می‌دونی، دو هفته... ‫فقط دو هفته زمان کافیه,‫آقای بلانک اونقدرها هم به پول اهمیت نمیده.
10:33,10:36,"All it takes now. A-A-And more is coming,",‫دیگه همینقدر کافیه ‫و پول بیشتری هم در راهه,‫آقای بلانک اونقدرها هم به پول اهمیت نمیده.
10:36,10:37,"there's more coming, more money is...",‫پول بیشتری در راهه، پول بیشتری...,‫خیلی داره.
10:37,10:39,"{\an8}More money is, is, is...",‫پول بیشتری...,‫این ساختمون فقط یکی از دارایی های زیادشه.
10:48,10:52,"We caught that gentleman four days ago in Ulaanbaatar, Mongolia.",‫توی اولان‌باتور مغولستان گرفتیم,‫این... صداتونو میشنوم.
10:52,10:53,Looks expensive.,‫بنظر گرون میاد,‫فقط دو هفته وقت لازمه.
10:54,10:58,"Rest assured, anyone who misses the deadline,",‫مطمئن باشین، هر کس که ‫تا موعد مقرر بدهیش رو نده,‫بیشترش میاد، پول بیشتر... پول بیشتر...
10:58,11:00,we chase them to the ends of the Earth.,‫تا اون سر زمین هم دنبالش میایم,‫بیشترش میاد، پول بیشتر... پول بیشتر...
11:01,11:04,<i>So we decided to get off of Earth.</i>,‫برای همین تصمیم گرفتیم ‫از زمین خارج بشیم,
11:04,11:10,"<i>Nothing was working out, and I got no family relying on me.</i>",‫هیچی خوب پیش نمی‌رفت ‫و هیچ خانواده‌ای نداشتم که بهم متکی باشن,‫اون آقا رو چهار روز پیش ‫تو اولان باتور مغولستان گرفتیم.
11:10,11:12,"<i>So, I applied to the colony expedition,</i>",‫برای همین برای ‫سفر ایجاد مستعمره‌ ثبت‌نام کردم,‫اون آقا رو چهار روز پیش ‫تو اولان باتور مغولستان گرفتیم.
11:12,11:15,"<i>but there's, like, a million other people with the same idea.</i>",‫ولی یه میلیون آدم دیگه هم بودن,‫خیالت راحت، هرکی به موقع پول نده،
11:15,11:17,<i>Seems like the whole of this rotten planet</i>,‫انگار تمام مردم این سیاره‌ی گندیده,‫خیالت راحت، هرکی به موقع پول نده،
11:17,11:18,<i>was running away from something.</i>,‫داشتن از یه چیزی فرار می‌کردن,‫تا ته دنیا هم که بره پیداش میکنیم.
11:18,11:21,<i>I guess everybody's got money problems.</i>,‫گمونم همه مشکل مالی دارن,‫تا ته دنیا هم که بره پیداش میکنیم.
11:21,11:23,"<i>But anyway, we had to get on this ship,</i>",‫خب بگذریم، باید سوار اون سفینه می‌شدیم,‫برای همین تصمیم گرفتیم از زمین بزنیم بیرون.
11:23,11:25,<i>because it was the last one of the season.</i>,‫چون آخرین سفینه‌ی اون فصل بود,‫هیچ چیز اونطوری که میخواستم پیش نمیرفت، ‫و خونواده ای هم نداشتم که به من تکیه کنه.
11:26,11:29,Waves upon waves of people desperate to leave Earth.,‫انبوهی از مردم ‫مشتاق ترک زمین هستن,‫هیچ چیز اونطوری که میخواستم پیش نمیرفت، ‫و خونواده ای هم نداشتم که به من تکیه کنه.
11:29,11:33,It's clear anti-migrationists are talking to a brick wall,‫مشخصه که کسی گوشش بدهکار ‫حرف‌های مخالفان مهاجرت نیست,‫برای همین، درخواست دادم ‫که تو سفر استعماری شرکت کنم.
11:33,11:35,"when they insist on fixing up the Earth,",‫که اصرار دارن باید زمین رو ترمیم کنیم,‫اما یه میلیون نفر دیگه هم ‫همین فکر رو داشتن.
11:35,11:39,instead of risking lives by migrating to another planet.,‫جای اینکه با مهاجرت به سیاره‌ای دیگه ‫جون آدما رو به خطر بندازیم,‫انگار همه تو این سیاره گندیده ‫از یه چیزی فرار میکردن.
11:39,11:42,It feels like these passionate applicants,‫بنظر میاد این متقاضیان مشتاق,‫به هر حال، مجبور بودیم سوار سفینه بشیم،
11:42,11:44,are already off in space.,‫همین الان هم در فضا سیر می‌کنن,‫چون آخرین سفینه اون فصل بود.
11:44,11:46,"More importantly, this is the expedition",‫مهم‌تر از اون، این سفری‌ست,‫چون آخرین سفینه اون فصل بود.
11:46,11:50,"led by former congressman, Kenneth Marshall,",‫که توسط نماینده‌ی مجلس سابق ‫کنث مارشال هدایت میشه,‫موج های پی در پی ‫آدم های ناامید برای ترک زمین.
11:50,11:53,who lost his last two elections.,‫که در دو انتخابات اخیر شکست خورده,‫معلومه که مخالفای مهاجرت وقتی اصرار میکنن ‫ زمین رو درست کنن، کسی به حرفشون گوش نمیده.
11:53,11:54,Is this failed politician,‫آیا این سیاستمدار ناموفق,‫معلومه که مخالفای مهاجرت وقتی اصرار میکنن ‫ زمین رو درست کنن، کسی به حرفشون گوش نمیده.
11:54,11:58,now trying to establish a kingdom beyond the stars?,‫حالا داره سعی می‌کنه ‫قلمرویی در ورای ستاره‌ها بسازه؟,‫به جای اینکه جونشونو با مهاجرت ‫به یه سیاره دیگه به خطر بندازن.
11:58,12:00,Is it his fanatical supporters,‫آیا طرفدارهای افراطیش هستن,‫انگار این متقاضیای ‫مشتاق قبلا هم به فضا رفتن.
12:00,12:02,who won him a generous sponsorship,‫که باعث شدن یک شرکت ‫و سازمان مذهبی بخصوص,‫انگار این متقاضیای ‫مشتاق قبلا هم به فضا رفتن.
12:02,12:06,from a particular religious organization and corporation?,‫بصورت سخاوتمندانه‌ای ازش حمایت کنه؟,‫مهمتر از همه، این ماموریتیه که توسط ‫معاون سابق، کنت مارشال، رهبری میشه،
12:06,12:09,So many questions left unanswered.,‫سوالات زیادی بی‌پاسخ باقی موندن,‫مهمتر از همه، این ماموریتیه که توسط ‫معاون سابق، کنت مارشال، رهبری میشه،
12:09,12:10,Let's go and talk to the crowd.,‫بریم با مردم صحبت کنیم,‫کسی که دو دوره آخری انتخابات رو باخت.
12:10,12:13,"Excuse me, are you a Kenneth Marshall supporter?",‫ببخشید، شما از طرفداران کنث مارشال هستین؟,‫کسی که دو دوره آخری انتخابات رو باخت.
12:13,12:15,"I am. I am, big time.",‫من هستم. من بدجوری طرفدارشم,‫حالا این سیاستمدار شکست خورده ‫میخواد پشت ستاره ها یه پادشاهی راه بندازه؟
12:15,12:17,I am a full-on supporter.,‫من طرفدار سفت و سختشم,‫حالا این سیاستمدار شکست خورده ‫میخواد پشت ستاره ها یه پادشاهی راه بندازه؟
12:17,12:19,I basically am the one and only.,‫عملاً بزرگ‌ترین طرفدارشم,‫آیا طرفدارای متعصبش بودن که ‫اسپانسری سخاوتمندانه رو
12:19,12:21,Are you from M-Marshall's official channel?,‫از طرف شبکه‌ی رسمی مارشال اومدین؟,‫آیا طرفدارای متعصبش بودن که ‫اسپانسری سخاوتمندانه رو
12:21,12:23,- I'm from EC 20... - No way.,‫- از شبکه‌ی ای‌سی 20... ‫- باورم نمیشه,‫آیا طرفدارای متعصبش بودن که ‫اسپانسری سخاوتمندانه رو
12:23,12:25,So Marshall's watching this right now?,‫یعنی مارشال الان داره ‫ما رو تماشا می‌کنه؟,‫از یه سازمان مذهبی ‫یا یه موسسه خاص براش جور کردن؟
12:25,12:26,"- Oh, my God! - You need to pick me.",‫- وای خدا! ‫- باید منو انتخاب کنی,‫از یه سازمان مذهبی ‫یا یه موسسه خاص براش جور کردن؟
12:26,12:28,"I swear, please pick me.",‫به‌خدا قسم، تو رو خدا منو انتخاب کن,‫سوال های بی جواب زیادی وجود داره.
12:29,12:32,You need people young and healthy for the expedition.,‫برای سفر به افراد جوون و سالم احتیاج داری,‫ببخشید، شما از طرفدارای کنت مارشال هستید؟
12:32,12:35,"<i>Ladies and gentlemen, we have another mild sandstorm today.</i>",‫امروز یک طوفان شن خفیف دیگه داریم,‫آره. من یه طرفدار پروپاقرصشم.
