Start Time,End Time,English,How to Train Your Dragon- open subtitle.srt,How.to.Train.Your.Dragon.2025.AMZN.WEB-DL.Fa[UTF-8].srt
01:30,01:31,- Hey! Hiccup! - Evening.,"والدين معتقدند که يه اسم ترسناک نوم ها"" و ""ترول ها"" رو دچار وحشت ميکنه""","""هی! ""هیکاپ - ! شب بخیر -"
01:31,01:32,Go home!,وحشتي که در رفتار يک وايکينگ نجيب ديده نميشه,برو خونه
01:32,01:34,"I will just as soon as I, uh...",صبح به خير,...میرم، به محض اینکه
01:34,01:36,You’re in the way again!,صبح به خير,!دوباره سر راهی
01:39,01:41,"Hiccup, play dead!",!برگرد داخل,"!هیکاپ""، خودت رو بزن به مُردن"" (سکسکه)"
01:41,01:42,"You see, dragons have been",!برگرد داخل,...می‌دونین، اژدهایان، یه کمی
01:42,01:44,a bit of a problem.,,مشکل‌ساز شدند
01:44,01:46,"Here and, well, everywhere.",...هيکاپ. اون داره اون بيرون چيکار ميکنه !داري اون بيرون چيکار ميکني؟ برو تو,هم اینجا و خب، همه جا
01:46,01:50,So we decided to take the fight to them.,...هيکاپ. اون داره اون بيرون چيکار ميکنه !داري اون بيرون چيکار ميکني؟ برو تو,به همین خاطر ما تصمیم گرفتیم که جنگ رو به سمت اونا ببریم
01:50,01:52,How’s that working out for us?,"اون "" استويک"" بزرگه. رئيس قبيله",و چطور جواب گرفتیم؟
01:52,01:54,Eh...,اونا ميگن که وقتي بچه بوده سرِ يه اژدها رو در حاليکه روي شونه هاش بوده ترکونده,تعریفی نداره
01:58,02:00,- Whoa! - What are you doing?,من اينو باور ميکنم؟ بله. باور ميکنم,!وای - !چیکار می‌کنی؟ -
02:00,02:02,What is he doing out again?,"""گرونکل""، ""نادر""، ""زيپل بک"" اوه و ""هورک"" يه ""کابوس ترسناک"" هم ديده",این دوباره این بیرون چیکار می‌کنه؟
02:03,02:04,Get inside. Go on.,"""گرونکل""، ""نادر""، ""زيپل بک"" اوه و ""هورک"" يه ""کابوس ترسناک"" هم ديده",برو داخل. برو
02:04,02:07,"That’s Stoick the Vast,","""گرونکل""، ""نادر""، ""زيپل بک"" اوه و ""هورک"" يه ""کابوس ترسناک"" هم ديده","اون ""استویک بزرگ"" ـه"
02:07,02:08,chief of the tribe.,تا الان که نه- خوبه-,رئیس قبیله
02:10,02:12,"They say, when he was a baby,",مواظب باش,می‌گن وقتی یه بچه بوده
02:12,02:14,he popped a dragon’s head clean off its shoulders.,,کله‌ی یه اژدها رو درسته از جاش کنده
02:15,02:16,Do I believe it?,,باور می‌کنم؟
02:18,02:20,"- Yes, I do. - What have we got?",چقدر خوب که به مهموني ملحق شدي فکر کردم که مُردي,آره - با چی طرفیم؟ -
02:20,02:24,"Gronckles, Nadders, Zipplebacks, Skrills.",...چي؟ کي؟ من؟ نه، بي خيال من براي اينکه خوراکشون بشم زيادي عضله اي اَم,گرانکل‌ها، ندرها، زیپلبک‌ها، اسکریل‌ها
02:24,02:26,Snorti spotted a Monstrous Nightmare.,...چي؟ کي؟ من؟ نه، بي خيال من براي اينکه خوراکشون بشم زيادي عضله اي اَم,"اسنورتی هم یه ""کابوس هیولایی"" مشاهده کرده"
02:26,02:27,Any Night Furies?,اونا نميدونن که با همه اينا چيکار کنن,"خشمِ شب"" چی؟"" (نایت فیوری)"
02:27,02:28,"None so far, Chief.",اونا نميدونن که با همه اينا چيکار کنن,تا الان که نه رئیس
02:28,02:30,Good.,خوب، اونا به خلال دندون نياز پيدا ميکنن، درسته؟,خوبه
02:30,02:32,"- Follow me. - HÜRL: Right, Chief.",خوب، اونا به خلال دندون نياز پيدا ميکنن، درسته؟,دنبالم بیاین - بله رئیس -
02:32,02:34,"Come on, you wretches!","اون کله گوشتي احساساتي با اون دست مصنوعي و همه کاره اش ""گابر""ه",!بجنبین بدبخت‌ها
02:34,02:36,"HÜRL: You heard him. Come on, lads.","اون کله گوشتي احساساتي با اون دست مصنوعي و همه کاره اش ""گابر""ه",شنیدین چی گفت، بیاین بچه‌ها
02:39,02:41,Oh. Out again?,خوب، کوچکتر از اين,آه، دوباره بیرونی؟
02:41,02:43,Just pretend I’m not even here.,ما به سمت منطقه دفاعي چمنزار حرکت ميکنيم ما با استفاده از اون منجنيق ها از پسشون برميايم,فقط وانمود کن که من اصلاً اینجا نبودم
02:43,02:45,I’ll be in and out before you can say...,ما به سمت منطقه دفاعي چمنزار حرکت ميکنيم ما با استفاده از اون منجنيق ها از پسشون برميايم,...زودی میام و میرم، قبل از اینکه بتونی بگی
02:45,02:47,Not so fast.,ميبينيد؟ روستاي قديمي با کُلي خونه هاي جديد,نه با این عجله
02:47,02:48,"Come on, please.",ميبينيد؟ روستاي قديمي با کُلي خونه هاي جديد,بی‌خیال، خواهش می‌کنم
02:48,02:50,The meathead with attitude,ميبينيد؟ روستاي قديمي با کُلي خونه هاي جديد,...این خنگول با این رفتار
02:50,02:52,and interchangeable hands is Gobber.,!آتش,"و دست‌های قابل تعویض، ""گابر""ه"
02:52,02:53,Here. Go on.,"اوه، اون ""فيشلگز"" ه",بگیر. برو
02:54,02:55,I’ve been his apprentice,"اوه، اون ""فيشلگز"" ه",من از زمان بچگی
02:56,02:57,- ever since I was little. - I’m keeping my eye on you.,"""دوقولوها ""رافنات"" و ""تافنات",شاگردش بودم - حواسم بهت هست -
02:57,02:59,I’m not even supposed to be out here.,...و,اصلاً قرار نیست این بیرون باشم
02:59,03:01,Ha! Since when did that ever stop you?,"""آستريد""...",هه! از کی تا حالا این جلوت رو گرفته؟
03:04,03:05,Guard the food stores.,,مراقب انبار‌های غذا باشین
03:06,03:07,"- Aye, Chief. - Protect the livestock.",,بله رئیس - مراقب دام‌ها باشین -
03:08,03:09,"HÜRL: Aye, Stoick.",,بله استویک
03:09,03:11,And keep an ear out for Night Furies.,,و گوش به زنگ خشم شب‌ها باشین
03:20,03:21,Hammer.,اوه، تو خيلي شايستگيت رو نشون دادي البته تو دست گل به آب دادن,چکش
03:29,03:30,Fire brigade!,تو نميتوني يه چکش رو بلند کني نميتوني يه تيشه رو بچرخوني,!آتش‌نشان‌ها
03:30,03:32,"Ah, the fire brigade.",تو حتي نميتوني يکي از اينا رو پرت کني,آه، آتش‌نشان‌ها
03:32,03:34,Berk’s cool kids.,تو حتي نميتوني يکي از اينا رو پرت کني,بچه‌های باحال برک
03:34,03:37,They get to be out in the action.,باشه، قبوله ولي اين وسيله ميتونه برام پرتابش کنه,اونا در میدون نبرد حضور دارن
03:37,03:39,"Guys, out of the way!",باشه، قبوله ولي اين وسيله ميتونه برام پرتابش کنه,بچه‌ها، از سر راه برین کنار
03:40,03:41,But they’re nothing,ديدي؟ اين دقيقاً چيزيه که دارم اينجا حرفش رو ميزنم,اما بدون فرمانده‌شون
03:41,03:43,"without their captain,",...ولي دستگاه تنظيم مسافت سوخت گيري شده,اونا هیچی نیستن
03:43,03:45,the shining star of our generation.,بس کن، هيکاپ ...اگه ميخواي بري اون بيرون و با اژدهاها بجنگي,ستاره‌ی درخشان نسل ما
03:46,03:48,A-Amazing without even trying.,بس کن، هيکاپ ...اگه ميخواي بري اون بيرون و با اژدهاها بجنگي,بدون اینکه تلاش کنه، محشره
03:49,03:51,The one that smokes them all.,بايد به اين... خاتمه بدي...,کسی که دماغ همه‌شون رو به خاک می‌ماله
03:52,03:55,Astrid.,بله، همين طوره,استرید
04:08,04:09,What?,!ممکنه اين کارِتون عواقبي داشته باشه- ريسکش رو قبول ميکنم-,چیه؟
04:10,04:11,Uh...,شمشير رو تيز کن !حالا,...آ
04:11,04:14,Shouldn’t you be in bed?,يه روزي، ميرم اون بيرون,نباید توی تختت باشی؟
04:16,04:18,"Come on, back to work.",چون کُشتن اژدها در اينجا به معني همه چيزه,بجنب، برگرد سر کار
04:19,04:20,"You know, I need to get out there.","سرِ ""نادر""ها که مطمئناً ميتونه منو تو کمترين مرکز توجه قرار بده",می‌دونی، منم باید اون بیرون باشم
04:20,04:22,"Show my stuff, make my mark.","سرِ ""نادر""ها که مطمئناً ميتونه منو تو کمترين مرکز توجه قرار بده",باید خودم رو نشون بدم اثر خودم رو بذارم
04:22,04:25,"You’ve made plenty of marks, all in the wrong places.","سرِ ""نادر""ها که مطمئناً ميتونه منو تو کمترين مرکز توجه قرار بده",تو کلی اثر از خود به جا گذاشتی اونم در جاهای اشتباه
04:25,04:27,Give me two minutes. I’ll-I’ll take down a dragon.,"گرونکل""ها قوي هستن. از نابود کردن يکي از اونا"" قطعاً يه دوست دختر نصيبم ميشه",دو دقیقه بهم مهلت بده دخل... یه اژدها رو میارم
04:27,04:30,My life will get infinitely better.,"گرونکل""ها قوي هستن. از نابود کردن يکي از اونا"" قطعاً يه دوست دختر نصيبم ميشه",و زندگی‌م بی‌نهایت بهتر میشه
04:30,04:31,I might even get a girlfriend.,"...""يه ""زيپل بک",حتی ممکنه دوست دختر پیدا کنم
04:32,04:33,There’s a Zippleback behind you!,عجيب و غريبه دو سر داره که باعث ميشه دو وضعيت داشته باشه,!یه زیپلبک پشت سرته
04:33,04:34,Astrid?,عجيب و غريبه دو سر داره که باعث ميشه دو وضعيت داشته باشه,استرید؟
04:34,04:36,But she’s a real Viking.,اونا گوسفندها رو پيدا کردن,اما اون یه وایکینگ واقعیه
04:36,04:37,You can’t wield a hammer.,تمرکز کن، در محوطه سکو آتش برپا کن,تو حتی نمی‌تونی از یه چکش استفاده کنی
04:37,04:39,You can’t swing an axe.,تمرکز کن، در محوطه سکو آتش برپا کن,نمی‌تونی یه تبر رو بچرخونی
04:39,04:41,You can’t even throw one of these.,آتش,حتی نمی‌تونی یکی از اینا رو پرتاب کنی
04:41,04:43,"See, but this... this will throw it for me.","""و بعدش مي مونه "" کابوس ترسناک",می‌دونی، اما این... این اونا رو برام پرتاب می‌کنه
04:44,04:46,"- Oh, another one. - It’s fully redesigned.",فقط بهترين وايکينگها دنبال اونا ميرن,آه، یکی دیگه - کاملاً بازطراحی شده -
04:46,04:47,It-it’s...,فقط بهترين وايکينگها دنبال اونا ميرن,...این
04:47,04:49,- Whoa! - Whew!,اونا اين عادت ناخوشايند رو دارن که خودشون رو درون آتش قرار ميدن,!وای
04:49,04:51,"It’s, uh...",اونا اين عادت ناخوشايند رو دارن که خودشون رو درون آتش قرار ميدن,...این
04:51,04:53,double-barreled.,!دوباره گلوله بذارين,دو لول هست
04:53,04:55,"You see, this right here... this is what I’m talking about.",من خدمت اين يکي ميرسم,...همینو می‌بینی دقیقاً منظورم همینه
04:56,04:58,"Okay, this is a mild cal... mild calibration issue.",اما گُل سر سبد اژدهاها که هيچ کس تا حالا اونو نديده,خب، فقط... یه خرده یه خرده باید تنظیمش کنم
04:58,05:00,If you ever want to get out there,اما گُل سر سبد اژدهاها که هيچ کس تا حالا اونو نديده,اگه می‌خوای از اینجا بری
05:00,05:03,"and start fighting dragons, you’ve got to stop all of...",...ما اسمش رو گذاشتيم,...و با اژدهایان بجنگی، باید دست از تمام این
05:03,05:04,all of this.,"!""خشم شب""- !بخوابين رو زمين-",این برداری
05:05,05:06,You just gestured to all of me.,,تو که الان به سرتاپام اشاره کردی
05:06,05:08,Yeah. Stop being all of you.,بپرين,آره. دست از تمام خودت بودن، بردار
05:09,05:10,Oh...,بپرين,...آه
05:10,05:12,"Oh, yeah.",اين يکي هرگز غذا نمي دزده ...هرگز خودش رو نشون نميده و,آه، اره
05:12,05:14,"You, sir, are playing a dangerous game.",اين يکي هرگز غذا نمي دزده ...هرگز خودش رو نشون نميده و,شما آقا، بازی خطرناکی داری می‌کنی
05:14,05:16,Keeping this contained?,و هيچ وقت اشتباه نميکنه...,من رو محدود می‌کنین؟
05:16,05:18,There will be consequences.,"هيچ کس تا حالا نتونسته يه ""خشم شب"" رو بکُشه",این کارتون عواقب بدی خواهد داشت
05:18,05:21,"Well, I will take my chances.",براي همينه که من قراره اوليش باشم,خب، عواقبش رو قبول می‌کنم
05:22,05:25,Sword-- sharpen. Now.,حواست به کوره آهنگري باشه، هيکاپ اون بيرون به من نياز دارن,شمشیر رو تیز کن. همین حالا
05:26,05:29,"One day, I’ll get out there.",...بمون,یه روزی، میرم اون بیرون
05:29,05:33,Because killing a dragon is everything around here.,ميدوني که منظورم چيه,چون اینجا کشتن یه اژدها یعنی همه چی
05:34,05:36,Gronckles are tough.,هيکاپ، داري کجا ميري؟- !برگرد اينجا-,گرانکل‌ها سرسخت هستن
05:36,05:39,Taking one down would at least get me noticed.,ميدونم برميگردم,اگه دخل یکی‌شون رو بیارم توجه‌ها بهم جلب میشه
05:41,05:43,A Zippleback?,,و زیپلبک؟
05:43,05:46,"Exotic, exciting.",!قوي باش- هنوز کمي روحيه اهريمني داره-,غیرمعمول، هیجان انگیز
05:47,05:49,"Two heads, twice the status.",!قوي باش- هنوز کمي روحيه اهريمني داره-,اژدهای دوسر، یعنی کسب دو برابر اعتبار
05:50,05:52,Lopping off a Nadder’s head,,"""و قطع کردن سر یه ""ندر"
05:52,05:54,would definitely show them I belong.,,قطعاً نشونشون میده که منم یه وایکینگ واقعیم
06:00,06:01,"Come on, lads!",!يالا. يه چيزي بده که بهش شليک کنم !يه چيزي بده که بهش شليک کنم,!بجنبین بچه‌ها
06:01,06:03,They found the sheep.,!يالا. يه چيزي بده که بهش شليک کنم !يه چيزي بده که بهش شليک کنم,اونا گوسفندها رو پیدا کردن
06:03,06:05,Then let loose with everything we’ve got.,,پس با تمام قدرتی که داریم حمله کنین
06:09,06:11,And then there’s,,و بعدش نوبت
06:11,06:13,the Monstrous Nightmare.,,کابوس هیولاییه
06:15,06:17,Reload!,,!دوباره پرش کن
06:17,06:18,Only the best Vikings go after those.,,فقط بهترین وایکینگ‌ها میرن دنبال اونا
06:24,06:26,But the ultimate prize,زدمش؟ !آره، زدمش,اما جایزه‌ی اصلی
06:26,06:29,is the dragon that no one has ever seen.,زدمش؟ !آره، زدمش,برای اژدهاییه که هیچکس تا حالا ندیده
06:29,06:31,- We call it the... - Night Fury!,کسي هست که اونو ديده باشه؟,ما بهش می‌گیم - !خشم شب -
06:32,06:33,Jump!,البته به جز تو,!بپر
06:37,06:39,And we’ve got a Night Fury.,!نذارين اونا فرار کنن- باشه-,خشم شب هم اومد
06:39,06:43,"Never steals food, never shows itself.",!نذارين اونا فرار کنن- باشه-,هیچوقت غذا نمی‌دزده هیچوقت خودش رو نشون نمیده
06:43,06:45,And never misses.,,و هیچوقت خطا نمی‌زنه
06:48,06:50,Time for old Gobber to take over.,,وقتشه که گابر پیر بره دنبال شکار
06:52,06:54,Stay put here.,,همینجا بمون
06:54,06:56,Here. I’m serious.,,اینجا. جدی میگم
06:56,06:58,No one has ever killed a Night Fury.,,هیچکس تا حالا یه خشم شب نکشته
06:58,07:00,Attack!,کارِت تمومه,!حمله
07:00,07:02,That’s why I’m going to be the first.,کارِت تمومه,به همین خاطر من باید اولین نفر باشم
07:04,07:07,- You again? Get back inside! - I’ll make a point of it.,,!دوباره توئی؟ برگرد تو - به روی چشم -
07:07,07:08,"You’re going to get yourself killed, Hiccup!",...اوه، و يه چيز ديگه هم هست که لازمه بدونين,!خودت رو به کشتن میدی، هیکاپ
07:09,07:10,I know! Sorry.,...اوه، و يه چيز ديگه هم هست که لازمه بدونين,می‌دونم! ببخشید
07:15,07:17,"Here, give me that.",,بیا، بده‌ش به من
07:22,07:24,Mind yourself!,متأسفم، بابا,!مراقب خودت باش
07:24,07:27,This Nadder still has some fire in it.,,این ندر هنوز یه خرده آتیش داره
07:37,07:39,Come on.,منظورم اينه که من واقعاً اونو زدم,بجنب
07:39,07:41,Give me something to shoot at. Give me something to shoot at.,شماها خيلي سَرِتون شلوغ بود و من يه شليک خيلي خوب داشتم,یه چیزی نشونم بده که بهش شلیک کنم یه چیزی نشونم بده که بهش شلیک کنم
07:43,07:45,"Come on, show yourself.","اون به خارج از منطقه ""راوِن"" سقوط کرد ...بزن بريم اونجا دنبالش بگرديم قبل از اينکه",بجنب، خودت رو نشون بده
07:57,07:59,I hit it.,آره، بين خودمون باشه ممکنه روستا کمي کمبود غذا داشته باشه اينطور فکر نمي کني؟,زدمش
08:04,08:06,I hit it!,چرا تو نميتوني حتي از ساده ترين دستورات پيروي کني؟,!زدمش
08:06,08:09,Did anybody see that?,چرا تو نميتوني حتي از ساده ترين دستورات پيروي کني؟,کسی دیدش؟
08:10,08:11,Except for you.,نميتونم جلوي خودم رو بگيرم ...وقتي يه اژدها ميبينم بايد فقط,بغیر از تو
08:15,08:17,"Oh, gods.",تو خيلي قابليت ها داري، هيکاپ ولي کُشتن اژدها يکي از اونا نيست,یا خدایان
08:18,08:21,"Spitelout, do not let that escape.",تو خيلي قابليت ها داري، هيکاپ ولي کُشتن اژدها يکي از اونا نيست,اسپیتلات نذار فرار کنه
08:21,08:23,Thanks a lot.,برگرد خونه مطمئن شو که ميره اونجا,خیلی ممنون
08:48,08:50,You’re all out.,ببخشيد، پيشخدمت فکر کنم برام يه بچه اشتباهي آوردين,تموم کردی
08:50,08:52,Let’s see what else you’re made of.,ببخشيد، پيشخدمت فکر کنم برام يه بچه اشتباهي آوردين,بذار ببینیم دیگه چی تو چنته داری
09:10,09:12,"Aye, that’s what I thought.",ببين، منظورم اينه که سخت تلاش کردن براي اينکه کسي باشي که نيستي رو متوقف کن,آره، همونی که فکرش رو می‌کردم
09:14,09:17,"Oh, and there’s one more thing to know.",من فقط ميخوام که يکي از شماها باشم,آه، یه چیز دیگه هم هست که باید بدونین
09:20,09:22,Look out!,,!مراقب باش
09:31,09:34,"Sorry, Dad.",اين تنها راهيه که ميتونيم از دستشون خلاص بشيم,معذرت می‌خوام بابا
09:36,09:38,Watch out!,اگه ما يه آشيانه پيدا کنيم و اونو خراب کنيم اژدهاها اينجا رو ترک ميکنن و ميرن يه خونه ديگه پيدا ميکنن,!مراقب باشین
09:50,09:51,"Okay, but I hit a Night Fury.",باشه، اونايي که مي مونن، بايد مراقب هيکاپ باشن,باشه، ولی یه خشم شب رو زدم
09:53,09:54,"Dad, this isn’t like any other time.",باشه، اونايي که مي مونن، بايد مراقب هيکاپ باشن,بابا، این بار مثل دفعه‌های قبلی نیست
09:55,09:56,"I mean, I really hit one.",آره، بيشتر از اونيه که انتظار داشتم,یعنی من واقعاً یکی‌شون رو زدم
09:56,09:59,"Aye, a dragon no one’s ever seen.",آره، بيشتر از اونيه که انتظار داشتم,آره، اژدهایی که هیچکس تا حالا ندیده
09:59,10:01,Because it uses night as its camouflage.,باشه، پس من ميرم لباسهاي زيرم رو بردارم,چون از شب برای استتار استفاده می‌کنه
10:01,10:03,"If you squint, you can see it blotting out the stars.",نه، لازمه که تو بموني و سربازان جديد رو آموزش بدي,ولی اگه چشمات رو تنگ کنی می‌بینی که موقع حرکت جلوی نور ستاره‌ها رو می‌گیره
10:03,10:06,- That’s how I shot it down. - Stop!,اوه، عاليه. درحاليکه من مشغولم هيکاپ ميتونه مراقب کوره باشه,منم همینطوری زدمش - !بس کن -
10:07,10:08,Stop.,اوه، عاليه. درحاليکه من مشغولم هيکاپ ميتونه مراقب کوره باشه,بس کن
10:09,10:12,"Every time you step outside, disaster happens.",فولاد گداخته، تيغهاي تيز و بُرنده، همه اش تنهاست چه مشکلي ممکنه به وجود بياد؟,هربار که پات رو می‌ذاری بیرون یه فاجعه رخ میده
10:12,10:16,Can you not see that I have bigger problems?,پس ميگي باهاش چيکار کنم، گابر؟,مگه نمی‌بینی که من مشکلات بزرگتری دارم؟
10:16,10:18,"Winter is almost here,",بذار با بقيه آموزش ببينه,تقریباً زمستون شده
10:18,10:20,and I have an entire village to feed.,نه، جدي ميگم- منم همينطور-,و یه روستای کامل رو باید سیر کنم
10:20,10:22,"Between you and me, the village could do",اون قبل از اينکه بذاري اولين اژدها از قفسش بيرون بياد، کُشته ميشه,بین خودمون باشه ...ولی روستاییا می‌تونن
10:22,10:24,with a little less feeding.,اون قبل از اينکه بذاري اولين اژدها از قفسش بيرون بياد، کُشته ميشه,یه خرده کمتر بخورن
10:24,10:26,"This isn’t a joke, Hiccup!",اوه، تو که نميدوني اينطور ميشه- در واقع من ميدونم که همينطور ميشه-,!این شوخی نیست، هیکاپ
10:26,10:29,Why can’t you follow the simplest orders?,!نه، نميدوني- ...گوش کن، تو ميدوني که اون چطوريه-,چرا نمی‌تونی حتی از ساده‌ترین دستورات پیروی کنی؟
10:29,10:31,Because I can’t stop myself.,ممکنه همين الان در حال يواشکي به جايي رفتن باشه. اون متفاوته,چون نمی‌تونم جلوی خودم رو بگیرم
10:32,10:36,"Okay? I see a dragon, and I have to just... kill it.",ممکنه همين الان در حال يواشکي به جايي رفتن باشه. اون متفاوته,خب؟ اگه یه اژدها ببینم فقط باید... بکشمش
10:36,10:38,"You know, i-it’s... it’s who I am.",به حرف آدم گوش نميده. کمترين توجهي نميکنه,می‌دونی... من... اینم
10:40,10:42,"You are many things, son,","من اونو ميبرم براي ماهيگيري ولي اون ميره ""ترول"" ها رو شکار کنه",تو خیلی چیزها هستی پسر
10:42,10:45,but a dragon killer is not one of them.,"اون ميگه ""ترول""ها جورابها رو ميدزدن",اما قاتل اژدها یکی از اونا نیست
10:48,10:50,Get back to the house.,...وقتي که بچه بودم- ...اوه، دوباره شروع شد-,برگرد خونه
10:51,10:52,Make sure he stays there.,پدرم بهم گفت که سَرم رو به صخره بکوبم و منم اين کار رو کردم,مطمئن شو همونجا می‌مونه
10:53,10:55,How much can one person mess up?,فکر کردم ديوونه شدم، اما هيچ سؤالي در اين مورد نپرسيدم و ميدوني چه اتفاقي افتاد؟,مگه یه آدم چقدر می‌تونه گند بزنه؟
10:55,10:58,Anyone else would have been booted off the island by now.,سر درد گرفتي- صخره به دو نيم شد-,هرکس دیگه‌ای بود تا الان با اردنگی از جزیره پرتش کرده بودن بیرون
10:58,11:01,I guess being son of the chief has its privileges.,سر درد گرفتي- صخره به دو نيم شد-,فکر کنم پسر رئیس قبیله بودن مزایای خودش رو داره
11:02,11:04,"If not for the chief, though...",اون چيزي رو که يه وايکينگ ميتونه انجام بده، بهم آموخت، گابر,...هرچند اگه بخاطر رئیس نبود
11:05,11:09,"Anyway, my dad’s super proud of me, so...",...اون ميتونه کوه ها رو خُرد کنه، جنگلها رو هموار کنه,بگذریم، بابای من که خیلی بهم افتخار می‌کنه ...پس
11:11,11:12,"Dad, I was just talking...",حتي يه بچه. ميدونستم چي هستم ...ميدونستي بايد کي بشم,...بابا، داشتم درباره‌ی
11:12,11:13,Don’t talk to me in public.,حتي يه بچه. ميدونستم چي هستم ...ميدونستي بايد کي بشم,در جمع با من صحبت نکن
11:15,11:16,"You know, I really did hit one.",تو نميتوني جلوي اونو بگيري، استويک تو فقط ميتوني اونو آماده کني,می‌دونی، واقعاً یکی‌شون رو زدم
11:17,11:18,"Of course you did, Hiccup.",تو نميتوني جلوي اونو بگيري، استويک تو فقط ميتوني اونو آماده کني,البته که زدی هیکاپ
11:18,11:19,He never listens.,تو نميتوني جلوي اونو بگيري، استويک تو فقط ميتوني اونو آماده کني,اون هیچوقت گوش نمیده
11:20,11:21,"Well, that runs in the family.",ميدونم که به نظر نااميدانه ميرسه، ولي حقيقت اينه که تو هميشه دور و بَرش نيستي تا ازش محافظت کني,خب، این خصلت کل این خانواده‌ست
11:21,11:23,"And-and when he does,",ميدونم که به نظر نااميدانه ميرسه، ولي حقيقت اينه که تو هميشه دور و بَرش نيستي تا ازش محافظت کني,و وقتی گوش میده
11:23,11:26,"it’s always with some disappointed scowl,",ميدونم که به نظر نااميدانه ميرسه، ولي حقيقت اينه که تو هميشه دور و بَرش نيستي تا ازش محافظت کني,با چنان اخم و ناامیدی هست
11:26,11:27,like somebody forgot the meat in the stew.,اون دوباره ميخواد که بره اون بيرون احتمالاً الانم اون بيرونه,که انگار یکی یادش رفته در آب گوشت، گوشت بریزه
11:28,11:29,I’ve seen that look.,اون دوباره ميخواد که بره اون بيرون احتمالاً الانم اون بيرونه,من اون نگاه رو دیدم
11:29,11:34,"Oi. You’re thinking about this all wrong, eh?",,هی، داری اشتباه به قضیه نگاه می‌کنی، خب؟
11:34,11:36,It’s not so much what you look like.,,قضیه زیاد در مورد ظاهرت نیست
11:36,11:38,It’s what’s inside of you he can’t stand.,,اون چیزی که درونت هست رو نمی‌تونه تحمل کنه
11:40,11:42,Thank you for summing that up.,,ممنون که خلاصه‌ش کردی
11:42,11:45,W-Wait. The point is...,,...و...وایسا. منظورم این بود
11:45,11:48,stop trying so hard to be something you’re not.,خدايان از من متنفرن,اینقدر تلاش نکن چیزی باشی که نیستی
11:50,11:52,I just want to be one of you guys.,بعضي آدمها چاقو يا ليوانشون رو از دست ميدن. ولي من نه من موفق شدم که يه اژدها رو از دست بدم؟,فقط می‌خوام یکی از شماها باشم
11:59,12:01,I know you do.,,می‌دونم که می‌خوای
12:27,12:31,No one said it would be easy!,,!هیچکس نگفت که قراره ساده باشه
12:33,12:35,"But may I remind you,",,ولی بذارین بهتون یادآوری کنم
12:35,12:40,we are all descendants of the finest dragon fighters,,ما همگی نوادگان بهترین مبارزان اژدهایانیم
12:40,12:43,"from everywhere Vikings have traveled,",,از هر جایی که وایکینگ‌ها بهش سفر کرده‌ن
12:43,12:46,who gathered here because they knew,اوه، واو؟ من موفق شدم؟ من موفق شدم,که اینجا جمع شدن چون می‌دونستن
12:46,12:48,that we were within spitting distance,اوه، واو؟ من موفق شدم؟ من موفق شدم,که در فاصله‌ای نزدیک به یه
