Start Time,End Time,English,Venom.The.Last.Dance.2024.BluRay.Film2Media.srt,Venom_The_Last_Dance_open subtitle.srt
05:18,05:21,"hiding for the rest of my life in Mexico, that's for sure.",تا عمر دارم تو مکزیک قایم باشم,یه سری اتفاقات عجیب توی کلیسای شهر افتاده
05:21,05:22,<i>Where will we go?</i>,<i>راهیِ کجاییم؟</i>,یه سری اتفاقات عجیب توی کلیسای شهر افتاده
05:22,05:24,I don't know. I don't know.,نمی‌دونم. نمی، نمی‌دونم,فکر می‌کنن من کشتمش
05:28,05:29,Ooh.,,اگه تو خبرای اینجاییم تو همه جا تو خبریم
05:30,05:32,That could work. Hey.,اومدیمو جواب داد. هی,اگه تو خبرای اینجاییم تو همه جا تو خبریم
05:32,05:33,This judge got me,یه قاضی‌ای منو از نیویورک شوت کرد بیرون,اگه تو خبرای اینجاییم تو همه جا تو خبریم
05:33,05:35,- kicked out of New York. <i>- What a dick!</i>,یه قاضی‌ای منو از نیویورک شوت کرد بیرون,نمی‌تونیم برگردیم سان‌فرانسیسکو و منم قصد ندارم باقی
05:35,05:38,"Yeah, I still got a ton of shit on him too.",من هنوزم یه کامیون آتو ازش دارم,نمی‌تونیم برگردیم سان‌فرانسیسکو و منم قصد ندارم باقی
05:38,05:41,<i>I've always wanted to see the Statue of Liberty.</i>,<i>همیشه دلم می‌خواست مجسمه آزادی رو ببینم</i>,عمرمو اینجا تو مکزیک قایم شم همینو بدون
05:42,05:44,Maybe we could blackmail him.,...شاید بتونیم ازش اخاذی کنیم,نمی‌دونم نمی‌دونم
05:45,05:47,And clear my name.,و بی‌گناهیم رو ثابت کنم,این می‌تونه جواب بده
05:47,05:48,<i>Let's go!</i>,<i>بزن بریم</i>,این می‌تونه جواب بده
05:49,05:51,<i>- Road trip!</i> - Let's get the hell out of here.,بیا از اینجا بزنیم به چاک,این می‌تونه جواب بده
05:52,05:54,<i>Keep the change!</i>,<i>باقیش باشه</i>,این کلیسا باعث شد از نیویورک بیرونم کنن
06:00,06:03,"We keep our heads down, and we keep moving.",،آسته‌طور عمل می‌کنیم و همینجور رامونو میریم,همیشه دلم می‌خواست مجسمه آزادی رو ببینم
06:06,06:07,<i>We are fugitives!</i>,<i>ما فراری‌ایم</i>,اسممو پاک کنم
06:07,06:10,<i>We are on the run!</i>,<i>ما متواری‌ایم</i>,سفر جاده‌ای
06:10,06:13,"<i>Yes, we are innocent. Yes.</i>",<i>،بله، ما بی‌گناهیم، اون که بله</i>,بزن از اینجا بریم
06:13,06:17,<i>But I will eat every bad guy that gets in our way.</i>,<i>ولی من هر چی بر و بچ بَدی که سد رامون بشه رو لقمه‌ش می‌کنم</i>,پول خرد هم ببر
06:17,06:19,I need a Tylenol.,استامینوفن لازمم,سرمون پایین باشه و ادامه بدیم
06:32,06:33,Do you hear that?,تو هم می‌شنوی؟,آره ولی هر کی بیاد جلو می‌خورمش
06:45,06:47,<i>Someone's in trouble.</i>,<i>یکی تو مخمصه‌ست</i>,
06:47,06:49,<i>And I need fuel for the road.</i>,<i>و منم که واسه جاده سوخت لازم دارم</i>,
06:49,06:50,"Yeah, okay.",آره، باشه,
07:11,07:12,<i>That way.</i>,<i>اینوری</i>,
07:23,07:25,"<i>Bad men, Eddie.</i>",<i>آدم بدا، ادی</i>,
07:26,07:30,"<i>Are we the Lethal Protector, or not?</i>",<i>ما ناسلامتی محافظ مرگباریم یا نه؟</i>,از اون طرف
07:34,07:35,Do your thing.,کارتو بیا,
07:35,07:36,<i>Easy-peasy.</i>,<i>بچه‌مچه‌بازیه</i>,
07:53,07:54,Jesus.,پروردگارا,
08:02,08:03,<i>Cute!</i>,<i>چه گوگولی</i>,
08:03,08:05,<i>I promise not to eat it.</i>,<i>قول میدم نخورمشون</i>,
08:07,08:09,They're fighting dogs.,اینا سگای جنگی‌ان,
08:09,08:12,"<i>I draw the line at fighting dogs, pal.</i>",<i>من سگای جنگی خط قرمزمه، عشقی</i>,
08:18,08:21,"<i>Oye, vato,</i> you're in the wrong place.",<i>هی رفیق</i> آدرس اشتباهی بهت دادن,با نمکه
08:22,08:23,"Oh, hello.",سلام علیکم,قول دادم نخورمش
08:24,08:25,This is our territory.,اینجا خاک مائه,قول دادم نخورمش
08:26,08:28,"Well, I assume",خب، نظر به,اونا سگ‌جنگی دارن
08:28,08:30,by the threatening look on your faces,نگاه هراس آفرین روی صورتتون ...فرضمه که من,با سگ‌جنگی‌ها حال نمی‌کنم داداش
08:30,08:33,"that I ought to be scared, right?",من باس بگرخم، درسته؟,با سگ‌جنگی‌ها حال نمی‌کنم داداش
08:35,08:38,"But you took the wrong path, <i>hermano.</i>",خب، انداختی تو مسیر اشتباهی دیگه، داداش,فقط یه چندتا
08:38,08:40,We can't let you leave.,ما هم نمی‌تونیم بذاریم بری,اوه چی؟
08:41,08:43,I have a headache,،من یه سردردی دارم,
08:43,08:47,on account of the fact that I was drinking a lot.,اونم رو حساب این واقعیت که لب تر کردم... اونم همینجور,اینجا قلمرو ماس
08:47,08:48,I'm gonna be honest.,می‌خوام روراست باشم,خب از اون قیافه‌های تهدیدآمیزتون  معلومه که
08:48,08:52,I have a really dark and unpredictable side to me.,من یه روی خیلی تاریک و غیرقابل پیش‌بینی دارم,خب از اون قیافه‌های تهدیدآمیزتون  معلومه که
08:52,08:54,We all have monsters inside us.,ماها همه هیولایی تومون داریم,باید بترسم مگه نه؟
08:55,08:56,Not like this.,اینجوریشو نه,بتمن. باید مسیر اشتباهی بریم
08:56,08:58,So dark that it is highly likely,اینقدر تاریک که قویا محتمله که,بتمن. باید مسیر اشتباهی بریم
08:59,09:02,to tear your head off and feed it,کَله‌تون رو از تنتون بکنه و بده به خورد مقعدتون,میتونیم بذاریم بری
09:02,09:03,to your asshole.,کَله‌تون رو از تنتون بکنه و بده به خورد مقعدتون,سردرد دارم
09:03,09:05,<i>Orme! You can feed it to me!</i>,می‌تونی بدیشون به خورد من,از بس که زیاد خوردم
09:05,09:06,"Yeah, or I can feed it to him.",آره، یا می‌تونم بدمشون به خورد اون,از بس که زیاد خوردم
09:08,09:10,All right. Look. Come on. I got a suggestion.,خیلی‌خب، نگاه بیخیال. من یه پیشنهادی دارم,من یه طرف خیلی تاریک و غیرقابل پیش‌بینی دارم
09:10,09:12,No. Stop speaking.,نه. بیفت از حرف زدن - من نمیفتم از حرف زدن -,من یه طرف خیلی تاریک و غیرقابل پیش‌بینی دارم
09:12,09:14,I'm not gonna stop speaking. This is for you.,این کار بخاطر خود شمائه,ما همه یه هیولا تو دلمون داریم
09:14,09:16,"I'm doing this for your benefit, all right?",دارم این کارو برای عاقبت بخیری خودتون می‌کنم، خب؟,ولی نه مثل من
09:16,09:18,I don't have to. Okay? So pay attention.,اجباری هم نیست برام، باشه؟ پس حواسا رو بذارین,اونقدر تاریک که احتمالش خیلی زیاده سرتو بکنم و بدم دستت
09:19,09:21,We're gonna find all of these dogs loving forever homes,ماها قراره برای همه‌ی این سگا خونه‌های بامحبتِ تا همیشه پیدا کنیم,اونقدر تاریک که احتمالش خیلی زیاده سرتو بکنم و بدم دستت
09:21,09:23,because what you're doing is reprehensible.,قباحت داره,اونقدر تاریک که احتمالش خیلی زیاده سرتو بکنم و بدم دستت
09:23,09:26,"What does your mother think of you, man?",و مادرتم چی درباره‌ت فکر می‌کنه آخه، آقا جون؟,من اینجام بده به من بخورمش
09:26,09:28,"My mother's dead, <i>culero.</i>",مادر من مُرده، عوضی,ببین نگاه کن اوه اوه بیا اینجا
09:28,09:29,<i>You made it awkward!</i>,<i>زدی ناجورش کردی</i>,ببین نگاه کن اوه اوه بیا اینجا
09:30,09:31,I'm sorry to hear that.,غم آخرت باشه - <i>خفه‌شو</i> -,یه پیشنهاد دارم
09:40,09:42,I'm giving you a chance.,دارم بهتون یه فرصت میدم,همیشگی و دوست‌داشتنی پیدا کنیم چون کار شما واقعا حال بهم زنه
09:42,09:44,"Sweetie, I really am giving you a chance.",قند عسل، خدایی دارم بهتون یه فرصت میدم,و مادرت دربارت چی فکر می‌کنه رفیق؟
09:44,09:46,You should probably take it.,احتمالا هم باید این فرصتو برش‌دارین,و مادرت دربارت چی فکر می‌کنه رفیق؟
09:53,09:54,<i>Say when.</i>,<i>بگو کِی -</i> کِی -,آره؟
09:54,09:55,When.,<i>بگو کِی -</i> کِی -,بخشی از ماجراست
10:05,10:07,"<i>Hola,</i> bitches.",سام علیک، لاشی‌ها,عزیزم دارم واقعاً یه شانس بهت میدم بهتره قبول کنی
10:32,10:34,Who's a bad boy?,این پسر بدمون کیه؟,
10:41,10:43,Now that's some sturdy footwear!,<i>الان به این میگن یه پاپوشِ چینی نساخت</i>,
10:46,10:47,Where you going?,کجا تشریف‌فرمایی؟,کی بچه بده؟
10:48,10:50,Home.,خونه,کی بچه بده؟
10:50,10:51,Nah.,نع,کی بچه بده؟
10:59,11:00,What...,تو دیگه... چی هستی؟,میرم یه کفش محکم گیر بیارم
11:02,11:03,are you?,تو دیگه... چی هستی؟,میرم یه کفش محکم گیر بیارم
11:05,11:06,We are...,...ما - ما ونومیم -,داری میری؟
11:06,11:08,We are Venom!,...ما - ما ونومیم -,داری میری؟
11:08,11:10,We are...,...ما - ونوم هستیم -,
11:10,11:11,- Venom! - No!,نه,
11:11,11:13,- Oh! - Yeah.,آره، ما... ونوم هستیم - ما ونوم هستیم -,
11:13,11:14,- We... - We...,آره، ما... ونوم هستیم - ما ونوم هستیم -,
11:14,11:17,are Venom.,آره، ما... ونوم هستیم - ما ونوم هستیم -,چی؟
11:18,11:19,What?,چی؟,چی؟
11:20,11:23,We are totally gonna need to work on that.,همه‌جوره باید صیقلش بدیم,داری میری؟
11:31,11:34,<i>That was delicious!</i>,<i>روشن شدما</i>,آره ما
11:34,11:35,You're welcome.,قابلتو نداشت,ما میریم
11:36,11:37,Thank you.,تشکر,ونوم
11:37,11:40,<i>You take me to all the finest places!</i>,<i>تو منو می‌بری به همه‌ی جاهای خوش‌‌ترین</i>,چیه؟
11:40,11:42,Let's get the hell out of here.,بیا از اینجا گم شیم بریم,باید حسابی روش کار کنیم
11:42,11:43,Where's my shoe?,کفشم کوشش؟,باید حسابی روش کار کنیم
11:44,11:45,"Oh, hey, buddy!",سلام رفیق,یالا
11:45,11:48,That's my shoe! That's my shoe. That's my shoe!,این کفش منه این کفش منه,
11:48,11:49,Give me my shoe.,کفشمو بده,
11:56,11:58,<i>These will fit.</i>,<i>اینا اندازه‌ت میشنا</i>,همیشه منو می‌بری بهترین جاها
11:58,12:00,Now we are on the run,حالا دیگه متواریَ رو هستیم,همیشه منو می‌بری بهترین جاها
12:00,12:02,for something we actually did do.,اونم واسه کاری که واقعا کردیم,بزن بریم از اینجا
12:02,12:04,And I got stuck with a superhero who can't fly.,و افتادمم گیر یه ابرقهرمانی که پرواز بلد نیست,کفشم کجاست؟
12:04,12:05,<i>Wanna bet?</i>,<i>سرش شرط ببندیم؟</i>,اوه سلام داداش
12:31,12:33,There you are.,ایناهاشی,یه خورده دیگه. آهان اینجاست
12:36,12:38,Get me General Strickland.,ژنرال استریکلند رو برام بگیر,یه خورده دیگه. آهان اینجاست
12:57,12:58,What the...?,...این دیگه چه,
13:07,13:08,Viral shedding.,پخش ویروسیه,
13:10,13:11,These things wanna live.,این چیزا دلشون می‌خواد زنده بمونن,
13:20,13:23,Tell me about the man who was just here.,از مردی که همین تازگی اینجا بود برام بگو,
13:28,13:30,"He was acting, like, crazy. Talking to himself.",،اون رفتارش، مثل، دیوونه‌ها بود .با خودش حرف میزد,این موجودا می‌خوان زنده بمونن
13:31,13:33,What was he saying?,چی می‌گفت؟,
13:34,13:39,"He had these big, massive, wild arms.",یه، یه دستای گنده‌ی، غوله، افسارگسیخته داشت,سلام
13:39,13:40,They were bobbling like this.,اینجوری موج میزدن,بگو این یارو که الان اینجا بود کی بود
13:43,13:44,Bring him.,بیارینش,یه جوری رفتار می‌کرد انگار خل و چل شده واسه خودش حرف می‌زد
14:03,14:05,<i>You think there are another brother and sister</i>,<i>به نظرت</i>,داشتن یه جوری قل‌قل می‌کردن بیارینش
14:05,14:06,<i>on one of those stars...</i>,<i>خواهر و برادر دیگه‌ای ...رو یکی از اون ستاره‌ها هستن که</i>,داشتن یه جوری قل‌قل می‌کردن بیارینش
14:08,14:10,looking at the same sky?,دارن به همین آسمون نگاه می‌کنن؟...,داشتن یه جوری قل‌قل می‌کردن بیارینش
14:10,14:12,I'll be able to tell you one day.,یه روز می‌تونم اینو بهت بگم,داشتن یه جوری قل‌قل می‌کردن بیارینش
14:16,14:17,My twin brother...,،برادر دوقلوی من,داشتن یه جوری قل‌قل می‌کردن بیارینش
14:17,14:19,a future NASA scientist.,دانشمند آینده ناسا,داشتن یه جوری قل‌قل می‌کردن بیارینش
14:20,14:22,One day.,یه روز,داشتن یه جوری قل‌قل می‌کردن بیارینش
14:25,14:27,"When thunder roars, head indoors.",،صدای غرش رعد رو که شنیده برین تو فضای پوشیده,فکر می‌کنی یه خواهر و برادر دیگه‌ای تو یکی از اون ستاره‌ها باشن؟
14:45,14:46,No!,نه,وقتی رعد می‌زنه .برو داخل
15:19,15:20,<i>He's on life support.</i>,به دستگاه تنفس وصله,
15:20,15:22,<i>Get him to emergency symbiosis now.</i>,"<font face=""Segoe UI"" color=""#d4eef3""><b>در مالکیت دولت ایالات متحده] [پاتریک مولیگان</b></font>",
15:36,15:37,It should be you.,باید تو می‌بودی,
15:40,15:41,<i>This just came across our news desk</i>,<i>این خبر به تازگی ،اتفاقی به طول تحریریه ما خورده</i>,به پیوند همزیستی ببرینش فوراً
15:41,15:42,<i>and it bears repeating:</i>,<i>و لازم به بازگوییه</i>,به پیوند همزیستی ببرینش فوراً
15:42,15:45,"<i>For all of you alien enthusiasts out there, it's a sad day.</i>",<i>برای همه‌ی شما خوره‌های فضایی اون بیرون روز غم‌باریه</i>,
15:46,15:49,<i>Washington has finally announced the decommissioning of Area 51.</i>,"<i>منطقه 51"" رو اعلام کرد""</i> <font face=""Calibri"" color=""#fdffae""><b>یه پایگاه نظامی سری تو ایالات متحده که در صحرای نوادا واقع شده و شدیدا تحت محافظت دولتی قرار داره) (بیشتر هم به دلیل شایعاتی درباره نگهداری نمونه‌های حیات فضایی توش مشهور شده</b></font>",
15:50,15:51,<i>The controversial site is famous</i>,<i>این تاسیسات بحث‌برانگیز به سببِ</i>,
15:51,15:53,<i>for its alleged testing on aliens.</i>,<i>آزمایشات مورد ادعا بر روی بیگانگان شهره‌ست</i>,
15:54,15:55,<i>In other news today...</i>,<i>...در سایر اخبار امروز</i>,باید تو باشی
16:08,16:11,Right this way. Come on up.,,این محل معروف به آزمایشات روی فضایی‌ها بود
16:26,16:29,- Strickland. <i>- Strickland authorized.</i>,<i>استریکلند مجاز است</i>,از این طرف بفرمایید
16:45,16:47,"- It's finally happening, then. - Yeah.",پس بالاخره داره میشه,استریکلند
16:48,16:51,"Yes, ma'am. Be nothing left but rock and dust.",هیچی جز سنگ و خاک هم نمی‌مونه,اجازه از استریکلند
16:51,16:52,And roaches.,و سوسکا,
16:52,16:55,Even the biggest of bangs couldn't kill 'em.,حتی بزرگترین انفجارها هم نمی‌تونه بکششون,
16:55,16:58,They've been around 280 million years. And counting.,اونا حول و حوش 280 میلیون سال که روشم داره میاد، هستن,
16:58,16:59,"I did not know that, Dr. Paine.",اینو نمی‌دونستم، دکتر پِین,
17:07,17:08,Good to go.,مشکلی برای رفتن ندارین,
17:08,17:09,"- Have a good one, Gus. - You too.",روزت خوش، گاس - همینطور -,دیگه فقط سنگ و خاک باقی می‌مونه
17:43,17:46,"- Thank you. - Yes, ma'am.",با تشکر - بله خانم -,
17:51,17:54,"Morning, Dr. Paine, we'll keep 'em safe for you.",صبح‌بخیر دکتر پِین ما براتون امن نگهشون می‌داریم,
17:54,17:56,"I still don't think anyone wants my old beater, Jim.",هنوزم فکرمه که کی آخه ابوقراضه زوار دررفته منو می‌خواد، جیم,
17:56,17:57,Never judge a book by its cover.,هیچ‌وقت از رو ظاهر قضاوت نکن,
18:02,18:05,"Early morning wake-up, General Strickland.",بیدار باش کله سحریه، ژنرال استریکلند,مرسی
18:05,18:07,Looks like all your dreams came true.,ظاهرا که همه‌ی رویاهات رنگ واقعیت گرفته,آماده‌ست
18:07,18:09,I know how that must bug you.,می‌دونم چجوری هم لابد مایه عذابت شده,
18:10,18:13,He arrived shortly before you did.,اون یه کم قبل تو رسید,صبح بخیر دکتر پین
18:13,18:14,Did our new friend give him any trouble?,دوست جدیدمون اسباب دردسری براش شد؟,هنوز فکر نمی‌کنم کسی  باشگاه قدیمی منو بخواد
18:14,18:16,"You see, that's exactly the problem.",،توجه میکنی مشکل دقیقا همینه,منو اجرا کنی؟  H-couple حالا می‌خوای
18:16,18:17,What?,چی؟,منو اجرا کنی؟  H-couple حالا می‌خوای
18:17,18:19,Your assumption we're meeting friends.,که فرضته داریم دوستانی رو می‌بینیم,
18:21,18:23,- Morning. - Good morning.,صبح‌بخیر,صبح زود بیدار شو ژنرال استریکلند
18:23,18:25,The bonding was successful.,پیوند موفقیت‌آمیز بود,مثل اینکه تمام رویاهات به واقعیت پیوسته
18:25,18:26,I heard.,شنیدم,مثل اینکه تمام رویاهات به واقعیت پیوسته
18:31,18:33,You always have this look on your face,تو همیشه خدا این ریختُ رو صورتت که انگار,اون درست قبل از شما اومده
18:33,18:34,like something terrible is imminent.,یه چیزی وحشتناکی قریب‌الوقوعه رو داری,دوستمون دردسر ایجاد کرد؟
18:34,18:35,Because in my line of work,،چون در حیطه کاری من,ببین این دقیقاً مشکلشه
18:35,18:37,something terrible <i>is</i> always imminent.,یه چیز وحشتناک همیشه خدا قریب‌الوقوعه,فرض می‌کنی داریم با دوست‌ها ملاقات می‌کنیم
18:38,18:40,"We contain them, you study them.",،ما مهار و کنترلشون می‌کنیم شما روشون مطالعه می‌کنین,فرض می‌کنی داریم با دوست‌ها ملاقات می‌کنیم
18:40,18:42,It's how it works.,روالش اینجوریه,صبح بخیر
18:49,18:50,Let's have a look.,بیاین یه نگاهی بندازیم,
18:50,18:52,"- Hello, doctor. - Morning.",سلام دکتر - صبح‌بخیر -,همیشه اینجوری نگاه می‌کنی انگار یه چیز وحشتناک در راهه
18:52,18:54,His other symbiote left him for dead.,سیمبیوت دیگه‌ش ولش کرد بمیره,همیشه اینجوری نگاه می‌کنی انگار یه چیز وحشتناک در راهه
18:56,18:58,<i>We saved him.</i>,<i>ما نجاتش دادیم</i>,ما محدودشون می‌کنیم
18:58,18:59,He would have died.,"{\an8}<font face=""Segoe UI"" color=""#ffff00""><b>[همزیستی تکمیل شد]</b></font>",تو مطالعه‌شون می‌کنی
19:03,19:04,"Oh, try lowering those levels.",سعی کنین این سطوح رو پایین بیارین,
